,country,name,sid,id
0,austria,HTL1 Klagenfurt Lastenstrasse,53361,59962
1,austria,List1,68748,77523
2,austria,Lindorfer,20513,22622
3,austria,schukkos home,7414,9097
4,austria,Fam. Fink,27417,29952
5,austria,boeselhack,44740,49125
6,austria,Ingwer,28781,31409
7,austria,DRAGONFIRE,10462,12532
8,austria,Sonnensegel,4230,5330
9,austria,Aloaha Enecsys 2000023038,37052,40492
10,austria,Home3,22860,25061
11,austria,PV_Dach2+Stadel,24921,27224
12,austria,ML-S,84683,96039
13,austria,thering,36147,39578
14,austria,PV Schuster 1,53545,60157
15,austria,Dietweis 33,12310,14462
16,austria,Solarschoder,51558,57406
17,austria,LLo-West,84819,96185
18,austria,ibonetwork,34884,38138
19,austria,Prohome,18385,20516
20,austria,Oberbach,4818,6025
21,austria,Brodkorb,43944,48247
22,austria,Maehdlestrasse,70282,79261
23,austria,Solar Edge PV,72071,81325
24,austria,Aloaha Enecsys 2000029784,38814,42466
25,austria,Ziegelstadl,49919,54916
