,country,name,sid,id
0,brazil,Hotel Pousada Vale do Sol,45340,49809
1,brazil,Giva,58349,65646
2,brazil,Floricultura Petalas,83908,95104
3,brazil,MLS,56114,63066
4,brazil,Hans Fischer,49608,54567
5,brazil,CasaSoares,57645,64855
6,brazil,SmartEnergyMeter,46429,51057
7,brazil,Casa Edupenna,72838,82161
8,brazil,Marcio Correa,40494,44341
9,brazil,RCMC Home,55836,60164
10,brazil,UFV Bruno,61204,68885
11,brazil,Flancleuber,62995,70921
12,brazil,Gui's Solar System,58422,65729
13,brazil,MyFronius,51971,58078
14,brazil,EstrelaFronius,62493,70350
15,brazil,Romano Cassino Inove,48861,53699
16,brazil,Lapique Pelotas Inove,48652,53463
17,brazil,Haroldo Jaguarao Inove,48975,53825
18,brazil,NoShadows,73227,82594
19,brazil,Eunice Cassino Inove,47776,52549
