,country,name,sid,id
0,canada,Stonehaven,6119,7591
1,canada,Brigadoon Solar - Hamilton ON,5389,6750
2,canada,Le Soleil (Verdun),6360,7881
3,canada,Isle of Solar,51637,57514
4,canada,New Energy Test,57409,64584
5,canada,Chanikya Desu,54612,61343
6,canada,GLB Home,54238,60933
7,canada,Tricolour Solar Roof,5687,7101
8,canada,Sunny Hart,73744,83177
9,canada,Aloaha Enecsys 2000014216,37019,40463
10,canada,419 Highway 8 Dundas,44583,48948
11,canada,Creekside Paddling Centre,56232,63199
12,canada,Buckley Inv South,6173,7664
13,canada,Jesterville,15651,17853
14,canada,Buckley Inv North,6389,7664
15,canada,RAVE Solar,5681,7095
16,canada,Banking on the sun,44666,43539
17,canada,SolarScarb,46758,51414
18,canada,Zwart Solar PV,8141,9994
19,canada,813 Solar,46801,51460
20,canada,BrambleRidge,2308,3007
21,canada,Tzavelas Solar,5688,7102
22,canada,786 Solar,46902,51577
23,canada,TPG-Pick,50631,55879
24,canada,Sun Suckers,6089,7562
25,canada,Solarthorn,47929,52706
26,canada,Breadel Energy,51645,57529
27,canada,Ash-Shams,51634,57510
