,country,name,sid,id
0,china,PV_XBC,53708,60331
1,china,xiefeng300KW,43841,47199
2,china,cFeng,32600,35618
3,china,iammeter-demo,67669,36547
4,china,Trannergy.dxy,26083,28478
5,china,ZDNY-TL17000,10661,11468
6,china,solarmanpv,24849,27155
7,china,SOFARSOLAR,47189,51910
8,china,Tiny SPS @Steves Home,9590,11620
9,china,zhaoneng,19359,21477
10,china,Trannergy 12kW Test,5900,7276
11,china,2700TL,20950,21477
12,china,trannergy1122,25013,27330
13,china,PDL17KN,20949,21477
14,china,1800TL,20948,21477
15,china,Mack_Test,5455,6839
16,china,Trannergy,5192,5829
17,china,wodxy8712,24244,26537
18,china,ChangHong,17520,19670
19,china,PAL5400-02,5860,7276
20,china,V1.0.9,20947,21477
21,china,PY Soler System,60622,68221
22,china,hwx28,47287,52017
23,china,PAL5400120711054-TEST,11037,13065
24,china,AT_01,927,1193
25,china,miniSys,14457,16674
