,country,name,sid,id
0,croatia,SE 30,59413,66818
1,croatia,fotovolt 2,14159,16350
2,croatia,FMsc,70369,79369
3,croatia,fotovolt 4,22572,16350
4,croatia,SE Retfala 1,26971,29440
5,croatia,fotovolt 1,19595,16350
6,croatia,FNE Veselski,86171,97783
7,croatia,SE Kostrena,86699,98400
8,croatia,fotovolt 3,18965,16350
9,croatia,SE Novak,51622,57487
10,croatia,Žirje solar,61186,68868
11,croatia,SE Bakula,88300,100293
12,croatia,nenjebgrott,100407,115206
13,croatia,tabicic,27189,29676
14,croatia,TVSolar,55044,61841
