,country,name,sid,id
0,cyprus,80kw ora,23739,5408
1,cyprus,21KW - 522,19882,5408
2,cyprus,20KW - 526 ORA,20068,5408
3,cyprus,SunnyLatsia,25798,28173
4,cyprus,Christakis 20KW,20102,5408
5,cyprus,12Kw,4297,5408
6,cyprus,8KW house installation,20071,5408
7,cyprus,Keleshis 7KW,20059,5408
8,cyprus,MakSol,24852,27160
9,cyprus,7KW Lakatamia,19184,21314
10,cyprus,Solar2015,39909,43701
11,cyprus,Christos Aristidou 2,35822,37185
12,cyprus,dsPV Metering,26986,29452
13,cyprus,test01hd,58871,66196
14,cyprus,Marinos 3kW,29857,30430
15,cyprus,Zanos,43942,30430
16,cyprus,5kwDali,66837,75380
17,cyprus,Zanos Panagiotis,45893,30430
18,cyprus,Konia SavvasHa 4kW,64877,26286
19,cyprus,Christos Aristidou Combined,35908,37185
20,cyprus,Paphos SavvasHa PV 3kW,23991,26286
21,cyprus,petubl,71756,80978
22,cyprus,3kW TSERI,23740,5408
23,cyprus,Christos Aristidou,34013,37185
24,cyprus,Lucas Aristidou,34111,37294
25,cyprus,"Limnis Sun Shack, Cyprus",51123,56631
26,cyprus,Fytos 3kW,29858,30430
27,cyprus,Carlos SIA,32205,30430
28,cyprus,Andreas Lakatamia,21016,5408
29,cyprus,80kw ora,23739,5408
