,country,name,sid,id
0,czech republic,Glbs_ji,25867,21009
1,czech republic,Hostivar01,6984,8605
2,czech republic,Remizka_FVE,35071,38323
3,czech republic,Macak FVE,18050,20191
4,czech republic,FVE-MF,3002,1924
5,czech republic,JHA Hradesin,19783,21914
6,czech republic,Dub042,62644,70504
7,czech republic,MK FVE,18017,20158
8,czech republic,Doma2,18897,21009
9,czech republic,Statek,15170,17381
10,czech republic,MSEL1,68832,77632
11,czech republic,FVE Probostov,8385,10273
12,czech republic,FVE-MF west,2712,1924
13,czech republic,GePo,75909,85627
14,czech republic,The one we don't talk,73143,82497
15,czech republic,LEP Simulation,10345,12419
16,czech republic,Tuklaty,70499,79502
17,czech republic,Lichnov,16626,18771
18,czech republic,anglickykun,73942,83422
19,czech republic,Elektrárnička,70078,79038
20,czech republic,FVE-MF east,1448,1924
21,czech republic,Dolni Bezdekov,76680,86475
22,czech republic,L30,10440,12419
23,czech republic,FVE-MF middle,2711,1924
