,country,name,sid,id
0,finland,Port Of Hanko,67596,76247
1,finland,OuluGolf,74925,84508
2,finland,Ekenäs Energi BIO 4,67423,76053
3,finland,OostaSolar,78594,88672
4,finland,Hormikuja Kauhajoki,62654,70516
5,finland,Uusitalo,61243,68936
6,finland,Koti,5683,7097
7,finland,kk10,69405,78274
8,finland,Nordviikintie 35,55125,61932
9,finland,PalonenLABS,23610,25895
10,finland,AsOyTamD,67972,76525
11,finland,Tomi's Home,25916,28293
12,finland,AsOyTamB,67929,76525
13,finland,Inverteri,74778,84337
14,finland,Fronius Autotalli,84101,95357
15,finland,AsOyTamA,67848,76525
16,finland,Myrskytuulentie,58811,66135
17,finland,Sjevik,88680,100715
18,finland,Aurinko_Makinen,54610,61341
19,finland,Haapala Ranchi,67095,75685
