,country,name,sid,id
0,france,PvCloseau,51102,56603
1,france,Picotine Cellieu,47016,51697
2,france,fk-Pelissanne,31400,34274
3,france,nega_9K_SP,51097,56598
4,france,LP6kw,37077,40521
5,france,Villa Sauva PV,24397,26679
6,france,PetitBrionEngageEfergy,40333,44164
7,france,pelo's photovoltaic,17174,19319
8,france,VenteAuSurplusPetitBrion,38345,41992
9,france,Sunny Savoie,4069,5127
10,france,Caloux & Lerie's,17352,19504
11,france,9KW-ELSASS,64967,73234
12,france,Gnout,52591,59106
13,france,Djemac,1050,1371
14,france,InamatSolar,2852,3644
15,france,acjv,38393,42053
16,france,WoodenHouse (ALS),19696,21839
17,france,Hilhorst,55727,62650
18,france,gridained_Aube_France,1219,1598
19,france,SoniXtrA (BZH),11969,14104
20,france,Jm62,1275,1681
21,france,Stephane Epreville,29195,31850
22,france,Old Bill's,6177,7669
23,france,slyceze,24283,26573
