,country,name,sid,id
0,germany,race|result,51073,56577
1,germany,GNSS Precesion AR-University,81132,91738
2,germany,40540 Hirsch Printmedien,83719,94873
3,germany,GfB mbH - Westnetz GmbH,30411,33196
4,germany,HLB Sunnyfarm,4947,6197
5,germany,Halle 2011,74122,83637
6,germany,Zwilla PV,69043,77860
7,germany,PV 749 kWp,85530,97015
8,germany,18kWp Lapp,24832,27139
9,germany,WohnhausA1,24693,26995
10,germany,Christophorusstrasse 11,52376,58838
11,germany,jls4,35341,38624
12,germany,Stall,38013,41607
13,germany,PV Vinkelau,74576,84106
14,germany,jbloe1,27460,29995
15,germany,KrebsePV,25727,28095
16,germany,MontyPower,24369,26653
17,germany,Kraft-PV,47122,51832
18,germany,Michiels Wegberg,52525,59027
19,germany,Wirsol11515,9386,11394
20,germany,race|result,51073,56577
