,country,name,sid,id
0,hungary,Bacskalogistic P0638,64296,57009
1,hungary,BSH,58638,65942
2,hungary,SBS,58626,65942
3,hungary,Port Kft.,52583,59098
4,hungary,Szekely Solar Sum,46103,29707
5,hungary,KissM_Home_Oxley,57400,64573
6,hungary,KissM-Home_HUN,53502,60110
7,hungary,Varjusolar,27781,30323
8,hungary,LSA,70940,58208
9,hungary,Hege 10kW Szolnok,52343,58801
10,hungary,Horvath,57240,64383
11,hungary,Laci Home,52210,58564
12,hungary,vp,51728,57662
13,hungary,KI-5kW,43454,47680
14,hungary,Fronius Pécs Hamvas,82803,93779
15,hungary,Faszakasza-Home,53960,60613
16,hungary,Delegyhaza Vadvirag,53585,58208
17,hungary,Gergely Takacs / Nadap,62326,70149
18,hungary,PV@Sziget,46480,47677
19,hungary,Twinloop,28541,31154
20,hungary,pont01 napelem,16198,18358
21,hungary,Bacskalogistic P0638,64296,57009
