,country,name,sid,id
0,india,BMT,56151,63115
1,india,Jaycee,85738,97258
2,india,msiltd,47522,52278
3,india,Softeonindia,3035,3266
4,india,Solar183,60294,67835
5,india,Sigma1Pumps,78245,88248
6,india,WATTZA Flin Energy 5KW Hybrid,71120,80238
7,india,Boganvilla,66634,75153
8,india,25 FM Grid Tie,87410,99175
9,india,FlinEnergy Infini 5K,78186,88178
10,india,SUNthrupti,72742,82049
11,india,Patils,59687,67138
12,india,Mulberry Gardens,58780,66103
13,india,Mookambika,59838,67325
14,india,Sigma1D,78571,88248
15,india,Nagpur Enphase,73347,82733
16,india,AEP,30432,33213
17,india,Praful Sapariya,56709,63771
18,india,Sauparnika India Off-Grid,81408,92085
19,india,Little Tree,90559,103000
20,india,Nitin Goyat OffGrid Inverter,60602,68200
21,india,KVPS,50492,55702
22,india,German House,7219,8871
23,india,Softeonindia1,2556,3266
24,india,Fourvees India Solar,35987,39398
25,india,KudakkachiraEnphase2.3,91554,104299
26,india,Ganeshji Thakurpukur,82081,92923
27,india,Goyat Sector2 Rtk RoofTop,60673,68291
