,country,name,sid,id
0,indonesia,jakarta.ragunan,50914,56304
1,indonesia,PositronicEXD1095,51639,57518
2,indonesia,PositronicEXD1091,51510,57322
3,indonesia,Cubadak Hybrid Power System,66963,75525
4,indonesia,SUP2,26667,28046
5,indonesia,KlodranPV,82714,93674
6,indonesia,Pondok Hijau II/24,56555,63570
7,indonesia,Tenggarong_Home,72016,81256
8,indonesia,Sup1,25683,28046
9,indonesia,BED Lembongan,53794,60427
10,indonesia,CafeLibrarie,49160,54040
11,indonesia,PositronicEXD1092,51511,57323
12,indonesia,TEPI,33655,36810
13,indonesia,MDPG7,86012,97598
14,indonesia,RumahSurya_A22,53769,60406
15,indonesia,PIP2424,52012,58168
16,indonesia,Prosol,51464,57222
17,indonesia,tadif,14797,17007
18,indonesia,Kaylahomesystem,65601,73946
