,country,name,sid,id
0,ireland,LynchHouse,39653,43392
1,ireland,Old Abbey,52805,59333
2,ireland,Woodyhaven,68909,77725
3,ireland,Solis-D16,79835,90128
4,ireland,JMadiganGarage,72553,81842
5,ireland,fb85f33c,84132,95395
6,ireland,Hipar 2.8  VAWT,52441,58925
7,ireland,F92-3CA,97266,111435
8,ireland,Edendarriff1,95204,108953
9,ireland,Groningen House,89145,101252
10,ireland,DMull-Home,99167,113724
11,ireland,A Rated Rogan,98042,112360
12,ireland,Dublin16,84960,96358
13,ireland,Rosemount,59592,67017
14,ireland,Clay Farm,70872,79947
15,ireland,Dublin,12723,14854
16,ireland,Knocknacarrow,93228,106511
17,ireland,Taku,20654,22764
18,ireland,O'Neils Effin 3.4kw Sharp (GF),35368,38651
19,ireland,Krikrak,36377,39820
20,ireland,DraculaSolar,83773,94940
21,ireland,Clea Lakes,67153,75742
22,ireland,Beverton 10,73564,82967
23,ireland,My Sunpower 327,33059,36109
24,ireland,gavsmappee,56716,63780
25,ireland,roddy solar,33077,36129
26,ireland,Renvyle,85730,97250
