,country,name,sid,id
0,israel,ros55_ramon,10355,12426
1,israel,elk15_ramon,9926,11982
2,israel,YarivE,12436,14586
3,israel,Ziv Ben-Yehuda - Tracker,12213,14357
4,israel,hadar&maoz etziony tracker,10571,12635
5,israel,Amir Etziony,12120,14259
6,israel,Dani miller,18006,20146
7,israel,Kaufman,4814,6021
8,israel,elimor-home-1,34310,37506
9,israel,GANON_PV,13550,15694
10,israel,ros15,23597,12426
11,israel,StruganoSMA,4972,6227
12,israel,Ams,73233,82599
13,israel,Zer Solar,14573,12452
14,israel,AviShean,83189,94240
15,israel,BTPV,16398,18546
16,israel,opvt,58686,66009
17,israel,ros55_ramon,10355,12426
