,country,name,sid,id
0,lithuania,Trakai K,30164,32908
1,lithuania,Pamiskes Saule,74520,84041
2,lithuania,Vievis (Automagistrale),27061,29536
3,lithuania,Mano Romainiai 13 kW,74527,84051
4,lithuania,Rugpieniai,60629,68233
5,lithuania,AVSaule Kaunas,53891,60533
6,lithuania,Superinė elektrinė,75127,84730
7,lithuania,dovis,76143,84464
8,lithuania,Ariogalos saulės jėgainė,30573,29536
9,lithuania,abyss25,68068,76765
10,lithuania,Vinciuniskiu,89481,101651
11,lithuania,GVPower,77594,87510
12,lithuania,Pavilnys,89883,102106
13,lithuania,Vilnius Balsiai West,91152,103788
14,lithuania,Tomo elektrine,74516,84037
15,lithuania,sharp 370W Daniliskes Vilnius,85672,97178
16,lithuania,s10,83487,94565
17,lithuania,Draugystes PV,92987,102438
18,lithuania,Ariogalos saulės jėgainės,45325,49790
19,lithuania,Grikapalis,89551,101729
20,lithuania,Violeta Grigalienė,83094,94120
21,lithuania,EŠ Saulės Elektrinė,92264,105245
22,lithuania,Solaredžas,94014,107479
23,lithuania,Test Vitalis,29206,31865
24,lithuania,Saulute Vilnius Lithuania,75261,84889
25,lithuania,Plikiai,95179,108924
