,country,name,sid,id
0,malaysia,Solar 39,34712,37952
1,malaysia,abb kuantan,32450,35452
2,malaysia,Pearl of Orient 2,33308,36408
3,malaysia,10KW Daniel PG,35230,38280
4,malaysia,Pearl of Orient,33298,36408
5,malaysia,7KW Daniel BM,52680,59196
6,malaysia,Solar Baker,53762,60383
7,malaysia,Cloverfield,19602,20465
8,malaysia,Tommyhong1,34181,37376
9,malaysia,TKL SP Inverter 1,41317,45064
10,malaysia,TKL PG Inverter 1,41127,45064
11,malaysia,Quakbk2,34637,37862
12,malaysia,TKL PG Inverter 2,41316,45064
13,malaysia,TKL SP Inverter 2,41318,45064
14,malaysia,Quakbk1,34636,37862
15,malaysia,Tommyhong2,34212,37376
16,malaysia,bryantanpg,35063,38312
17,malaysia,sph1,38937,42373
18,malaysia,sph2,38897,42373
19,malaysia,Seri Putra,36523,39978
20,malaysia,33JPJ,33396,36534
21,malaysia,cch2,38772,42461
22,malaysia,cch1,38771,42461
23,malaysia,subang mali,25737,28107
24,malaysia,limchengchai2,38959,42646
25,malaysia,limchengchai1,38958,42646
26,malaysia,Sutera,83557,94647
27,malaysia,sps,33945,37096
