,country,name,sid,id
0,malta,F1 GARAGE,47617,52380
1,malta,Chips271,45886,50435
2,malta,Carmeline Agius,57207,64348
3,malta,Jonny Rehnstorm,55034,61829
4,malta,M & L Refalo LTD,54878,61668
5,malta,Jamie Sammut,57644,64852
6,malta,Tony Grech Madliena,49255,54160
7,malta,Joseph Caruana,55743,62666
8,malta,Aloaha Enecsys 2000024894,36557,39796
9,malta,Dennis Zarb,50962,56388
10,malta,Christopher Galea Marsascala,49152,54030
11,malta,Wurth Centre - Zebbug,28096,30661
12,malta,Kirsty Ann Gatt,49271,54178
13,malta,Gerald Sciberras,48346,53144
14,malta,Silvio Vassallo Kirkop,49796,54777
15,malta,Edward Vassallo,49059,53925
16,malta,Aloaha Enecsys 2000010466,13321,15431
17,malta,Carmel Cassar,55744,62667
18,malta,Sandro Bianco,55391,62251
19,malta,Geoffrey Dixon,51335,56966
20,malta,Matthew Gatt,60857,68505
21,malta,Jonathan Attard,56248,63218
22,malta,Peter Bonnici,62034,69816
23,malta,Christopher Stergar,51150,56666
24,malta,Caroline Debattista,50964,56389
25,malta,Mark Pellicano,62027,69809
26,malta,Carmel Callus,60567,68158
27,malta,Mario Zerafa,55574,62458
