,country,name,sid,id
0,nigeria,Dapsyra150,42159,46221
1,nigeria,Semako,51945,58026
2,nigeria,Ojeysky-Deye,70315,79316
3,nigeria,Akobo Power,37950,41530
4,nigeria,Barezzi Deye Solar,50312,55462
5,nigeria,MCCI_Solar,49384,54309
6,nigeria,az001,80878,91417
7,nigeria,Progerton,59118,66497
8,nigeria,solarmowe,62488,70345
9,nigeria,MyClassic200,45070,49503
10,nigeria,Brown Beans,46572,51202
11,nigeria,NH2G11U2,57024,64125
12,nigeria,Tapeta Street,35969,39375
13,nigeria,MPP_5.5kva,71144,80262
14,nigeria,Ebocoms Power,80129,90477
15,nigeria,Primera,57097,64221
16,nigeria,FyneSolar,49618,54581
17,nigeria,ZNX Solar,99531,114179
18,nigeria,LightOrb,71693,80909
19,nigeria,Agrregate Solar,51733,39375
20,nigeria,Ashipa-IPP,100028,114760
21,nigeria,wilfriktec,62679,70549
22,nigeria,UltraHome,67778,76449
23,nigeria,ALMA8RGE,68093,76794
24,nigeria,IduAbuja,80712,91207
25,nigeria,Barezzi Quattro Solar,56023,55462
26,nigeria,Grid Tied in Lekki,99242,113820
27,nigeria,TRATON,73705,83131
28,nigeria,Tapeta old install,51584,39375
