,country,name,sid,id
0,norway,Granholt,62873,70782
1,norway,Huset,86582,98254
2,norway,Grimstad,51750,57696
3,norway,Trond Solar System,11097,13188
4,norway,Dvergsnessvingen160,55010,61803
5,norway,Otovo,55090,61897
6,norway,Holmen 104,85545,96984
7,norway,Holmen 104 Øst,85506,96984
8,norway,Nordstrand,74688,84236
9,norway,Vibevegen 3,70513,79514
10,norway,Holmen 104 Sør Vest,85544,96984
11,norway,SSV16 - Stavanger - NORWAY,62981,70903
12,norway,WZ64,74754,84314
13,norway,Sandefjord NORWAY,16953,19107
14,norway,obtitus,76314,86066
15,norway,UBV28,90295,102667
16,norway,UEA-47-Uthuset,92802,105960
