,country,name,sid,id
0,pakistan,14.6 kWh Lhr Pk,60968,68626
1,pakistan,Siraay Parent,87125,98902
2,pakistan,Yousuf_10KW,68935,77752
3,pakistan,GoodWe 5kW,58159,65431
4,pakistan,Siraay A,87119,98902
5,pakistan,Shess D.track T Solar 5kw,44262,48608
6,pakistan,Home 10kw,73899,83371
7,pakistan,Infini V 5kw Gujrat,65305,73612
8,pakistan,Siraay C,87122,98902
9,pakistan,Infini 3KW+ LHR,60833,68478
10,pakistan,Belal,86971,98116
11,pakistan,5.2 kWh Solar Project DHA LHR,68599,77365
12,pakistan,Bilal,76615,86406
13,pakistan,Solis Home,85523,96989
14,pakistan,5.1 kWh Solar BRW,75123,84726
15,pakistan,5.61 kWh Solar Project MT LHR,66078,74508
16,pakistan,SMA SB4.1K,43022,47195
17,pakistan,M Salman - LHR OffGrid-OnGrid,49617,54579
18,pakistan,Siraay B,87121,98902
19,pakistan,5.88 kW Solar KA LHR,84677,96028
20,pakistan,3.3 kWh Solar Project Lhr PK,58294,65581
21,pakistan,3.6kW Solar UET LHR,84670,96020
22,pakistan,Tiberiun,97799,112077
23,pakistan,5.9 kWh Solar Setup DHA V LHR,68745,77521
24,pakistan,5.2 kWh Solar Project UET Lhr,66105,74536
25,pakistan,Aerox 5.2KW,59825,67306
26,pakistan,2.9 kWh Solar Project Lhr,65914,74318
27,pakistan,Fronus 3.2 KWP,75993,85716
28,pakistan,2.9 kWh Solar Project Lhr NFC,66464,74961
29,pakistan,2.4 kWh Solar Setup,59955,67466
