,country,name,sid,id
0,poland,RG2,86001,90858
1,poland,RG3,86000,90858
2,poland,RG1,85783,90858
3,poland,SMA25,89133,99292
4,poland,Jakub,74016,83517
5,poland,RafalTrzebiez,49496,54446
6,poland,PVMarS,69140,77961
7,poland,J.S. SuchyLas,42316,46390
8,poland,D_PL_Sofar,51166,56690
9,poland,Mumin_PV,54560,61280
10,poland,Pilocik,61525,69243
11,poland,SolarEdge Szczepanow,54985,61774
12,poland,Bialystok_000,60889,68537
13,poland,Elektrownia_Reymonta,65988,74400
14,poland,PV Artur,71753,80976
15,poland,otlowiec,80724,91225
16,poland,Farma Wojo,60548,68135
17,poland,Morfeusz,66816,75354
18,poland,BeLove,70457,79456
19,poland,Pyszczak PV,46034,50605
20,poland,Frounius symo 7.0,74179,83695
21,poland,ukash,67970,76658
22,poland,SE7K,61859,69608
23,poland,tomczaq,76063,85787
24,poland,instalacja PV,66462,74960
