,country,name,sid,id
0,portugal,Xanadu Tavira,5423,6799
1,portugal,Vila Baleira Hotel,16740,18890
2,portugal,Maravilha Azul,16557,18702
3,portugal,Quinta Sinfonia,16405,18555
4,portugal,Patalhetas-Portugal,74814,84377
5,portugal,Penela,10888,12965
6,portugal,Aviz Manual,14536,16670
7,portugal,PN MP,50216,50974
8,portugal,Leça Do Balio,31846,34774
9,portugal,kakoRecom,37187,40645
10,portugal,MySolarHouse,21804,23947
11,portugal,FVsHome,44830,49222
12,portugal,PN Prod. Total + AC,46359,50974
13,portugal,Flukso_valongo,33927,37086
14,portugal,nunojpg,5341,6693
15,portugal,PN TESTE AC,51419,50974
16,portugal,Quinta-Castelo-Novo,6036,7497
17,portugal,ZG_17_HOME,74676,84222
18,portugal,bpduartesma,49872,54855
19,portugal,Praia de Furadouro,15939,18127
20,portugal,Castilho,15060,16670
21,portugal,Vila Baleira Aparthotel,16741,18890
22,portugal,Parede SOLAR + CONSUMO,48685,50691
23,portugal,Casa da Azenha,66777,75316
24,portugal,custodio 2,25377,12061
25,portugal,PN Kyocera AC,50215,50974
26,portugal,Parede Solar,46111,50691
27,portugal,Base447027,76990,82139
