,country,name,sid,id
0,puerto rico,Island Joy,3860,4885
1,puerto rico,R8 PV System,47244,51970
2,puerto rico,icebox_inel,56405,63389
3,puerto rico,Berenguer,42519,46628
4,puerto rico,volihome,74325,83839
5,puerto rico,Elizabeth Vale,40247,44069
6,puerto rico,Geo Solar Energy,66297,74765
7,puerto rico,AvilesHome,40135,41493
8,puerto rico,Home Princesa,36751,40216
9,puerto rico,Aloaha Enecsys 2000021548,37969,41554
10,puerto rico,Juana Diaz ph1,66655,75177
11,puerto rico,Villodas Energy,66293,73936
12,puerto rico,fcm,98200,112551
13,puerto rico,HealingBeams,65944,74350
14,puerto rico,Mon,80392,63389
15,puerto rico,PT PV,79168,89328
16,puerto rico,Roosevelt,84430,95739
17,puerto rico,Aloaha Enecsys 2000028528,36977,40430
18,puerto rico,Oasis Home,49874,54854
19,puerto rico,RICOL,66291,74760
20,puerto rico,PV Casa Flecha,70026,78978
21,puerto rico,Randall Ernesti 12.24kw_Rincon,19573,21708
22,puerto rico,AntoineY,87949,99880
23,puerto rico,Edgar's Solar System,58889,66222
24,puerto rico,JNKMysterio_Home,75229,84851
25,puerto rico,Britton 151,74554,80026
26,puerto rico,BRODZ 1330 - PR 00924,75653,85335
27,puerto rico,Casa-Manuel,57817,65049
28,puerto rico,Apollo-Rosa_Martinez,14039,16227
