,country,name,sid,id
0,romania,Falkor,92446,99929
1,romania,reactorul 1,76747,86556
2,romania,"Delphi Electric 3,5KW",17589,19742
3,romania,FronyVidra,73883,83352
4,romania,KantiMV,93653,107043
5,romania,Falkor-home,92435,99929
6,romania,solar Laslea,54317,61026
7,romania,Rozelor9,74961,84541
8,romania,Cazacu Mihai (casa Breaza),73708,83134
9,romania,Consum + PV - VV,60462,68026
10,romania,Teo Tita (Moreni),76230,85972
11,romania,Romero Energy Home,63839,71919
12,romania,Luna275,87929,99859
13,romania,Welthaus Warehouse,9253,11243
14,romania,Dumitru Dragan (Fetesti),73832,83288
15,romania,C. SOLARPOWER - Cireșoaia - BN,69924,78813
16,romania,Radaia-Cluj-1,94413,108014
17,romania,Home_Preajba,99946,114664
18,romania,Hortiprod,50118,55186
19,romania,Paulesti(Prahova),77370,87250
20,romania,Welthaus Warehouse 2,9738,11243
21,romania,Domnesti OffGrid2,95373,109153
