,country,name,sid,id
0,slovakia,Samorin,9017,9934
1,slovakia,Ziar nad Hronom,8743,9934
2,slovakia,SMA-BDC,7083,8717
3,slovakia,SMA-ILJ,22966,8717
4,slovakia,PepePV,31777,34696
5,slovakia,Dolny Kubin,9080,9934
6,slovakia,Jablonec Home FVE,41001,44924
7,slovakia,cetera-fve,37882,41458
8,slovakia,ReGe,74482,83998
9,slovakia,Bratislava,8084,9934
10,slovakia,NDOM,83140,94176
11,slovakia,lubina,78275,83959
12,slovakia,Liptovsky Mikulas,9087,9934
13,slovakia,BK Centrum,94132,107648
14,slovakia,Kvako1 F1,73412,82799
15,slovakia,FVE Velka Paka 139,32816,35859
16,slovakia,Leo's PV Plant,16742,18891
17,slovakia,Fronius_Krupina_SK,51876,57916
18,slovakia,AlexFV,8978,10948
19,slovakia,SolarEdge Trnava,79257,89423
20,slovakia,Roman Kralova,72041,81288
21,slovakia,Ždaňa,65752,74128
22,slovakia,Casta SamoFV,72063,81314
23,slovakia,lubina_6_1,79165,83959
24,slovakia,lubina_3_9,75163,83959
25,slovakia,lubina_3_3,75161,83959
26,slovakia,FVE AC-ZH 8.1KWp,95222,108974
