,country,name,sid,id
0,slovenia,MFE Lee,27131,29616
1,slovenia,"Murska Sobota, K8",37129,40568
2,slovenia,MFE Miskulin,54778,61539
3,slovenia,Cvrk_SE,22349,24515
4,slovenia,B_solar,24287,26577
5,slovenia,D112,54363,61075
6,slovenia,Solar Svete,68924,77741
7,slovenia,Jernej,91646,104434
8,slovenia,SE_bratec,28391,30992
9,slovenia,SPZL2,16058,4492
10,slovenia,SOLAREDGE DEJAN,84760,96125
11,slovenia,jb_OSSm,8605,10531
12,slovenia,Elektrarna Ravne,21065,23188
13,slovenia,Perovo,66173,74623
14,slovenia,SEFO,16057,4492
15,slovenia,SPZL,3543,4492
16,slovenia,DM16,100702,115584
17,slovenia,SEZL3,16814,4492
18,slovenia,PV Lokarje,16779,18931
19,slovenia,SEDR,16812,4492
20,slovenia,SE_Bratec_2_Orehovo,66197,74623
21,slovenia,solar radovljica,38230,41859
22,slovenia,Nadzorko,92419,105442
