,country,name,sid,id
0,south africa,Edwards Pharmacy,45346,49819
1,south africa,Sunset Splendour,52064,58295
2,south africa,10kW AC Northcliff,58530,50308
3,south africa,Arandoza,42296,46371
4,south africa,DD Home,43161,47362
5,south africa,Pandora's World,40915,44826
6,south africa,Solar@myHome1030,47052,51742
7,south africa,Ross Solar Pietermaritzburg,69497,78385
8,south africa,Christiaan Home,46140,50726
9,south africa,Sarel Solar,42665,46800
10,south africa,Phalaborwa,48904,53746
11,south africa,anunnaki,46620,51253
12,south africa,VPNT,76294,86051
13,south africa,P Mtsetweni (BigDee),61336,69033
14,south africa,M Coetzee (BigDee),66480,74979
15,south africa,Capri (BigDee),46360,50976
16,south africa,Sidewinder Midrand,49593,54552
17,south africa,H Scheepers (BigDee),60752,68379
18,south africa,Riaan_Super,69042,60828
19,south africa,MySolarPower,49116,53987
20,south africa,LK Computers Welkom,63801,71874
21,south africa,Essmor,83569,36008
22,south africa,BorzoiNet's Solar Factory,71002,80105
23,south africa,NeilHuis,78648,88739
24,south africa,AC-Tesla-Solar,48630,53440
25,south africa,ColinvS,48486,53296
26,south africa,Kamferbos,59591,67016
