,country,name,sid,id
0,spain,AE011-EM,26575,15594
1,spain,Ona Solar Mercat del Carmel,34434,37639
2,spain,AE010-EM,26574,15594
3,spain,AE008-EM,25563,15594
4,spain,Mollegar,47248,51976
5,spain,FV-FR,43076,47268
6,spain,AE026-EM,39642,29011
7,spain,ULaboral_Culleredo,64190,72307
8,spain,PV-TONIONE,16176,18346
9,spain,AE014-EM,31325,29011
10,spain,Pamies,15776,17969
11,spain,Cal26 Solar,55713,62632
12,spain,Canor,38290,41932
13,spain,AE025-EM,39580,29011
14,spain,CalVilches,65008,73276
15,spain,OASIS88,73795,83236
16,spain,prueba1ppp,20236,22343
17,spain,AE024-EM,39168,29011
18,spain,ToTi,64593,72797
19,spain,mleon,55910,62620
20,spain,Titul,55712,62631
21,spain,santyPV,55739,62661
22,spain,MPP SOLAR 5.5 + PYLONTECH,73889,83362
23,spain,Santa Susanna. Catalonia,23674,18948
24,spain,Nucelar,73441,82835
