,country,name,sid,id
0,sri lanka,Mr.Mohan's Home,30571,32176
1,sri lanka,Galkanda,22545,24708
2,sri lanka,Rasika's PV System,28683,31308
3,sri lanka,Flower Road 2,38318,41967
4,sri lanka,Flower Road 1,38317,41967
5,sri lanka,"Isuru Mawatha, Pannipitiya 2",38321,41970
6,sri lanka,Neelampari 10.5kW,38777,30530
7,sri lanka,"Isuru Mawatha, Pannipitiya 1",38320,41970
8,sri lanka,Bo Tex,67876,76554
9,sri lanka,Aniwatte,30236,32992
10,sri lanka,Ajith R Home,24977,27284
11,sri lanka,Ranatunga home,47712,52475
12,sri lanka,PDP Associates,85235,47064
13,sri lanka,Munasinghe,35855,39247
14,sri lanka,padma,30916,33741
15,sri lanka,Greenstar,23112,25338
16,sri lanka,Dumindra's Home,23665,25947
17,sri lanka,Greenstarlk1,29111,31775
18,sri lanka,IIAl Chairman's Home,29503,32176
19,sri lanka,kkumara,83302,94364
20,sri lanka,garden,31128,33976
21,sri lanka,Tilantha's Home Green Energy,94752,107333
22,sri lanka,Shanil C Perera,37806,39247
23,sri lanka,Rohini Kandy,30919,33743
24,sri lanka,3K-Theresa,27975,30530
25,sri lanka,kanchana,83256,94239
26,sri lanka,PV system at Ratmalana,29010,31662
27,sri lanka,MjayHome,70333,79334
