,country,name,sid,id
0,sweden,Solar_Ryftes,26135,25012
1,sweden,Oxievägen6,42060,37059
2,sweden,"Sjökarby, Åkersberga",29092,31753
3,sweden,Gripagården,86725,98431
4,sweden,Hokhults solcellspark,33870,37033
5,sweden,Ellösgatan Gbg,30325,30819
6,sweden,Herrekvarn,58919,65917
7,sweden,Sjobacken,47142,52109
8,sweden,Uppstugan,41515,45518
9,sweden,Sjotorpavagen,48534,42563
10,sweden,"Solskivan1, Helsingborg",23094,24422
11,sweden,"Hagen, Orust",45635,50151
12,sweden,Jarls,74281,83797
13,sweden,Björkbacken,51302,56078
14,sweden,Fasan1,51051,56533
15,sweden,Ritaregranden,39200,42563
16,sweden,Kransegården,65263,73568
17,sweden,Strandbro,19529,21659
18,sweden,Aplagarden B&B,49314,54226
19,sweden,Vikenvagen 10,48535,42563
20,sweden,Oxie,12273,11627
21,sweden,Faglevik,46540,51166
22,sweden,17.6WpUppsalaSweden,56379,63357
23,sweden,Snowball Road Solar Centre,46026,50596
24,sweden,Loke 110,27698,30239
25,sweden,Carlsborg,61287,68984
26,sweden,Eriksgarden9,36595,40054
27,sweden,Husbyn 121,46742,51397
28,sweden,Kungsfjällen,57432,64608
