,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['09/02/22'],['7.206kWh'],['0.702kWh/kW'],['-'],['3.813kW'],['1:35PM'],['Partly Cloudy'],,['Updated 13:55 UTC+1:00']
1,['08/02/22'],['8.130kWh'],['0.792kWh/kW'],['-'],['1.958kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 17:50 UTC+1:00']
2,['07/02/22'],['8.176kWh'],['0.797kWh/kW'],['-'],['2.208kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 17:35 UTC+1:00']
3,['06/02/22'],['3.635kWh'],['0.354kWh/kW'],['-'],['1.629kW'],['10:25AM'],['Cloudy'],,['Updated 16:55 UTC+1:00']
4,['05/02/22'],['3.694kWh'],['0.360kWh/kW'],['-'],['1.696kW'],['1:30PM'],['Cloudy'],,['Updated 17:35 UTC+1:00']
5,['04/02/22'],['6.421kWh'],['0.626kWh/kW'],['-'],['1.879kW'],['12:10PM'],['Mostly Cloudy'],,['Updated 17:20 UTC+1:00']
6,['03/02/22'],['3.247kWh'],['0.316kWh/kW'],['-'],['1.587kW'],['1:50PM'],['Cloudy'],,['Updated 17:20 UTC+1:00']
7,['1 DAY GAP'],[],[],[],[],[],[],,[]
8,['01/02/22'],['1.799kWh'],['0.175kWh/kW'],['-'],['0.517kW'],['11:45AM'],['Showers'],,['Updated 16:45 UTC+1:00']
9,['31/01/22'],['0.757kWh'],['0.074kWh/kW'],['-'],['1.274kW'],['2:15PM'],['Showers'],,['Updated 17:05 UTC+1:00']
10,['30/01/22'],['7.058kWh'],['0.688kWh/kW'],['-'],['1.991kW'],['12:55PM'],['Partly Cloudy'],,['Updated 17:30 UTC+1:00']
11,['29/01/22'],['8.424kWh'],['0.821kWh/kW'],['-'],['1.891kW'],['12:45PM'],['Fine'],,['Updated 17:25 UTC+1:00']
12,['28/01/22'],['8.379kWh'],['0.817kWh/kW'],['-'],['1.739kW'],['12:40PM'],['Fine'],,['Updated 17:25 UTC+1:00']
13,['27/01/22'],['4.441kWh'],['0.433kWh/kW'],['-'],['1.650kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 17:20 UTC+1:00']
14,['26/01/22'],['2.241kWh'],['0.218kWh/kW'],['-'],['0.581kW'],['3:35PM'],['Cloudy'],,['Updated 17:10 UTC+1:00']
15,['25/01/22'],['1.974kWh'],['0.192kWh/kW'],['-'],['0.471kW'],['2:20PM'],['Cloudy'],,['Updated 17:10 UTC+1:00']
16,['24/01/22'],['1.673kWh'],['0.163kWh/kW'],['-'],['0.576kW'],['3:45PM'],['Showers'],,['Updated 17:15 UTC+1:00']
17,['23/01/22'],['1.722kWh'],['0.168kWh/kW'],['-'],['0.540kW'],['1:50PM'],['Showers'],,['Updated 16:55 UTC+1:00']
18,['22/01/22'],['7.980kWh'],['0.778kWh/kW'],['-'],['1.748kW'],['12:35PM'],['Partly Cloudy'],,['Updated 17:10 UTC+1:00']
