,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Feb 22'],['42.308kWh'],['0.515kWh/kW'],['-'],"['0,00 CHF']",['1.799kWh'],['8.176kWh'],['5.288kWh'],['Partial Month (8 days)']
1,['Jan 22'],['120.299kWh'],['0.404kWh/kW'],['-'],"['0,00 CHF']",['0.570kWh'],['8.629kWh'],['4.148kWh'],['Partial Month (29 days)']
2,['Dec 21'],['57.361kWh'],['0.399kWh/kW'],['-'],"['0,00 CHF']",['0.063kWh'],['12.302kWh'],['4.097kWh'],['Partial Month (14 days)']
3,['Nov 21'],['127.850kWh'],['0.416kWh/kW'],['-'],"['0,00 CHF']",['1.547kWh'],['9.822kWh'],['4.261kWh'],[]
4,['Oct 21'],['303.774kWh'],['0.955kWh/kW'],['-'],"['0,00 CHF']",['2.871kWh'],['16.350kWh'],['9.799kWh'],[]
5,['Sep 21'],['808.122kWh'],['2.626kWh/kW'],['-'],"['0,00 CHF']",['5.033kWh'],['39.911kWh'],['26.937kWh'],[]
6,['Aug 21'],['982.694kWh'],['3.090kWh/kW'],['-'],"['0,00 CHF']",['11.540kWh'],['44.170kWh'],['31.699kWh'],[]
7,['Jul 21'],['775.373kWh'],['3.149kWh/kW'],['-'],"['0,00 CHF']",['12.371kWh'],['50.791kWh'],['32.307kWh'],['Partial Month (24 days)']
8,['Jun 21'],['1.063MWh'],['3.699kWh/kW'],['-'],"['0,00 CHF']",['17.802kWh'],['51.402kWh'],['37.950kWh'],['Partial Month (28 days)']
9,['May 21'],['1.058MWh'],['3.327kWh/kW'],['-'],"['0,00 CHF']",['8.682kWh'],['55.764kWh'],['34.133kWh'],[]
10,['Apr 21'],['1.143MWh'],['3.713kWh/kW'],['-'],"['0,00 CHF']",['11.607kWh'],['50.096kWh'],['38.096kWh'],[]
11,['Mar 21'],['782.059kWh'],['2.459kWh/kW'],['-'],"['0,00 CHF']",['8.185kWh'],['40.887kWh'],['25.227kWh'],[]
12,['Feb 21'],['346.032kWh'],['1.204kWh/kW'],['-'],"['0,00 CHF']",['0.925kWh'],['25.772kWh'],['12.358kWh'],[]
13,['Jan 21'],['112.797kWh'],['0.355kWh/kW'],['-'],"['0,00 CHF']",['0.029kWh'],['17.190kWh'],['3.638kWh'],[]
14,['Dec 20'],['122.654kWh'],['0.386kWh/kW'],['-'],"['0,00 CHF']",['0.333kWh'],['10.815kWh'],['3.956kWh'],[]
15,['Nov 20'],['214.523kWh'],['0.697kWh/kW'],['-'],"['0,00 CHF']",['0.965kWh'],['16.932kWh'],['7.150kWh'],[]
16,['Oct 20'],['420.325kWh'],['1.322kWh/kW'],['-'],"['0,00 CHF']",['1.825kWh'],['23.867kWh'],['13.558kWh'],[]
17,['Sep 20'],['755.200kWh'],['2.454kWh/kW'],['-'],"['0,00 CHF']",['5.200kWh'],['37.322kWh'],['25.173kWh'],[]
18,['Aug 20'],['926.682kWh'],['2.914kWh/kW'],['-'],"['0,00 CHF']",['4.472kWh'],['45.700kWh'],['29.892kWh'],[]
19,['Jul 20'],['1.214MWh'],['3.816kWh/kW'],['-'],"['0,00 CHF']",['17.440kWh'],['51.138kWh'],['39.147kWh'],[]
20,['Jun 20'],['1.123MWh'],['3.648kWh/kW'],['-'],"['0,00 CHF']",['12.878kWh'],['54.655kWh'],['37.427kWh'],[]
21,['May 20'],['508.120kWh'],['3.809kWh/kW'],['-'],"['0,00 CHF']",['9.752kWh'],['57.343kWh'],['39.086kWh'],['Partial Month (13 days)']
22,['Apr 20'],['1.302MWh'],['4.228kWh/kW'],['-'],"['0,00 CHF']",['14.589kWh'],['54.699kWh'],['43.384kWh'],[]
23,['Mar 20'],['929.843kWh'],['2.924kWh/kW'],['-'],"['0,00 CHF']",['5.860kWh'],['51.464kWh'],['29.994kWh'],[]
24,['Feb 20'],['496.380kWh'],['1.668kWh/kW'],['-'],"['0,00 CHF']",['0.920kWh'],['33.074kWh'],['17.116kWh'],[]
25,['Jan 20'],['302.709kWh'],['0.952kWh/kW'],['-'],"['0,00 CHF']",['0.093kWh'],['16.660kWh'],['9.764kWh'],[]
26,['Dec 19'],['170.116kWh'],['0.535kWh/kW'],['-'],"['0,00 CHF']",['0.068kWh'],['12.409kWh'],['5.487kWh'],[]
27,['Nov 19'],['240.795kWh'],['0.782kWh/kW'],['-'],"['0,00 CHF']",['2.282kWh'],['18.850kWh'],['8.026kWh'],[]
28,['Oct 19'],['243.923kWh'],['1.486kWh/kW'],['-'],"['0,00 CHF']",['3.629kWh'],['31.089kWh'],['15.245kWh'],['Partial Month (16 days)']
29,['Sep 19'],['864.323kWh'],['2.808kWh/kW'],['-'],"['0,00 CHF']",['10.768kWh'],['41.160kWh'],['28.810kWh'],[]
30,['Aug 19'],['986.012kWh'],['3.100kWh/kW'],['-'],"['0,00 CHF']",['6.645kWh'],['45.821kWh'],['31.806kWh'],[]
31,['Jul 19'],['1.224MWh'],['3.847kWh/kW'],['-'],"['0,00 CHF']",['9.016kWh'],['52.177kWh'],['39.468kWh'],[]
32,['Jun 19'],['1.242MWh'],['4.034kWh/kW'],['-'],"['0,00 CHF']",['10.804kWh'],['57.444kWh'],['41.391kWh'],[]
33,['May 19'],['952.160kWh'],['2.994kWh/kW'],['-'],"['0,00 CHF']",['6.691kWh'],['59.338kWh'],['30.714kWh'],[]
34,['Apr 19'],['719.926kWh'],['2.339kWh/kW'],['-'],"['0,00 CHF']",['0.272kWh'],['37.904kWh'],['23.997kWh'],[]
35,['Mar 19'],['637.756kWh'],['2.005kWh/kW'],['-'],"['0,00 CHF']",['3.626kWh'],['33.393kWh'],['20.572kWh'],[]
36,['Feb 19'],['370.608kWh'],['1.290kWh/kW'],['-'],"['0,00 CHF']",['0.200kWh'],['22.854kWh'],['13.236kWh'],[]
37,['Jan 19'],['142.563kWh'],['0.448kWh/kW'],['-'],"['0,00 CHF']",['0.097kWh'],['13.415kWh'],['4.598kWh'],[]
38,['Dec 18'],['110.456kWh'],['0.347kWh/kW'],['-'],"['0,00 CHF']",['0.055kWh'],['8.514kWh'],['3.563kWh'],[]
39,['Nov 18'],['163.583kWh'],['0.638kWh/kW'],['-'],"['0,00 CHF']",['0.642kWh'],['20.155kWh'],['6.543kWh'],['Partial Month (25 days)']
40,['Oct 18'],['595.384kWh'],['1.872kWh/kW'],['-'],"['0,00 CHF']",['2.020kWh'],['29.784kWh'],['19.205kWh'],[]
41,['Sep 18'],['713.853kWh'],['2.319kWh/kW'],['-'],"['0,00 CHF']",['1.568kWh'],['39.048kWh'],['23.795kWh'],[]
