,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2022-06'],['23.512kWh'],['0.764kWh/kW'],['-'],"['0,00 CHF']",['7.206kWh'],['8.176kWh'],['7.837kWh'],['07/02/22 - 09/02/22']
1,['2022-05'],['19.553kWh'],['0.318kWh/kW'],['-'],"['0,00 CHF']",['0.757kWh'],['6.421kWh'],['3.258kWh'],['31/01/22 - 06/02/22']
2,['2022-04'],['34.190kWh'],['0.476kWh/kW'],['-'],"['0,00 CHF']",['1.673kWh'],['8.424kWh'],['4.884kWh'],['24/01/22 - 30/01/22']
3,['2022-03'],['28.697kWh'],['0.466kWh/kW'],['-'],"['0,00 CHF']",['1.619kWh'],['8.629kWh'],['4.782kWh'],['17/01/22 - 23/01/22']
4,['2022-02'],['38.603kWh'],['0.538kWh/kW'],['-'],"['0,00 CHF']",['2.972kWh'],['7.334kWh'],['5.514kWh'],['10/01/22 - 16/01/22']
5,['2022-01'],['10.275kWh'],['0.167kWh/kW'],['-'],"['0,00 CHF']",['0.570kWh'],['3.054kWh'],['1.712kWh'],['03/01/22 - 09/01/22']
6,['2021-52'],['10.580kWh'],['0.344kWh/kW'],['-'],"['0,00 CHF']",['2.254kWh'],['5.523kWh'],['3.526kWh'],['30/12/21 - 02/01/22']
7,['2021-51'],['1.943kWh'],['0.189kWh/kW'],['-'],"['0,00 CHF']",['1.943kWh'],['1.943kWh'],['1.943kWh'],['20/12/21 - 20/12/21']
8,['2021-50'],['2.252kWh'],['0.219kWh/kW'],['-'],"['0,00 CHF']",['2.252kWh'],['2.252kWh'],['2.252kWh'],['13/12/21 - 13/12/21']
9,['2021-49'],['21.918kWh'],['0.356kWh/kW'],['-'],"['0,00 CHF']",['0.063kWh'],['9.065kWh'],['3.653kWh'],['06/12/21 - 12/12/21']
10,['2021-48'],['36.329kWh'],['0.506kWh/kW'],['-'],"['0,00 CHF']",['0.746kWh'],['12.302kWh'],['5.189kWh'],['29/11/21 - 05/12/21']
11,['2021-47'],['26.599kWh'],['0.371kWh/kW'],['-'],"['0,00 CHF']",['1.929kWh'],['9.822kWh'],['3.799kWh'],['22/11/21 - 28/11/21']
12,['2021-46'],['20.573kWh'],['0.287kWh/kW'],['-'],"['0,00 CHF']",['1.547kWh'],['6.808kWh'],['2.939kWh'],['15/11/21 - 21/11/21']
13,['2021-45'],['33.223kWh'],['0.463kWh/kW'],['-'],"['0,00 CHF']",['2.595kWh'],['5.910kWh'],['4.746kWh'],['08/11/21 - 14/11/21']
14,['2021-44'],['39.571kWh'],['0.551kWh/kW'],['-'],"['0,00 CHF']",['2.092kWh'],['8.881kWh'],['5.653kWh'],['01/11/21 - 07/11/21']
15,['2021-43'],['50.425kWh'],['0.702kWh/kW'],['-'],"['0,00 CHF']",['2.871kWh'],['11.455kWh'],['7.203kWh'],['25/10/21 - 31/10/21']
16,['2021-42'],['73.600kWh'],['1.025kWh/kW'],['-'],"['0,00 CHF']",['6.697kWh'],['12.684kWh'],['10.514kWh'],['18/10/21 - 24/10/21']
17,['2021-41'],['83.512kWh'],['1.163kWh/kW'],['-'],"['0,00 CHF']",['8.406kWh'],['14.012kWh'],['11.930kWh'],['11/10/21 - 17/10/21']
18,['2021-40'],['59.272kWh'],['0.825kWh/kW'],['-'],"['0,00 CHF']",['5.441kWh'],['13.232kWh'],['8.467kWh'],['04/10/21 - 10/10/21']
