,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2022'],['162.607kWh'],['0.428kWh/kW'],['-'],"['0,00 CHF']",['0.570kWh'],['8.629kWh'],['4.394kWh'],['Partial Year (37 days)']
1,['2021'],['7.560MWh'],['2.174kWh/kW'],['-'],"['0,00 CHF']",['0.029kWh'],['55.764kWh'],['22.300kWh'],['Partial Year (339 days)']
2,['2020'],['8.314MWh'],['2.329kWh/kW'],['-'],"['0,00 CHF']",['0.093kWh'],['57.343kWh'],['23.891kWh'],['Partial Year (348 days)']
3,['2019'],['7.793MWh'],['2.170kWh/kW'],['-'],"['0,00 CHF']",['0.068kWh'],['59.338kWh'],['22.267kWh'],['Partial Year (350 days)']
4,['2018'],['8.933MWh'],['2.432kWh/kW'],['-'],"['0,00 CHF']",['0.014kWh'],['62.020kWh'],['24.953kWh'],['Partial Year (358 days)']
5,['2017'],['9.465MWh'],['2.613kWh/kW'],['-'],"['0,00 CHF']",['0.018kWh'],['58.857kWh'],['26.813kWh'],['Partial Year (353 days)']
6,['2016'],['8.449MWh'],['2.269kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['64.094kWh'],['23.276kWh'],['Partial Year (363 days)']
7,['2015'],['9.568MWh'],['2.743kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['61.659kWh'],['28.141kWh'],['Partial Year (340 days)']
8,['2014'],['9.833MWh'],['2.730kWh/kW'],['-'],"['0,00 CHF']",['0.848kWh'],['63.670kWh'],['28.014kWh'],['Partial Year (351 days)']
9,['2013'],['9.330MWh'],['3.001kWh/kW'],['285.112kWh'],"['0,00 CHF']",['0.034kWh'],['66.127kWh'],['30.791kWh'],['Partial Year (303 days)']
