,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['16.089kWh'],['1.893kWh/kW'],['16.089kWh'],['3.655kW'],['2:05PM'],['Cloudy'],,['Updated 14:10 UTC+2:00']
1,['03/10/23'],['26.689kWh'],['3.140kWh/kW'],['26.689kWh'],['3.174kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 19:04 UTC+2:00']
2,['02/10/23'],['29.699kWh'],['3.494kWh/kW'],['29.699kWh'],['3.060kW'],['3:05PM'],['Mostly Cloudy'],,['Updated 18:57 UTC+2:00']
3,['01/10/23'],['24.749kWh'],['2.912kWh/kW'],['24.749kWh'],['3.306kW'],['2:45PM'],['Mostly Cloudy'],,['Updated 18:58 UTC+2:00']
4,['30/09/23'],['28.749kWh'],['3.382kWh/kW'],['28.749kWh'],['3.956kW'],['1:35PM'],['Mostly Cloudy'],,['19:11:05 30.09.2023']
5,['29/09/23'],['28.679kWh'],['3.374kWh/kW'],['28.679kWh'],['3.360kW'],['4:00PM'],['Mostly Cloudy'],,['19:03:01 29.09.2023']
6,['28/09/23'],['26.099kWh'],['3.070kWh/kW'],['26.099kWh'],['3.251kW'],['2:00PM'],['Mostly Cloudy'],,['Updated 19:16 UTC+2:00']
7,['27/09/23'],['30.179kWh'],['3.550kWh/kW'],['30.179kWh'],['3.702kW'],['2:40PM'],['Mostly Cloudy'],,['Updated 19:12 UTC+2:00']
8,['26/09/23'],['35.009kWh'],['4.119kWh/kW'],['35.009kWh'],['3.789kW'],['3:05PM'],['Partly Cloudy'],,['Updated 19:06 UTC+2:00']
9,['25/09/23'],['32.009kWh'],['3.766kWh/kW'],['32.009kWh'],['4.029kW'],['3:35PM'],['Mostly Cloudy'],,['Updated 19:10 UTC+2:00']
10,['24/09/23'],['37.049kWh'],['4.359kWh/kW'],['37.049kWh'],['3.848kW'],['1:20PM'],['Partly Cloudy'],,['Updated 19:17 UTC+2:00']
11,['23/09/23'],['30.979kWh'],['3.645kWh/kW'],['30.979kWh'],['3.654kW'],['2:55PM'],['Mostly Cloudy'],,['Updated 19:07 UTC+2:00']
12,['22/09/23'],['24.649kWh'],['2.900kWh/kW'],['24.649kWh'],['4.490kW'],['12:45PM'],['Mostly Cloudy'],,['Updated 19:12 UTC+2:00']
13,['21/09/23'],['17.829kWh'],['2.098kWh/kW'],['17.829kWh'],['3.424kW'],['2:40PM'],['Cloudy'],,['19:16:19 21.09.2023']
14,['20/09/23'],['26.599kWh'],['3.129kWh/kW'],['26.599kWh'],['3.771kW'],['12:35PM'],['Mostly Cloudy'],,['19:20:13 20.09.2023']
15,['19/09/23'],['27.509kWh'],['3.236kWh/kW'],['27.509kWh'],['3.233kW'],['4:00PM'],['Mostly Cloudy'],,['19:31:01 19.09.2023']
