,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['97.226kWh'],['2.860kWh/kW'],['97.226kWh'],"['58,34 CHF']",['16.089kWh'],['29.699kWh'],['24.306kWh'],['Partial Month (4 days)']
1,['Sep 23'],['893.020kWh'],['3.502kWh/kW'],['893.020kWh'],"['535,81 CHF']",['4.639kWh'],['42.169kWh'],['29.767kWh'],[]
2,['Aug 23'],['1.008MWh'],['3.825kWh/kW'],['1.008MWh'],"['604,72 CHF']",['1.259kWh'],['48.160kWh'],['32.511kWh'],[]
3,['Jul 23'],['1.176MWh'],['4.464kWh/kW'],['1.176MWh'],"['705,74 CHF']",['8.769kWh'],['50.279kWh'],['37.942kWh'],[]
4,['Jun 23'],['1.160MWh'],['4.549kWh/kW'],['1.160MWh'],"['696,07 CHF']",['18.529kWh'],['54.029kWh'],['38.670kWh'],[]
5,['May 23'],['1.097MWh'],['4.164kWh/kW'],['1.097MWh'],"['658,41 CHF']",['7.189kWh'],['49.889kWh'],['35.398kWh'],[]
6,['Apr 23'],['883.087kWh'],['3.463kWh/kW'],['883.087kWh'],"['529,85 CHF']",['8.359kWh'],['45.160kWh'],['29.436kWh'],[]
7,['Mar 23'],['648.950kWh'],['2.463kWh/kW'],['648.950kWh'],"['389,37 CHF']",['2.829kWh'],['35.640kWh'],['20.933kWh'],[]
8,['Feb 23'],['616.875kWh'],['2.903kWh/kW'],['616.875kWh'],"['370,12 CHF']",['10.859kWh'],['70.220kWh'],['24.675kWh'],['Partial Month (25 days)']
9,['Jan 23'],['111.949kWh'],['0.693kWh/kW'],['111.949kWh'],"['67,17 CHF']",['0.009kWh'],['15.629kWh'],['5.892kWh'],['Partial Month (19 days)']
10,['Dec 22'],['236.629kWh'],['0.960kWh/kW'],['236.629kWh'],"['141,98 CHF']",['0.210kWh'],['16.679kWh'],['8.159kWh'],['Partial Month (29 days)']
11,['Nov 22'],['350.068kWh'],['1.373kWh/kW'],['350.068kWh'],"['210,04 CHF']",['1.389kWh'],['21.459kWh'],['11.668kWh'],[]
12,['Oct 22'],['550.667kWh'],['2.090kWh/kW'],['550.667kWh'],"['330,40 CHF']",['2.659kWh'],['32.289kWh'],['17.763kWh'],[]
13,['Sep 22'],['808.810kWh'],['3.172kWh/kW'],['808.810kWh'],"['485,29 CHF']",['7.160kWh'],['39.210kWh'],['26.960kWh'],[]
14,['Aug 22'],['1.096MWh'],['4.158kWh/kW'],['1.096MWh'],"['657,39 CHF']",['7.090kWh'],['56.070kWh'],['35.343kWh'],[]
15,['Jul 22'],['1.326MWh'],['5.034kWh/kW'],['1.326MWh'],"['795,89 CHF']",['14.149kWh'],['52.680kWh'],['42.789kWh'],[]
16,['Jun 22'],['1.092MWh'],['4.283kWh/kW'],['1.092MWh'],"['655,36 CHF']",['1.260kWh'],['51.180kWh'],['36.409kWh'],[]
17,['May 22'],['1.204MWh'],['4.570kWh/kW'],['1.204MWh'],"['722,54 CHF']",['11.280kWh'],['51.430kWh'],['38.846kWh'],[]
18,['Apr 22'],['984.264kWh'],['3.860kWh/kW'],['984.264kWh'],"['590,56 CHF']",['5.590kWh'],['46.670kWh'],['32.808kWh'],[]
19,['Mar 22'],['843.995kWh'],['3.203kWh/kW'],['843.995kWh'],"['506,40 CHF']",['11.140kWh'],['36.159kWh'],['27.225kWh'],[]
20,['Feb 22'],['511.854kWh'],['2.151kWh/kW'],['511.854kWh'],"['307,11 CHF']",['2.180kWh'],['30.219kWh'],['18.280kWh'],[]
21,['Jan 22'],['415.647kWh'],['1.686kWh/kW'],['415.647kWh'],"['249,39 CHF']",['2.670kWh'],['22.250kWh'],['14.332kWh'],['Partial Month (29 days)']
22,['Dec 21'],['39.600kWh'],['0.582kWh/kW'],['39.600kWh'],"['23,76 CHF']",['0.000kWh'],['13.120kWh'],['4.950kWh'],['Partial Month (8 days)']
23,['Nov 21'],['335.526kWh'],['1.316kWh/kW'],['335.526kWh'],"['201,32 CHF']",['0.810kWh'],['26.880kWh'],['11.184kWh'],[]
24,['Oct 21'],['667.237kWh'],['2.532kWh/kW'],['667.237kWh'],"['400,34 CHF']",['4.490kWh'],['30.750kWh'],['21.523kWh'],[]
25,['Sep 21'],['808.279kWh'],['3.170kWh/kW'],['808.279kWh'],"['484,97 CHF']",['5.040kWh'],['41.920kWh'],['26.942kWh'],[]
26,['Aug 21'],['1.129MWh'],['4.283kWh/kW'],['1.129MWh'],"['677,17 CHF']",['14.220kWh'],['45.930kWh'],['36.407kWh'],[]
27,['Jul 21'],['1.032MWh'],['3.915kWh/kW'],['1.032MWh'],"['619,01 CHF']",['7.160kWh'],['58.580kWh'],['33.280kWh'],[]
28,['Jun 21'],['1.130MWh'],['4.432kWh/kW'],['1.130MWh'],"['678,17 CHF']",['17.230kWh'],['52.410kWh'],['37.675kWh'],[]
29,['May 21'],['982.544kWh'],['3.853kWh/kW'],['982.544kWh'],"['589,53 CHF']",['5.540kWh'],['51.100kWh'],['32.751kWh'],['Partial Month (30 days)']
30,['Apr 21'],['1.071MWh'],['4.501kWh/kW'],['1.071MWh'],"['642,71 CHF']",['12.610kWh'],['101.320kWh'],['38.256kWh'],['Partial Month (28 days)']
31,['Mar 21'],['833.736kWh'],['3.503kWh/kW'],['833.736kWh'],"['500,24 CHF']",['3.620kWh'],['82.669kWh'],['29.776kWh'],['Partial Month (28 days)']
32,['Feb 21'],['446.794kWh'],['1.947kWh/kW'],['446.794kWh'],"['268,08 CHF']",['1.439kWh'],['31.800kWh'],['16.547kWh'],['Partial Month (27 days)']
