,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['72.477kWh'],['2.842kWh/kW'],['72.477kWh'],"['43,49 CHF']",['16.089kWh'],['29.699kWh'],['24.159kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['205.473kWh'],['3.453kWh/kW'],['205.473kWh'],"['123,28 CHF']",['24.749kWh'],['35.009kWh'],['29.353kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['169.253kWh'],['2.845kWh/kW'],['169.253kWh'],"['101,55 CHF']",['4.639kWh'],['37.049kWh'],['24.179kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['180.093kWh'],['3.027kWh/kW'],['180.093kWh'],"['108,06 CHF']",['11.679kWh'],['35.599kWh'],['25.727kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['253.543kWh'],['4.261kWh/kW'],['253.543kWh'],"['152,13 CHF']",['32.019kWh'],['42.169kWh'],['36.220kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['174.304kWh'],['2.929kWh/kW'],['174.304kWh'],"['104,58 CHF']",['1.259kWh'],['40.829kWh'],['24.900kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['210.393kWh'],['3.536kWh/kW'],['210.393kWh'],"['126,24 CHF']",['15.709kWh'],['41.809kWh'],['30.056kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['249.584kWh'],['4.195kWh/kW'],['249.584kWh'],"['149,75 CHF']",['24.369kWh'],['39.069kWh'],['35.654kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['260.044kWh'],['4.371kWh/kW'],['260.044kWh'],"['156,03 CHF']",['30.929kWh'],['46.140kWh'],['37.149kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['266.634kWh'],['4.481kWh/kW'],['266.634kWh'],"['159,98 CHF']",['26.829kWh'],['48.160kWh'],['38.090kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['193.537kWh'],['3.253kWh/kW'],['193.537kWh'],"['116,12 CHF']",['8.769kWh'],['41.429kWh'],['27.648kWh'],['24/07/23 - 30/07/23']
