,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['145.314kWh'],['3.707kWh/kW'],['-'],"['0,00 CHF']",['25.293kWh'],['44.034kWh'],['36.328kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.291MWh'],['4.393kWh/kW'],['-'],"['0,00 CHF']",['7.371kWh'],['57.369kWh'],['43.048kWh'],[]
2,['Aug 23'],['970.554kWh'],['4.126kWh/kW'],['-'],"['0,00 CHF']",['4.956kWh'],['66.363kWh'],['40.439kWh'],['Partial Month (24 days)']
3,['Jul 23'],['1.562MWh'],['5.142kWh/kW'],['-'],"['0,00 CHF']",['28.545kWh'],['65.739kWh'],['50.396kWh'],[]
4,['Jun 23'],['1.755MWh'],['5.970kWh/kW'],['-'],"['0,00 CHF']",['23.733kWh'],['70.068kWh'],['58.505kWh'],[]
5,['May 23'],['1.428MWh'],['4.701kWh/kW'],['-'],"['0,00 CHF']",['13.575kWh'],['68.457kWh'],['46.067kWh'],[]
6,['Apr 23'],['1.118MWh'],['3.802kWh/kW'],['-'],"['0,00 CHF']",['8.529kWh'],['66.567kWh'],['37.255kWh'],[]
7,['Mar 23'],['930.909kWh'],['3.064kWh/kW'],['-'],"['0,00 CHF']",['5.373kWh'],['53.991kWh'],['30.029kWh'],[]
8,['Feb 23'],['771.918kWh'],['2.813kWh/kW'],['-'],"['0,00 CHF']",['7.116kWh'],['37.401kWh'],['27.568kWh'],[]
9,['Jan 23'],['170.727kWh'],['0.562kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['22.950kWh'],['5.507kWh'],[]
10,['Dec 22'],['189.123kWh'],['0.623kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['20.550kWh'],['6.100kWh'],[]
11,['Nov 22'],['422.286kWh'],['1.436kWh/kW'],['-'],"['0,00 CHF']",['3.096kWh'],['29.205kWh'],['14.076kWh'],[]
