,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['102.792kWh'],['3.496kWh/kW'],['-'],"['0,00 CHF']",['25.293kWh'],['44.034kWh'],['34.264kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['308.688kWh'],['4.500kWh/kW'],['-'],"['0,00 CHF']",['36.474kWh'],['50.550kWh'],['44.098kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['255.045kWh'],['3.718kWh/kW'],['-'],"['0,00 CHF']",['7.371kWh'],['51.825kWh'],['36.435kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['242.058kWh'],['3.529kWh/kW'],['-'],"['0,00 CHF']",['15.183kWh'],['49.419kWh'],['34.579kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['364.935kWh'],['5.320kWh/kW'],['-'],"['0,00 CHF']",['49.599kWh'],['53.874kWh'],['52.133kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['273.699kWh'],['3.990kWh/kW'],['-'],"['0,00 CHF']",['9.924kWh'],['57.369kWh'],['39.099kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['266.823kWh'],['3.890kWh/kW'],['-'],"['0,00 CHF']",['13.884kWh'],['55.386kWh'],['38.117kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['363.345kWh'],['5.296kWh/kW'],['-'],"['0,00 CHF']",['39.939kWh'],['57.813kWh'],['51.906kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['85.614kWh'],['4.368kWh/kW'],['-'],"['0,00 CHF']",['32.607kWh'],['53.007kWh'],['42.807kWh'],['12/08/23 - 13/08/23']
9,['2023-31'],['205.044kWh'],['4.185kWh/kW'],['-'],"['0,00 CHF']",['4.956kWh'],['66.363kWh'],['41.008kWh'],['31/07/23 - 04/08/23']
10,['2023-30'],['295.041kWh'],['4.301kWh/kW'],['-'],"['0,00 CHF']",['29.292kWh'],['59.370kWh'],['42.148kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['371.901kWh'],['5.421kWh/kW'],['-'],"['0,00 CHF']",['37.917kWh'],['65.376kWh'],['53.128kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['366.042kWh'],['5.336kWh/kW'],['-'],"['0,00 CHF']",['28.545kWh'],['65.739kWh'],['52.291kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['375.531kWh'],['5.474kWh/kW'],['-'],"['0,00 CHF']",['31.674kWh'],['64.377kWh'],['53.647kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['346.284kWh'],['5.048kWh/kW'],['-'],"['0,00 CHF']",['23.733kWh'],['64.224kWh'],['49.469kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['371.565kWh'],['5.416kWh/kW'],['-'],"['0,00 CHF']",['23.826kWh'],['69.414kWh'],['53.080kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['447.726kWh'],['6.527kWh/kW'],['-'],"['0,00 CHF']",['51.894kWh'],['70.068kWh'],['63.960kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['429.540kWh'],['6.262kWh/kW'],['-'],"['0,00 CHF']",['51.084kWh'],['68.529kWh'],['61.362kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['437.460kWh'],['6.377kWh/kW'],['-'],"['0,00 CHF']",['50.733kWh'],['68.346kWh'],['62.494kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['395.538kWh'],['5.766kWh/kW'],['-'],"['0,00 CHF']",['25.395kWh'],['68.190kWh'],['56.505kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['259.923kWh'],['3.789kWh/kW'],['-'],"['0,00 CHF']",['13.575kWh'],['60.939kWh'],['37.131kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['241.890kWh'],['3.526kWh/kW'],['-'],"['0,00 CHF']",['29.481kWh'],['41.148kWh'],['34.555kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['346.380kWh'],['5.049kWh/kW'],['-'],"['0,00 CHF']",['20.553kWh'],['68.457kWh'],['49.482kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['282.498kWh'],['4.118kWh/kW'],['-'],"['0,00 CHF']",['21.297kWh'],['57.093kWh'],['40.356kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['240.738kWh'],['3.509kWh/kW'],['-'],"['0,00 CHF']",['9.975kWh'],['55.665kWh'],['34.391kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['191.046kWh'],['2.785kWh/kW'],['-'],"['0,00 CHF']",['8.529kWh'],['47.913kWh'],['27.292kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['336.582kWh'],['4.907kWh/kW'],['-'],"['0,00 CHF']",['24.723kWh'],['66.567kWh'],['48.083kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['210.732kWh'],['3.072kWh/kW'],['-'],"['0,00 CHF']",['16.494kWh'],['50.715kWh'],['30.104kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['212.466kWh'],['3.097kWh/kW'],['-'],"['0,00 CHF']",['9.906kWh'],['53.991kWh'],['30.352kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['256.935kWh'],['3.745kWh/kW'],['-'],"['0,00 CHF']",['14.955kWh'],['51.876kWh'],['36.705kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['183.675kWh'],['2.677kWh/kW'],['-'],"['0,00 CHF']",['5.373kWh'],['41.271kWh'],['26.239kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['186.003kWh'],['2.711kWh/kW'],['-'],"['0,00 CHF']",['9.885kWh'],['43.713kWh'],['26.571kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['196.263kWh'],['2.861kWh/kW'],['-'],"['0,00 CHF']",['17.376kWh'],['37.401kWh'],['28.037kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['231.705kWh'],['3.378kWh/kW'],['-'],"['0,00 CHF']",['20.163kWh'],['36.378kWh'],['33.100kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['200.664kWh'],['2.925kWh/kW'],['-'],"['0,00 CHF']",['7.116kWh'],['35.469kWh'],['28.666kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['104.610kWh'],['1.525kWh/kW'],['-'],"['0,00 CHF']",['0.282kWh'],['29.217kWh'],['14.944kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['0.003kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.003kWh'],['0.000kWh'],['23/01/23 - 29/01/23']
