,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['20.555kWh'],['1.381kWh/kW'],['-'],['9.204kW'],['1:05PM'],['Cloudy'],,['Updated 14:05 UTC+2:00']
1,['03/10/23'],['30.556kWh'],['2.053kWh/kW'],['-'],['7.260kW'],['12:35PM'],['Cloudy'],,['Updated 00:27 UTC+2:00']
2,['02/10/23'],['44.747kWh'],['3.007kWh/kW'],['-'],['7.584kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
3,['01/10/23'],['45.883kWh'],['3.084kWh/kW'],['-'],['7.704kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 00:16 UTC+2:00']
4,['30/09/23'],['34.860kWh'],['2.343kWh/kW'],['-'],['7.140kW'],['12:20PM'],['Cloudy'],,['Updated 23:18 UTC+2:00']
5,['29/09/23'],['41.773kWh'],['2.807kWh/kW'],['-'],['8.112kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
6,['28/09/23'],['46.458kWh'],['3.122kWh/kW'],['-'],['8.844kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:20 UTC+2:00']
7,['27/09/23'],['50.366kWh'],['3.385kWh/kW'],['-'],['8.136kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
8,['26/09/23'],['52.076kWh'],['3.500kWh/kW'],['-'],['8.388kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
9,['25/09/23'],['52.680kWh'],['3.540kWh/kW'],['-'],['8.628kW'],['1:10PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
10,['24/09/23'],['50.121kWh'],['3.368kWh/kW'],['-'],['8.712kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 00:21 UTC+2:00']
11,['23/09/23'],['26.745kWh'],['1.797kWh/kW'],['-'],['5.712kW'],['11:50AM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
12,['22/09/23'],['26.073kWh'],['1.752kWh/kW'],['-'],['7.176kW'],['2:20PM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
13,['21/09/23'],['36.012kWh'],['2.420kWh/kW'],['-'],['8.124kW'],['12:20PM'],['Cloudy'],,['Updated 00:16 UTC+2:00']
14,['20/09/23'],['54.283kWh'],['3.648kWh/kW'],['-'],['8.568kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 00:21 UTC+2:00']
15,['19/09/23'],['31.089kWh'],['2.089kWh/kW'],['-'],['7.152kW'],['3:35PM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
16,['18/09/23'],['16.889kWh'],['1.135kWh/kW'],['-'],['5.244kW'],['2:20PM'],['Cloudy'],,['Updated 00:28 UTC+2:00']
17,['17/09/23'],['50.466kWh'],['3.392kWh/kW'],['-'],['8.052kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
18,['16/09/23'],['46.982kWh'],['3.157kWh/kW'],['-'],['8.832kW'],['12:10PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
19,['15/09/23'],['40.445kWh'],['2.718kWh/kW'],['-'],['9.048kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
20,['14/09/23'],['26.077kWh'],['1.752kWh/kW'],['-'],['6.924kW'],['2:25PM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
21,['13/09/23'],['30.198kWh'],['2.029kWh/kW'],['-'],['6.084kW'],['2:10PM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
22,['12/09/23'],['53.262kWh'],['3.579kWh/kW'],['-'],['8.988kW'],['2:10PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
23,['11/09/23'],['56.869kWh'],['3.822kWh/kW'],['-'],['8.616kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
24,['10/09/23'],['57.177kWh'],['3.843kWh/kW'],['-'],['8.820kW'],['1:10PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
25,['09/09/23'],['50.564kWh'],['3.398kWh/kW'],['-'],['8.748kW'],['11:40AM'],['Mostly Cloudy'],,['Updated 00:22 UTC+2:00']
26,['08/09/23'],['59.619kWh'],['4.007kWh/kW'],['-'],['8.976kW'],['1:50PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
27,['07/09/23'],['61.887kWh'],['4.159kWh/kW'],['-'],['8.964kW'],['1:20PM'],['Partly Cloudy'],,['Updated 00:26 UTC+2:00']
28,['06/09/23'],['63.913kWh'],['4.295kWh/kW'],['-'],['9.288kW'],['1:20PM'],['Partly Cloudy'],,['Updated 00:26 UTC+2:00']
29,['05/09/23'],['64.855kWh'],['4.359kWh/kW'],['-'],['9.168kW'],['1:25PM'],['Partly Cloudy'],,['Updated 00:29 UTC+2:00']
30,['04/09/23'],['65.989kWh'],['4.435kWh/kW'],['-'],['9.408kW'],['12:55PM'],['Partly Cloudy'],,['Updated 00:21 UTC+2:00']
31,['03/09/23'],['57.997kWh'],['3.898kWh/kW'],['-'],['8.820kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
32,['02/09/23'],['65.964kWh'],['4.433kWh/kW'],['-'],['9.408kW'],['1:25PM'],['Partly Cloudy'],,['Updated 00:17 UTC+2:00']
33,['01/09/23'],['65.427kWh'],['4.397kWh/kW'],['-'],['10.260kW'],['12:20PM'],['Partly Cloudy'],,['Updated 00:21 UTC+2:00']
34,['31/08/23'],['32.179kWh'],['2.163kWh/kW'],['-'],['4.824kW'],['10:40AM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
35,['30/08/23'],['45.573kWh'],['3.063kWh/kW'],['-'],['9.828kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
36,['29/08/23'],['24.736kWh'],['1.662kWh/kW'],['-'],['4.284kW'],['3:50PM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
37,['28/08/23'],['14.779kWh'],['0.993kWh/kW'],['-'],['3.012kW'],['12:35PM'],['Showers'],,['Updated 00:20 UTC+2:00']
38,['27/08/23'],['19.589kWh'],['1.316kWh/kW'],['-'],['3.756kW'],['10:20AM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
39,['26/08/23'],['14.795kWh'],['0.994kWh/kW'],['-'],['4.440kW'],['4:10PM'],['Showers'],,['Updated 00:19 UTC+2:00']
40,['25/08/23'],['31.871kWh'],['2.142kWh/kW'],['-'],['6.612kW'],['11:25AM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
41,['24/08/23'],['62.114kWh'],['4.174kWh/kW'],['-'],['9.012kW'],['1:05PM'],['Partly Cloudy'],,['Updated 00:29 UTC+2:00']
42,['23/08/23'],['68.641kWh'],['4.613kWh/kW'],['-'],['9.252kW'],['1:20PM'],['Partly Cloudy'],,['Updated 00:20 UTC+2:00']
43,['22/08/23'],['66.420kWh'],['4.464kWh/kW'],['-'],['9.972kW'],['1:55PM'],['Partly Cloudy'],,['Updated 00:28 UTC+2:00']
44,['21/08/23'],['69.630kWh'],['4.679kWh/kW'],['-'],['9.300kW'],['1:35PM'],['Partly Cloudy'],,['Updated 00:17 UTC+2:00']
45,['20/08/23'],['68.684kWh'],['4.616kWh/kW'],['-'],['9.312kW'],['1:05PM'],['Partly Cloudy'],,['Updated 00:16 UTC+2:00']
