,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['141.741kWh'],['2.381kWh/kW'],['-'],"['0,00 CHF']",['20.555kWh'],['45.883kWh'],['35.435kWh'],['Partial Month (4 days)']
1,['Sep 23'],['1.437MWh'],['3.219kWh/kW'],['-'],"['0,00 CHF']",['16.889kWh'],['65.989kWh'],['47.903kWh'],[]
2,['Aug 23'],['1.631MWh'],['3.536kWh/kW'],['-'],"['0,00 CHF']",['14.779kWh'],['77.955kWh'],['52.617kWh'],[]
3,['Jul 23'],['2.000MWh'],['4.335kWh/kW'],['-'],"['0,00 CHF']",['30.888kWh'],['90.482kWh'],['64.502kWh'],[]
4,['Jun 23'],['2.407MWh'],['5.392kWh/kW'],['-'],"['0,00 CHF']",['26.334kWh'],['95.257kWh'],['80.235kWh'],[]
5,['May 23'],['1.785MWh'],['3.869kWh/kW'],['-'],"['0,00 CHF']",['8.704kWh'],['92.957kWh'],['57.567kWh'],[]
6,['Apr 23'],['1.238MWh'],['2.774kWh/kW'],['-'],"['0,00 CHF']",['11.492kWh'],['74.839kWh'],['41.270kWh'],[]
7,['Mar 23'],['1.042MWh'],['2.259kWh/kW'],['-'],"['0,00 CHF']",['4.417kWh'],['60.126kWh'],['33.606kWh'],[]
8,['Feb 23'],['654.761kWh'],['1.571kWh/kW'],['-'],"['0,00 CHF']",['3.525kWh'],['37.054kWh'],['23.384kWh'],[]
9,['Jan 23'],['154.765kWh'],['0.336kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['15.185kWh'],['4.992kWh'],[]
10,['Dec 22'],['145.825kWh'],['0.316kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['16.446kWh'],['4.704kWh'],[]
11,['Nov 22'],['405.184kWh'],['0.908kWh/kW'],['-'],"['0,00 CHF']",['3.255kWh'],['25.854kWh'],['13.506kWh'],[]
12,['Oct 22'],['799.871kWh'],['1.734kWh/kW'],['-'],"['0,00 CHF']",['4.762kWh'],['45.751kWh'],['25.802kWh'],[]
13,['Sep 22'],['1.202MWh'],['2.694kWh/kW'],['-'],"['0,00 CHF']",['10.127kWh'],['63.230kWh'],['40.080kWh'],[]
14,['Aug 22'],['1.887MWh'],['4.091kWh/kW'],['-'],"['0,00 CHF']",['13.017kWh'],['84.362kWh'],['60.883kWh'],[]
15,['Jul 22'],['2.491MWh'],['5.401kWh/kW'],['-'],"['0,00 CHF']",['39.329kWh'],['99.106kWh'],['80.363kWh'],[]
16,['Jun 22'],['2.165MWh'],['4.850kWh/kW'],['-'],"['0,00 CHF']",['29.410kWh'],['98.939kWh'],['72.166kWh'],[]
17,['May 22'],['2.158MWh'],['4.679kWh/kW'],['-'],"['0,00 CHF']",['12.818kWh'],['92.365kWh'],['69.621kWh'],[]
18,['Apr 22'],['1.518MWh'],['3.400kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['88.125kWh'],['50.599kWh'],[]
19,['Mar 22'],['1.432MWh'],['3.105kWh/kW'],['-'],"['0,00 CHF']",['12.440kWh'],['61.328kWh'],['46.198kWh'],[]
20,['Feb 22'],['708.924kWh'],['1.702kWh/kW'],['-'],"['0,00 CHF']",['0.896kWh'],['44.781kWh'],['25.318kWh'],[]
21,['Jan 22'],['413.286kWh'],['0.896kWh/kW'],['-'],"['0,00 CHF']",['2.209kWh'],['24.749kWh'],['13.331kWh'],[]
22,['Dec 21'],['196.070kWh'],['0.425kWh/kW'],['-'],"['0,00 CHF']",['0.026kWh'],['15.240kWh'],['6.324kWh'],[]
23,['Nov 21'],['341.796kWh'],['0.766kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['26.185kWh'],['11.393kWh'],[]
24,['Oct 21'],['905.530kWh'],['1.963kWh/kW'],['-'],"['0,00 CHF']",['8.369kWh'],['49.253kWh'],['29.210kWh'],[]
25,['Sep 21'],['1.374MWh'],['3.077kWh/kW'],['-'],"['0,00 CHF']",['10.977kWh'],['73.135kWh'],['45.792kWh'],[]
26,['Aug 21'],['1.650MWh'],['3.577kWh/kW'],['-'],"['0,00 CHF']",['23.102kWh'],['81.270kWh'],['53.220kWh'],[]
27,['Jul 21'],['1.851MWh'],['4.012kWh/kW'],['-'],"['0,00 CHF']",['14.179kWh'],['98.709kWh'],['59.703kWh'],[]
28,['Jun 21'],['2.127MWh'],['4.764kWh/kW'],['-'],"['0,00 CHF']",['24.144kWh'],['101.700kWh'],['70.888kWh'],[]
29,['May 21'],['1.766MWh'],['3.828kWh/kW'],['-'],"['0,00 CHF']",['13.603kWh'],['104.312kWh'],['56.956kWh'],[]
30,['Apr 21'],['1.758MWh'],['3.938kWh/kW'],['-'],"['0,00 CHF']",['17.945kWh'],['87.549kWh'],['58.603kWh'],[]
31,['Mar 21'],['1.233MWh'],['2.672kWh/kW'],['-'],"['0,00 CHF']",['6.849kWh'],['67.436kWh'],['39.763kWh'],[]
32,['Feb 21'],['516.228kWh'],['1.239kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['40.365kWh'],['18.436kWh'],[]
33,['Jan 21'],['50.872kWh'],['0.110kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['12.016kWh'],['1.641kWh'],[]
