,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['95.858kWh'],['2.147kWh/kW'],['-'],"['0,00 CHF']",['20.555kWh'],['44.747kWh'],['31.952kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['324.096kWh'],['3.112kWh/kW'],['-'],"['0,00 CHF']",['34.860kWh'],['52.680kWh'],['46.299kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['241.212kWh'],['2.316kWh/kW'],['-'],"['0,00 CHF']",['16.889kWh'],['54.283kWh'],['34.458kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['304.299kWh'],['2.921kWh/kW'],['-'],"['0,00 CHF']",['26.077kWh'],['56.869kWh'],['43.471kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['424.004kWh'],['4.071kWh/kW'],['-'],"['0,00 CHF']",['50.564kWh'],['65.989kWh'],['60.572kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['306.655kWh'],['2.944kWh/kW'],['-'],"['0,00 CHF']",['14.779kWh'],['65.964kWh'],['43.807kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['333.060kWh'],['3.197kWh/kW'],['-'],"['0,00 CHF']",['14.795kWh'],['69.630kWh'],['47.580kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['463.193kWh'],['4.447kWh/kW'],['-'],"['0,00 CHF']",['51.895kWh'],['72.835kWh'],['66.170kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['421.980kWh'],['4.051kWh/kW'],['-'],"['0,00 CHF']",['47.638kWh'],['77.955kWh'],['60.282kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['364.480kWh'],['3.499kWh/kW'],['-'],"['0,00 CHF']",['28.089kWh'],['69.962kWh'],['52.068kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['348.279kWh'],['3.344kWh/kW'],['-'],"['0,00 CHF']",['30.888kWh'],['78.548kWh'],['49.754kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['485.344kWh'],['4.660kWh/kW'],['-'],"['0,00 CHF']",['46.039kWh'],['88.063kWh'],['69.334kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['480.089kWh'],['4.609kWh/kW'],['-'],"['0,00 CHF']",['34.595kWh'],['87.116kWh'],['68.584kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['515.611kWh'],['4.950kWh/kW'],['-'],"['0,00 CHF']",['61.492kWh'],['90.482kWh'],['73.658kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['439.880kWh'],['4.223kWh/kW'],['-'],"['0,00 CHF']",['26.334kWh'],['87.551kWh'],['62.840kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['518.871kWh'],['4.982kWh/kW'],['-'],"['0,00 CHF']",['40.458kWh'],['94.787kWh'],['74.124kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['608.487kWh'],['5.842kWh/kW'],['-'],"['0,00 CHF']",['73.580kWh'],['95.257kWh'],['86.926kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['586.310kWh'],['5.629kWh/kW'],['-'],"['0,00 CHF']",['72.868kWh'],['91.423kWh'],['83.758kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['628.826kWh'],['6.037kWh/kW'],['-'],"['0,00 CHF']",['84.656kWh'],['92.957kWh'],['89.832kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['489.649kWh'],['4.701kWh/kW'],['-'],"['0,00 CHF']",['16.741kWh'],['91.830kWh'],['69.949kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['302.775kWh'],['2.907kWh/kW'],['-'],"['0,00 CHF']",['8.704kWh'],['79.707kWh'],['43.253kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['285.787kWh'],['2.744kWh/kW'],['-'],"['0,00 CHF']",['20.304kWh'],['53.438kWh'],['40.826kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['432.470kWh'],['4.152kWh/kW'],['-'],"['0,00 CHF']",['35.905kWh'],['89.725kWh'],['61.781kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['316.914kWh'],['3.043kWh/kW'],['-'],"['0,00 CHF']",['19.524kWh'],['58.670kWh'],['45.273kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['246.141kWh'],['2.363kWh/kW'],['-'],"['0,00 CHF']",['11.492kWh'],['58.559kWh'],['35.163kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['259.210kWh'],['2.488kWh/kW'],['-'],"['0,00 CHF']",['15.881kWh'],['61.374kWh'],['37.030kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['360.016kWh'],['3.456kWh/kW'],['-'],"['0,00 CHF']",['18.314kWh'],['74.839kWh'],['51.430kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['245.961kWh'],['2.362kWh/kW'],['-'],"['0,00 CHF']",['22.918kWh'],['60.126kWh'],['35.137kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['247.947kWh'],['2.381kWh/kW'],['-'],"['0,00 CHF']",['11.459kWh'],['57.922kWh'],['35.421kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['282.597kWh'],['2.713kWh/kW'],['-'],"['0,00 CHF']",['17.967kWh'],['54.049kWh'],['40.371kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['183.209kWh'],['1.759kWh/kW'],['-'],"['0,00 CHF']",['4.417kWh'],['44.901kWh'],['26.172kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['161.081kWh'],['1.547kWh/kW'],['-'],"['0,00 CHF']",['4.714kWh'],['43.401kWh'],['23.011kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['204.625kWh'],['1.964kWh/kW'],['-'],"['0,00 CHF']",['17.295kWh'],['37.054kWh'],['29.232kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['190.445kWh'],['1.828kWh/kW'],['-'],"['0,00 CHF']",['11.122kWh'],['34.096kWh'],['27.206kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['185.873kWh'],['1.785kWh/kW'],['-'],"['0,00 CHF']",['12.141kWh'],['31.308kWh'],['26.553kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['54.118kWh'],['0.520kWh/kW'],['-'],"['0,00 CHF']",['0.887kWh'],['19.379kWh'],['7.731kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['0.917kWh'],['0.009kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.628kWh'],['0.131kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['8.910kWh'],['0.086kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['7.542kWh'],['1.272kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['61.429kWh'],['0.590kWh/kW'],['-'],"['0,00 CHF']",['2.298kWh'],['14.108kWh'],['8.775kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['66.201kWh'],['0.636kWh/kW'],['-'],"['0,00 CHF']",['5.696kWh'],['15.185kWh'],['9.457kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['67.885kWh'],['0.652kWh/kW'],['-'],"['0,00 CHF']",['1.271kWh'],['16.446kWh'],['9.697kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['34.641kWh'],['0.332kWh/kW'],['-'],"['0,00 CHF']",['0.138kWh'],['9.865kWh'],['4.948kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['0.044kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.044kWh'],['0.006kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['38.927kWh'],['0.374kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['13.701kWh'],['5.561kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['37.708kWh'],['0.362kWh/kW'],['-'],"['0,00 CHF']",['2.390kWh'],['8.488kWh'],['5.386kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['100.818kWh'],['0.968kWh/kW'],['-'],"['0,00 CHF']",['6.135kWh'],['19.091kWh'],['14.402kWh'],['21/11/22 - 27/11/22']
46,['2022-46'],['85.098kWh'],['0.817kWh/kW'],['-'],"['0,00 CHF']",['6.753kWh'],['22.031kWh'],['12.156kWh'],['14/11/22 - 20/11/22']
47,['2022-45'],['107.524kWh'],['1.032kWh/kW'],['-'],"['0,00 CHF']",['3.588kWh'],['25.854kWh'],['15.360kWh'],['07/11/22 - 13/11/22']
48,['2022-44'],['116.817kWh'],['1.121kWh/kW'],['-'],"['0,00 CHF']",['13.769kWh'],['24.610kWh'],['16.688kWh'],['31/10/22 - 06/11/22']
