,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['53.967kWh'],['1.817kWh/kW'],['-'],['14.856kW'],['12:35PM'],['Fine'],,['Updated 14:09 UTC+2:00']
1,['03/10/23'],['74.584kWh'],['2.511kWh/kW'],['-'],['16.344kW'],['11:55AM'],['Fine'],,['Updated 00:13 UTC+2:00']
2,['02/10/23'],['89.508kWh'],['3.014kWh/kW'],['-'],['14.976kW'],['1:10PM'],['Fine'],,['Updated 00:13 UTC+2:00']
3,['01/10/23'],['87.116kWh'],['2.933kWh/kW'],['-'],['14.100kW'],['1:10PM'],['Fine'],,['Updated 00:11 UTC+2:00']
4,['30/09/23'],['82.726kWh'],['2.785kWh/kW'],['-'],['14.616kW'],['1:55PM'],['Fine'],,['Updated 23:11 UTC+2:00']
5,['29/09/23'],['89.323kWh'],['3.008kWh/kW'],['-'],['14.976kW'],['12:55PM'],['Fine'],,['Updated 00:13 UTC+2:00']
6,['28/09/23'],['90.493kWh'],['3.047kWh/kW'],['-'],['15.408kW'],['12:05PM'],['Fine'],,['Updated 00:15 UTC+2:00']
7,['27/09/23'],['96.914kWh'],['3.263kWh/kW'],['-'],['15.768kW'],['12:55PM'],['Fine'],,['Updated 00:18 UTC+2:00']
8,['26/09/23'],['100.021kWh'],['3.368kWh/kW'],['-'],['15.816kW'],['12:50PM'],['Fine'],,['Updated 00:16 UTC+2:00']
9,['25/09/23'],['101.785kWh'],['3.427kWh/kW'],['-'],['16.284kW'],['12:55PM'],['Fine'],,['Updated 00:17 UTC+2:00']
10,['24/09/23'],['99.872kWh'],['3.363kWh/kW'],['-'],['17.424kW'],['12:50PM'],['Fine'],,['Updated 00:19 UTC+2:00']
11,['23/09/23'],['80.005kWh'],['2.694kWh/kW'],['-'],['18.852kW'],['12:05PM'],['Fine'],,['Updated 00:17 UTC+2:00']
12,['22/09/23'],['60.572kWh'],['2.039kWh/kW'],['-'],['15.492kW'],['1:35PM'],['Partly Cloudy'],,['Updated 00:16 UTC+2:00']
13,['21/09/23'],['79.989kWh'],['2.693kWh/kW'],['-'],['14.724kW'],['12:05PM'],['Fine'],,['Updated 00:13 UTC+2:00']
14,['20/09/23'],['96.440kWh'],['3.247kWh/kW'],['-'],['15.468kW'],['12:05PM'],['Fine'],,['Updated 00:11 UTC+2:00']
15,['19/09/23'],['78.990kWh'],['2.660kWh/kW'],['-'],['15.288kW'],['2:05PM'],['Fine'],,['Updated 00:10 UTC+2:00']
16,['18/09/23'],['31.872kWh'],['1.073kWh/kW'],['-'],['7.464kW'],['3:40PM'],['Cloudy'],,['Updated 00:19 UTC+2:00']
17,['17/09/23'],['97.974kWh'],['3.299kWh/kW'],['-'],['15.732kW'],['12:10PM'],['Fine'],,['Updated 00:16 UTC+2:00']
18,['16/09/23'],['106.223kWh'],['3.577kWh/kW'],['-'],['16.464kW'],['12:40PM'],['Fine'],,['Updated 00:13 UTC+2:00']
19,['15/09/23'],['93.303kWh'],['3.142kWh/kW'],['-'],['17.352kW'],['1:55PM'],['Fine'],,['Updated 00:11 UTC+2:00']
20,['14/09/23'],['62.636kWh'],['2.109kWh/kW'],['-'],['18.036kW'],['12:05PM'],['Partly Cloudy'],,['Updated 00:13 UTC+2:00']
21,['13/09/23'],['40.036kWh'],['1.348kWh/kW'],['-'],['9.744kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 00:14 UTC+2:00']
22,['12/09/23'],['92.238kWh'],['3.106kWh/kW'],['-'],['17.400kW'],['12:25PM'],['Fine'],,['Updated 00:15 UTC+2:00']
23,['11/09/23'],['112.817kWh'],['3.799kWh/kW'],['-'],['16.644kW'],['12:50PM'],['Fine'],,['Updated 00:17 UTC+2:00']
24,['10/09/23'],['113.287kWh'],['3.814kWh/kW'],['-'],['16.584kW'],['1:10PM'],['Fine'],,['Updated 00:16 UTC+2:00']
25,['09/09/23'],['111.827kWh'],['3.765kWh/kW'],['-'],['16.608kW'],['1:10PM'],['Fine'],,['Updated 00:17 UTC+2:00']
26,['08/09/23'],['115.649kWh'],['3.894kWh/kW'],['-'],['16.704kW'],['12:55PM'],['Fine'],,['Updated 00:18 UTC+2:00']
27,['07/09/23'],['118.236kWh'],['3.981kWh/kW'],['-'],['17.028kW'],['12:55PM'],['Fine'],,['Updated 00:18 UTC+2:00']
28,['06/09/23'],['123.299kWh'],['4.151kWh/kW'],['-'],['17.664kW'],['12:50PM'],['Fine'],,['Updated 00:11 UTC+2:00']
29,['05/09/23'],['124.319kWh'],['4.186kWh/kW'],['-'],['17.820kW'],['1:05PM'],['Fine'],,['Updated 00:12 UTC+2:00']
30,['04/09/23'],['125.744kWh'],['4.234kWh/kW'],['-'],['17.976kW'],['1:25PM'],['Fine'],,['Updated 00:11 UTC+2:00']
31,['03/09/23'],['119.166kWh'],['4.012kWh/kW'],['-'],['16.896kW'],['1:55PM'],['Fine'],,['Updated 00:19 UTC+2:00']
32,['02/09/23'],['128.591kWh'],['4.330kWh/kW'],['-'],['18.300kW'],['1:40PM'],['Fine'],,['Updated 00:16 UTC+2:00']
33,['01/09/23'],['130.563kWh'],['4.396kWh/kW'],['-'],['18.564kW'],['1:20PM'],['Fine'],,['Updated 00:15 UTC+2:00']
34,['31/08/23'],['76.834kWh'],['2.587kWh/kW'],['-'],['15.324kW'],['1:20PM'],['Partly Cloudy'],,['Updated 00:12 UTC+2:00']
35,['30/08/23'],['109.995kWh'],['3.704kWh/kW'],['-'],['17.928kW'],['1:50PM'],['Fine'],,['Updated 00:11 UTC+2:00']
36,['29/08/23'],['54.541kWh'],['1.836kWh/kW'],['-'],['9.828kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:16 UTC+2:00']
37,['28/08/23'],['30.425kWh'],['1.024kWh/kW'],['-'],['6.816kW'],['1:10PM'],['Cloudy'],,['Updated 00:15 UTC+2:00']
38,['27/08/23'],['43.724kWh'],['1.472kWh/kW'],['-'],['9.924kW'],['11:10AM'],['Mostly Cloudy'],,['Updated 00:14 UTC+2:00']
