,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['305.175kWh'],['2.569kWh/kW'],['-'],['-'],['53.967kWh'],['89.508kWh'],['76.293kWh'],['Partial Month (4 days)']
1,['Sep 23'],['2.905MWh'],['3.260kWh/kW'],['-'],['-'],['31.872kWh'],['130.563kWh'],['96.830kWh'],[]
2,['Aug 23'],['3.382MWh'],['3.673kWh/kW'],['-'],['-'],['30.425kWh'],['164.944kWh'],['109.087kWh'],[]
3,['Jul 23'],['4.100MWh'],['4.453kWh/kW'],['-'],['-'],['67.018kWh'],['182.006kWh'],['132.265kWh'],[]
4,['Jun 23'],['4.367MWh'],['4.902kWh/kW'],['-'],['-'],['55.350kWh'],['179.512kWh'],['145.579kWh'],[]
5,['May 23'],['3.269MWh'],['3.551kWh/kW'],['-'],['-'],['27.254kWh'],['160.090kWh'],['105.448kWh'],[]
6,['Apr 23'],['2.760MWh'],['3.098kWh/kW'],['-'],['-'],['21.683kWh'],['153.981kWh'],['92.000kWh'],[]
7,['Mar 23'],['2.061MWh'],['2.238kWh/kW'],['-'],['-'],['3.285kWh'],['128.749kWh'],['66.473kWh'],[]
8,['Feb 23'],['1.380MWh'],['1.660kWh/kW'],['-'],['-'],['11.853kWh'],['77.482kWh'],['49.301kWh'],[]
9,['Jan 23'],['406.871kWh'],['0.442kWh/kW'],['-'],['-'],['0.061kWh'],['49.200kWh'],['13.124kWh'],[]
10,['Dec 22'],['300.438kWh'],['0.326kWh/kW'],['-'],['-'],['0.000kWh'],['41.020kWh'],['9.691kWh'],[]
11,['Nov 22'],['827.903kWh'],['0.929kWh/kW'],['-'],['-'],['6.756kWh'],['55.660kWh'],['27.596kWh'],[]
12,['Oct 22'],['1.727MWh'],['1.876kWh/kW'],['-'],['-'],['10.264kWh'],['96.772kWh'],['55.721kWh'],[]
13,['Sep 22'],['2.498MWh'],['2.804kWh/kW'],['-'],['-'],['15.552kWh'],['131.300kWh'],['83.275kWh'],[]
14,['Aug 22'],['3.452MWh'],['3.750kWh/kW'],['-'],['-'],['21.277kWh'],['151.930kWh'],['111.369kWh'],[]
15,['Jul 22'],['4.548MWh'],['4.940kWh/kW'],['-'],['-'],['64.115kWh'],['178.712kWh'],['146.718kWh'],[]
16,['Jun 22'],['4.123MWh'],['4.627kWh/kW'],['-'],['-'],['51.967kWh'],['185.394kWh'],['137.420kWh'],[]
