,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['218.059kWh'],['2.447kWh/kW'],['-'],['-'],['53.967kWh'],['89.508kWh'],['72.686kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['648.378kWh'],['3.119kWh/kW'],['-'],['-'],['82.726kWh'],['101.785kWh'],['92.625kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['527.740kWh'],['2.538kWh/kW'],['-'],['-'],['31.872kWh'],['99.872kWh'],['75.391kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['605.227kWh'],['2.911kWh/kW'],['-'],['-'],['40.036kWh'],['112.817kWh'],['86.461kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['832.361kWh'],['4.004kWh/kW'],['-'],['-'],['111.827kWh'],['125.744kWh'],['118.908kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['650.115kWh'],['3.127kWh/kW'],['-'],['-'],['30.425kWh'],['130.563kWh'],['92.873kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['706.586kWh'],['3.399kWh/kW'],['-'],['-'],['36.488kWh'],['137.174kWh'],['100.940kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['916.845kWh'],['4.410kWh/kW'],['-'],['-'],['87.876kWh'],['144.248kWh'],['130.977kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['867.588kWh'],['4.173kWh/kW'],['-'],['-'],['80.063kWh'],['155.978kWh'],['123.941kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['768.073kWh'],['3.695kWh/kW'],['-'],['-'],['37.977kWh'],['164.944kWh'],['109.724kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['780.513kWh'],['3.754kWh/kW'],['-'],['-'],['87.058kWh'],['143.293kWh'],['111.501kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['958.264kWh'],['4.609kWh/kW'],['-'],['-'],['96.352kWh'],['167.643kWh'],['136.894kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['959.856kWh'],['4.617kWh/kW'],['-'],['-'],['67.018kWh'],['182.006kWh'],['137.122kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['1.041MWh'],['5.007kWh/kW'],['-'],['-'],['105.988kWh'],['180.863kWh'],['148.714kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['826.881kWh'],['3.977kWh/kW'],['-'],['-'],['55.350kWh'],['158.454kWh'],['118.125kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['964.233kWh'],['4.638kWh/kW'],['-'],['-'],['89.425kWh'],['179.512kWh'],['137.747kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['1.117MWh'],['5.375kWh/kW'],['-'],['-'],['147.075kWh'],['171.545kWh'],['159.642kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['1.060MWh'],['5.097kWh/kW'],['-'],['-'],['136.271kWh'],['157.841kWh'],['151.391kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['1.081MWh'],['5.198kWh/kW'],['-'],['-'],['147.357kWh'],['160.090kWh'],['154.389kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['822.787kWh'],['3.958kWh/kW'],['-'],['-'],['27.254kWh'],['159.836kWh'],['117.541kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['565.471kWh'],['2.720kWh/kW'],['-'],['-'],['33.343kWh'],['129.421kWh'],['80.781kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['568.075kWh'],['2.732kWh/kW'],['-'],['-'],['57.526kWh'],['114.676kWh'],['81.153kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['842.297kWh'],['4.052kWh/kW'],['-'],['-'],['70.197kWh'],['159.483kWh'],['120.328kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['690.146kWh'],['3.320kWh/kW'],['-'],['-'],['38.284kWh'],['153.981kWh'],['98.592kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['626.886kWh'],['3.015kWh/kW'],['-'],['-'],['28.423kWh'],['130.705kWh'],['89.555kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['562.985kWh'],['2.708kWh/kW'],['-'],['-'],['21.683kWh'],['148.755kWh'],['80.426kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['732.894kWh'],['3.525kWh/kW'],['-'],['-'],['48.810kWh'],['150.050kWh'],['104.699kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['478.618kWh'],['2.302kWh/kW'],['-'],['-'],['37.869kWh'],['128.749kWh'],['68.374kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['485.965kWh'],['2.338kWh/kW'],['-'],['-'],['15.283kWh'],['115.379kWh'],['69.423kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['628.864kWh'],['3.025kWh/kW'],['-'],['-'],['43.725kWh'],['110.940kWh'],['89.837kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['361.864kWh'],['1.741kWh/kW'],['-'],['-'],['3.285kWh'],['95.962kWh'],['51.694kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['310.996kWh'],['1.496kWh/kW'],['-'],['-'],['18.117kWh'],['88.065kWh'],['44.428kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['448.777kWh'],['2.159kWh/kW'],['-'],['-'],['11.853kWh'],['77.482kWh'],['64.111kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['334.541kWh'],['1.609kWh/kW'],['-'],['-'],['31.739kWh'],['72.974kWh'],['47.791kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['392.017kWh'],['1.886kWh/kW'],['-'],['-'],['29.731kWh'],['67.002kWh'],['56.002kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['224.968kWh'],['1.082kWh/kW'],['-'],['-'],['15.044kWh'],['49.322kWh'],['32.138kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['19.571kWh'],['0.094kWh/kW'],['-'],['-'],['0.162kWh'],['8.711kWh'],['2.795kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['30.700kWh'],['0.148kWh/kW'],['-'],['-'],['0.061kWh'],['17.589kWh'],['4.385kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['123.429kWh'],['0.594kWh/kW'],['-'],['-'],['4.270kWh'],['28.562kWh'],['17.632kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['125.975kWh'],['0.606kWh/kW'],['-'],['-'],['7.841kWh'],['30.700kWh'],['17.996kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['150.623kWh'],['0.724kWh/kW'],['-'],['-'],['9.439kWh'],['33.626kWh'],['21.517kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['42.746kWh'],['0.206kWh/kW'],['-'],['-'],['0.000kWh'],['15.306kWh'],['6.106kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['0.001kWh'],['0.000kWh/kW'],['-'],['-'],['0.000kWh'],['0.001kWh'],['0.000kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['90.117kWh'],['0.433kWh/kW'],['-'],['-'],['0.000kWh'],['41.020kWh'],['12.873kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['83.423kWh'],['0.401kWh/kW'],['-'],['-'],['5.193kWh'],['25.736kWh'],['11.917kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['194.670kWh'],['0.936kWh/kW'],['-'],['-'],['15.793kWh'],['40.319kWh'],['27.810kWh'],['21/11/22 - 27/11/22']
46,['2022-46'],['178.533kWh'],['0.859kWh/kW'],['-'],['-'],['10.849kWh'],['37.178kWh'],['25.504kWh'],['14/11/22 - 20/11/22']
47,['2022-45'],['228.899kWh'],['1.101kWh/kW'],['-'],['-'],['9.944kWh'],['55.660kWh'],['32.699kWh'],['07/11/22 - 13/11/22']
