,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['105.381kWh'],['1.621kWh/kW'],['-'],['26.872kW'],['12:50PM'],['Cloudy'],,['Updated 13:58 UTC+2:00']
1,['03/10/23'],['154.947kWh'],['2.384kWh/kW'],['-'],['31.172kW'],['12:20PM'],['Cloudy'],,['Updated 19:08 UTC+2:00']
2,['02/10/23'],['169.524kWh'],['2.608kWh/kW'],['-'],['26.021kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 19:19 UTC+2:00']
3,['01/10/23'],['157.791kWh'],['2.428kWh/kW'],['-'],['26.375kW'],['12:50PM'],['Cloudy'],,['Updated 19:29 UTC+2:00']
4,['30/09/23'],['139.878kWh'],['2.152kWh/kW'],['-'],['28.662kW'],['1:35PM'],['Cloudy'],,['Updated 18:24 UTC+2:00']
5,['29/09/23'],['171.048kWh'],['2.632kWh/kW'],['-'],['26.652kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 19:21 UTC+2:00']
6,['28/09/23'],['176.820kWh'],['2.720kWh/kW'],['-'],['27.370kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 19:34 UTC+2:00']
7,['27/09/23'],['186.795kWh'],['2.874kWh/kW'],['-'],['28.347kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 19:22 UTC+2:00']
8,['26/09/23'],['195.126kWh'],['3.002kWh/kW'],['-'],['28.531kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 23:16 UTC+2:00']
9,['25/09/23'],['198.840kWh'],['3.059kWh/kW'],['-'],['29.181kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 19:27 UTC+2:00']
10,['24/09/23'],['188.946kWh'],['2.907kWh/kW'],['-'],['33.940kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 19:25 UTC+2:00']
11,['23/09/23'],['102.192kWh'],['1.572kWh/kW'],['-'],['30.816kW'],['2:50PM'],['Cloudy'],,['Updated 19:35 UTC+2:00']
12,['22/09/23'],['96.201kWh'],['1.480kWh/kW'],['-'],['37.289kW'],['1:35PM'],['Cloudy'],,['Updated 19:32 UTC+2:00']
