,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['587.643kWh'],['2.260kWh/kW'],['-'],"['0,00 CHF']",['105.381kWh'],['169.524kWh'],['146.910kWh'],['Partial Month (4 days)']
1,['Sep 23'],['5.455MWh'],['2.798kWh/kW'],['-'],"['0,00 CHF']",['64.686kWh'],['249.147kWh'],['181.849kWh'],[]
2,['Aug 23'],['6.097MWh'],['3.026kWh/kW'],['-'],"['0,00 CHF']",['48.756kWh'],['317.457kWh'],['196.677kWh'],[]
3,['Jul 23'],['6.570MWh'],['3.260kWh/kW'],['-'],"['0,00 CHF']",['93.075kWh'],['285.123kWh'],['211.926kWh'],[]
4,['Jun 23'],['7.681MWh'],['3.939kWh/kW'],['-'],"['0,00 CHF']",['85.536kWh'],['299.763kWh'],['256.030kWh'],[]
5,['May 23'],['5.538MWh'],['2.748kWh/kW'],['-'],"['0,00 CHF']",['46.908kWh'],['288.225kWh'],['178.640kWh'],[]
6,['Apr 23'],['4.344MWh'],['2.228kWh/kW'],['-'],"['0,00 CHF']",['32.184kWh'],['247.683kWh'],['144.809kWh'],[]
7,['Mar 23'],['3.174MWh'],['1.575kWh/kW'],['-'],"['0,00 CHF']",['12.921kWh'],['191.214kWh'],['102.386kWh'],[]
8,['Feb 23'],['1.918MWh'],['1.054kWh/kW'],['-'],"['0,00 CHF']",['13.149kWh'],['121.620kWh'],['68.484kWh'],[]
9,['Jan 23'],['739.848kWh'],['0.367kWh/kW'],['-'],"['0,00 CHF']",['2.271kWh'],['64.686kWh'],['23.866kWh'],[]
10,['Dec 22'],['382.737kWh'],['0.190kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['53.778kWh'],['12.346kWh'],[]
11,['Nov 22'],['1.228MWh'],['0.630kWh/kW'],['-'],"['0,00 CHF']",['7.524kWh'],['87.822kWh'],['40.919kWh'],[]
12,['Oct 22'],['2.571MWh'],['1.276kWh/kW'],['-'],"['0,00 CHF']",['16.752kWh'],['162.441kWh'],['82.940kWh'],[]
13,['Sep 22'],['4.410MWh'],['2.262kWh/kW'],['-'],"['0,00 CHF']",['31.452kWh'],['234.840kWh'],['147.009kWh'],[]
14,['Aug 22'],['7.195MWh'],['3.571kWh/kW'],['-'],"['0,00 CHF']",['20.907kWh'],['314.523kWh'],['232.107kWh'],[]
15,['Jul 22'],['9.032MWh'],['4.482kWh/kW'],['-'],"['0,00 CHF']",['117.063kWh'],['358.263kWh'],['291.354kWh'],[]
16,['Jun 22'],['8.071MWh'],['4.139kWh/kW'],['-'],"['0,00 CHF']",['96.519kWh'],['365.295kWh'],['269.040kWh'],[]
17,['May 22'],['8.009MWh'],['3.974kWh/kW'],['-'],"['0,00 CHF']",['82.185kWh'],['374.637kWh'],['258.338kWh'],[]
18,['Apr 22'],['6.053MWh'],['3.104kWh/kW'],['-'],"['0,00 CHF']",['1.977kWh'],['331.008kWh'],['201.781kWh'],[]
19,['Mar 22'],['5.296MWh'],['2.628kWh/kW'],['-'],"['0,00 CHF']",['24.936kWh'],['222.714kWh'],['170.836kWh'],[]
20,['Feb 22'],['2.667MWh'],['1.465kWh/kW'],['-'],"['0,00 CHF']",['12.570kWh'],['179.958kWh'],['95.254kWh'],[]
21,['Jan 22'],['1.321MWh'],['0.656kWh/kW'],['-'],"['0,00 CHF']",['0.009kWh'],['90.273kWh'],['42.628kWh'],[]
22,['Dec 21'],['765.438kWh'],['0.380kWh/kW'],['-'],"['0,00 CHF']",['3.945kWh'],['63.549kWh'],['24.691kWh'],[]
23,['Nov 21'],['968.614kWh'],['0.497kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['99.111kWh'],['32.287kWh'],[]
24,['Oct 21'],['3.041MWh'],['1.509kWh/kW'],['-'],"['0,00 CHF']",['16.101kWh'],['190.515kWh'],['98.101kWh'],[]
25,['Sep 21'],['5.524MWh'],['2.833kWh/kW'],['-'],"['0,00 CHF']",['37.800kWh'],['277.383kWh'],['184.123kWh'],[]
26,['Aug 21'],['6.040MWh'],['2.997kWh/kW'],['-'],"['0,00 CHF']",['61.890kWh'],['306.285kWh'],['194.829kWh'],[]
27,['Jul 21'],['6.689MWh'],['3.319kWh/kW'],['-'],"['0,00 CHF']",['77.031kWh'],['342.342kWh'],['215.760kWh'],[]
28,['Jun 21'],['6.963MWh'],['3.571kWh/kW'],['-'],"['0,00 CHF']",['61.146kWh'],['319.992kWh'],['232.106kWh'],[]
29,['May 21'],['5.734MWh'],['2.846kWh/kW'],['-'],"['0,00 CHF']",['33.624kWh'],['323.994kWh'],['184.957kWh'],[]
30,['Apr 21'],['5.426MWh'],['2.783kWh/kW'],['-'],"['0,00 CHF']",['67.947kWh'],['263.604kWh'],['180.875kWh'],[]
31,['Mar 21'],['3.561MWh'],['1.767kWh/kW'],['-'],"['0,00 CHF']",['18.861kWh'],['200.943kWh'],['114.855kWh'],[]
32,['Feb 21'],['1.411MWh'],['0.775kWh/kW'],['-'],"['0,00 CHF']",['0.003kWh'],['118.935kWh'],['50.391kWh'],[]
