,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['429.852kWh'],['2.204kWh/kW'],['-'],"['0,00 CHF']",['105.381kWh'],['169.524kWh'],['143.284kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['1.226MWh'],['2.695kWh/kW'],['-'],"['0,00 CHF']",['139.878kWh'],['198.840kWh'],['175.185kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['960.837kWh'],['2.112kWh/kW'],['-'],"['0,00 CHF']",['64.686kWh'],['206.799kWh'],['137.262kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['1.134MWh'],['2.492kWh/kW'],['-'],"['0,00 CHF']",['90.639kWh'],['216.519kWh'],['162.019kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['1.608MWh'],['3.535kWh/kW'],['-'],"['0,00 CHF']",['201.900kWh'],['249.147kWh'],['229.776kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['1.095MWh'],['2.406kWh/kW'],['-'],"['0,00 CHF']",['48.756kWh'],['243.135kWh'],['156.383kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['1.245MWh'],['2.736kWh/kW'],['-'],"['0,00 CHF']",['62.046kWh'],['256.260kWh'],['177.842kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['1.694MWh'],['3.723kWh/kW'],['-'],"['0,00 CHF']",['189.678kWh'],['269.037kWh'],['241.992kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['1.567MWh'],['3.444kWh/kW'],['-'],"['0,00 CHF']",['122.463kWh'],['292.509kWh'],['223.864kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['1.429MWh'],['3.140kWh/kW'],['-'],"['0,00 CHF']",['136.557kWh'],['317.457kWh'],['204.112kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['1.354MWh'],['2.975kWh/kW'],['-'],"['0,00 CHF']",['120.981kWh'],['264.132kWh'],['193.385kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['1.536MWh'],['3.375kWh/kW'],['-'],"['0,00 CHF']",['147.342kWh'],['247.062kWh'],['219.390kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['1.460MWh'],['3.209kWh/kW'],['-'],"['0,00 CHF']",['93.075kWh'],['268.278kWh'],['208.565kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['1.601MWh'],['3.519kWh/kW'],['-'],"['0,00 CHF']",['149.286kWh'],['285.123kWh'],['228.741kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['1.450MWh'],['3.186kWh/kW'],['-'],"['0,00 CHF']",['85.536kWh'],['279.777kWh'],['207.085kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['1.654MWh'],['3.635kWh/kW'],['-'],"['0,00 CHF']",['165.408kWh'],['294.465kWh'],['236.259kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['1.937MWh'],['4.258kWh/kW'],['-'],"['0,00 CHF']",['252.141kWh'],['299.763kWh'],['276.779kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['1.961MWh'],['4.310kWh/kW'],['-'],"['0,00 CHF']",['244.917kWh'],['291.459kWh'],['280.115kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['1.908MWh'],['4.193kWh/kW'],['-'],"['0,00 CHF']",['217.494kWh'],['288.225kWh'],['272.526kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['1.513MWh'],['3.325kWh/kW'],['-'],"['0,00 CHF']",['52.494kWh'],['281.391kWh'],['216.138kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['883.584kWh'],['1.942kWh/kW'],['-'],"['0,00 CHF']",['46.908kWh'],['229.482kWh'],['126.226kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['875.190kWh'],['1.924kWh/kW'],['-'],"['0,00 CHF']",['73.995kWh'],['187.395kWh'],['125.027kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['1.408MWh'],['3.095kWh/kW'],['-'],"['0,00 CHF']",['126.303kWh'],['265.062kWh'],['201.142kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['1.128MWh'],['2.479kWh/kW'],['-'],"['0,00 CHF']",['66.309kWh'],['219.693kWh'],['161.159kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['883.344kWh'],['1.941kWh/kW'],['-'],"['0,00 CHF']",['32.184kWh'],['208.425kWh'],['126.192kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['876.702kWh'],['1.927kWh/kW'],['-'],"['0,00 CHF']",['39.843kWh'],['228.783kWh'],['125.243kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['1.177MWh'],['2.588kWh/kW'],['-'],"['0,00 CHF']",['54.339kWh'],['247.683kWh'],['168.212kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['871.932kWh'],['1.916kWh/kW'],['-'],"['0,00 CHF']",['55.905kWh'],['183.582kWh'],['124.561kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['692.763kWh'],['1.523kWh/kW'],['-'],"['0,00 CHF']",['29.298kWh'],['191.214kWh'],['98.966kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['998.736kWh'],['2.195kWh/kW'],['-'],"['0,00 CHF']",['77.103kWh'],['176.616kWh'],['142.676kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['522.474kWh'],['1.148kWh/kW'],['-'],"['0,00 CHF']",['39.798kWh'],['126.183kWh'],['74.639kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['427.236kWh'],['0.939kWh/kW'],['-'],"['0,00 CHF']",['12.921kWh'],['132.300kWh'],['61.033kWh'],['27/02/23 - 05/03/23']
