,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['9.345kWh'],['2.136kWh/kW'],['-'],['2.734kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 14:10 UTC+2:00']
1,['03/10/23'],['13.328kWh'],['3.046kWh/kW'],['-'],['3.032kW'],['12:30PM'],['Mostly Cloudy'],,['Updated 19:30 UTC+2:00']
2,['02/10/23'],['16.022kWh'],['3.662kWh/kW'],['-'],['2.541kW'],['1:45PM'],['Mostly Cloudy'],,['Updated 19:30 UTC+2:00']
3,['01/10/23'],['16.005kWh'],['3.658kWh/kW'],['-'],['2.569kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 19:35 UTC+2:00']
4,['30/09/23'],['12.516kWh'],['2.861kWh/kW'],['-'],['2.678kW'],['2:20PM'],['Mostly Cloudy'],,['Updated 18:40 UTC+2:00']
5,['29/09/23'],['16.106kWh'],['3.681kWh/kW'],['-'],['2.686kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 19:35 UTC+2:00']
6,['28/09/23'],['16.490kWh'],['3.769kWh/kW'],['-'],['2.675kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 19:40 UTC+2:00']
7,['27/09/23'],['17.428kWh'],['3.984kWh/kW'],['-'],['3.103kW'],['1:00PM'],['Mostly Cloudy'],,['Updated 19:40 UTC+2:00']
8,['26/09/23'],['18.007kWh'],['4.116kWh/kW'],['-'],['2.720kW'],['1:50PM'],['Partly Cloudy'],,['Updated 19:45 UTC+2:00']
9,['25/09/23'],['18.465kWh'],['4.221kWh/kW'],['-'],['2.759kW'],['1:55PM'],['Partly Cloudy'],,['Updated 19:45 UTC+2:00']
10,['24/09/23'],['18.725kWh'],['4.280kWh/kW'],['-'],['2.981kW'],['1:45PM'],['Partly Cloudy'],,['Updated 19:50 UTC+2:00']
11,['23/09/23'],['8.824kWh'],['2.017kWh/kW'],['-'],['3.468kW'],['3:00PM'],['Cloudy'],,['Updated 19:50 UTC+2:00']
12,['22/09/23'],['8.693kWh'],['1.987kWh/kW'],['-'],['3.897kW'],['2:50PM'],['Cloudy'],,['Updated 19:50 UTC+2:00']
13,['21/09/23'],['11.909kWh'],['2.722kWh/kW'],['-'],['2.776kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 19:50 UTC+2:00']
14,['20/09/23'],['18.598kWh'],['4.251kWh/kW'],['-'],['2.744kW'],['1:50PM'],['Partly Cloudy'],,['Updated 19:55 UTC+2:00']
15,['19/09/23'],['14.069kWh'],['3.216kWh/kW'],['-'],['3.543kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 20:00 UTC+2:00']
16,['18/09/23'],['5.719kWh'],['1.307kWh/kW'],['-'],['2.284kW'],['4:30PM'],['Cloudy'],,['Updated 19:55 UTC+2:00']
17,['17/09/23'],['16.035kWh'],['3.665kWh/kW'],['-'],['2.836kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 20:00 UTC+2:00']
18,['16/09/23'],['15.339kWh'],['3.506kWh/kW'],['-'],['3.369kW'],['12:30PM'],['Mostly Cloudy'],,['Updated 20:00 UTC+2:00']
19,['15/09/23'],['14.956kWh'],['3.419kWh/kW'],['-'],['3.260kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 20:05 UTC+2:00']
20,['14/09/23'],['9.507kWh'],['2.173kWh/kW'],['-'],['3.427kW'],['1:10PM'],['Cloudy'],,['Updated 20:05 UTC+2:00']
21,['13/09/23'],['7.057kWh'],['1.613kWh/kW'],['-'],['2.104kW'],['3:50PM'],['Cloudy'],,['Updated 20:05 UTC+2:00']
22,['12/09/23'],['13.491kWh'],['3.084kWh/kW'],['-'],['3.353kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 20:10 UTC+2:00']
23,['11/09/23'],['18.307kWh'],['4.184kWh/kW'],['-'],['2.668kW'],['2:10PM'],['Partly Cloudy'],,['Updated 20:15 UTC+2:00']
