,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['54.700kWh'],['3.126kWh/kW'],['-'],"['0,00 CHF']",['9.345kWh'],['16.022kWh'],['13.675kWh'],['Partial Month (4 days)']
1,['Sep 23'],['470.497kWh'],['3.585kWh/kW'],['-'],"['0,00 CHF']",['5.719kWh'],['20.678kWh'],['15.683kWh'],[]
2,['Aug 23'],['459.129kWh'],['3.385kWh/kW'],['-'],"['0,00 CHF']",['3.720kWh'],['23.687kWh'],['14.810kWh'],[]
3,['Jul 23'],['529.368kWh'],['3.903kWh/kW'],['-'],"['0,00 CHF']",['7.183kWh'],['23.979kWh'],['17.076kWh'],[]
4,['Jun 23'],['654.337kWh'],['4.985kWh/kW'],['-'],"['0,00 CHF']",['7.405kWh'],['25.347kWh'],['21.811kWh'],[]
5,['May 23'],['501.096kWh'],['3.695kWh/kW'],['-'],"['0,00 CHF']",['4.391kWh'],['25.348kWh'],['16.164kWh'],[]
6,['Apr 23'],['410.556kWh'],['3.128kWh/kW'],['-'],"['0,00 CHF']",['3.339kWh'],['24.173kWh'],['13.685kWh'],[]
7,['Mar 23'],['325.107kWh'],['2.397kWh/kW'],['-'],"['0,00 CHF']",['1.370kWh'],['19.810kWh'],['10.487kWh'],[]
8,['Feb 23'],['235.371kWh'],['1.921kWh/kW'],['-'],"['0,00 CHF']",['1.360kWh'],['15.401kWh'],['8.406kWh'],[]
9,['Jan 23'],['90.508kWh'],['0.667kWh/kW'],['-'],"['0,00 CHF']",['0.283kWh'],['8.501kWh'],['2.919kWh'],[]
10,['Dec 22'],['46.020kWh'],['0.339kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['7.536kWh'],['1.484kWh'],[]
11,['Nov 22'],['139.767kWh'],['1.065kWh/kW'],['-'],"['0,00 CHF']",['0.760kWh'],['10.570kWh'],['4.658kWh'],[]
12,['Oct 22'],['275.338kWh'],['2.030kWh/kW'],['-'],"['0,00 CHF']",['1.472kWh'],['17.739kWh'],['8.881kWh'],[]
13,['Sep 22'],['389.163kWh'],['2.965kWh/kW'],['-'],"['0,00 CHF']",['2.622kWh'],['21.304kWh'],['12.972kWh'],[]
14,['Aug 22'],['571.433kWh'],['4.213kWh/kW'],['-'],"['0,00 CHF']",['1.791kWh'],['24.446kWh'],['18.433kWh'],[]
15,['Jul 22'],['674.426kWh'],['4.973kWh/kW'],['-'],"['0,00 CHF']",['8.944kWh'],['27.161kWh'],['21.755kWh'],[]
16,['Jun 22'],['595.232kWh'],['4.535kWh/kW'],['-'],"['0,00 CHF']",['6.149kWh'],['26.772kWh'],['19.841kWh'],[]
