,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['38.695kWh'],['2.948kWh/kW'],['-'],"['0,00 CHF']",['9.345kWh'],['16.022kWh'],['12.898kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['115.017kWh'],['3.756kWh/kW'],['-'],"['0,00 CHF']",['12.516kWh'],['18.465kWh'],['16.431kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['86.537kWh'],['2.826kWh/kW'],['-'],"['0,00 CHF']",['5.719kWh'],['18.725kWh'],['12.362kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['94.692kWh'],['3.092kWh/kW'],['-'],"['0,00 CHF']",['7.057kWh'],['18.307kWh'],['13.527kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['135.155kWh'],['4.413kWh/kW'],['-'],"['0,00 CHF']",['17.258kWh'],['20.678kWh'],['19.307kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['85.688kWh'],['2.798kWh/kW'],['-'],"['0,00 CHF']",['3.720kWh'],['19.930kWh'],['12.241kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['94.188kWh'],['3.076kWh/kW'],['-'],"['0,00 CHF']",['4.640kWh'],['19.565kWh'],['13.455kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['126.217kWh'],['4.121kWh/kW'],['-'],"['0,00 CHF']",['13.327kWh'],['20.411kWh'],['18.031kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['117.336kWh'],['3.831kWh/kW'],['-'],"['0,00 CHF']",['9.138kWh'],['22.030kWh'],['16.762kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['110.214kWh'],['3.599kWh/kW'],['-'],"['0,00 CHF']",['10.382kWh'],['23.687kWh'],['15.744kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['94.879kWh'],['3.098kWh/kW'],['-'],"['0,00 CHF']",['9.732kWh'],['17.980kWh'],['13.554kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['122.269kWh'],['3.992kWh/kW'],['-'],"['0,00 CHF']",['12.448kWh'],['19.800kWh'],['17.467kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['118.726kWh'],['3.877kWh/kW'],['-'],"['0,00 CHF']",['7.183kWh'],['21.302kWh'],['16.960kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['140.599kWh'],['4.591kWh/kW'],['-'],"['0,00 CHF']",['12.785kWh'],['23.979kWh'],['20.085kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['126.965kWh'],['4.146kWh/kW'],['-'],"['0,00 CHF']",['7.405kWh'],['24.086kWh'],['18.137kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['139.577kWh'],['4.558kWh/kW'],['-'],"['0,00 CHF']",['13.008kWh'],['25.347kWh'],['19.939kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['160.674kWh'],['5.247kWh/kW'],['-'],"['0,00 CHF']",['20.622kWh'],['25.128kWh'],['22.953kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['168.115kWh'],['5.489kWh/kW'],['-'],"['0,00 CHF']",['21.952kWh'],['24.650kWh'],['24.016kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['168.075kWh'],['5.488kWh/kW'],['-'],"['0,00 CHF']",['20.945kWh'],['25.348kWh'],['24.010kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['136.124kWh'],['4.445kWh/kW'],['-'],"['0,00 CHF']",['4.989kWh'],['25.017kWh'],['19.446kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['81.045kWh'],['2.646kWh/kW'],['-'],"['0,00 CHF']",['4.391kWh'],['20.511kWh'],['11.577kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['79.544kWh'],['2.597kWh/kW'],['-'],"['0,00 CHF']",['7.077kWh'],['16.696kWh'],['11.363kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['128.796kWh'],['4.206kWh/kW'],['-'],"['0,00 CHF']",['11.500kWh'],['23.869kWh'],['18.399kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['106.663kWh'],['3.483kWh/kW'],['-'],"['0,00 CHF']",['6.312kWh'],['20.574kWh'],['15.237kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['84.384kWh'],['2.755kWh/kW'],['-'],"['0,00 CHF']",['3.339kWh'],['19.921kWh'],['12.054kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['80.517kWh'],['2.629kWh/kW'],['-'],"['0,00 CHF']",['3.817kWh'],['21.792kWh'],['11.502kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['113.180kWh'],['3.696kWh/kW'],['-'],"['0,00 CHF']",['5.135kWh'],['24.173kWh'],['16.168kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['85.326kWh'],['2.786kWh/kW'],['-'],"['0,00 CHF']",['6.392kWh'],['18.478kWh'],['12.189kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['67.641kWh'],['2.209kWh/kW'],['-'],"['0,00 CHF']",['2.850kWh'],['19.810kWh'],['9.663kWh'],['20/03/23 - 26/03/23']
