,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023'],['3.731MWh'],['3.078kWh/kW'],['-'],"['0,00 CHF']",['0.283kWh'],['25.348kWh'],['13.468kWh'],['Partial Year (277 days)']
1,['2022'],['4.717MWh'],['2.954kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.161kWh'],['12.922kWh'],[]
2,['2021'],['4.306MWh'],['2.697kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['28.315kWh'],['11.797kWh'],[]
3,['2020'],['4.844MWh'],['3.025kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['28.459kWh'],['13.235kWh'],[]
4,['2019'],['4.764MWh'],['2.991kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['29.253kWh'],['13.086kWh'],['Partial Year (364 days)']
5,['2018'],['4.735MWh'],['2.965kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.611kWh'],['12.972kWh'],[]
6,['2017'],['4.522MWh'],['2.832kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.882kWh'],['12.389kWh'],[]
7,['2016'],['4.237MWh'],['2.661kWh/kW'],['19.300kWh'],"['11,58 CHF']",['0.000kWh'],['27.957kWh'],['11.639kWh'],['Partial Year (364 days)']
8,['2015'],['4.492MWh'],['2.925kWh/kW'],['0.000kWh'],"['0,00 CHF']",['0.864kWh'],['43.922kWh'],['12.797kWh'],['Partial Year (351 days)']
9,['2014'],['3.971MWh'],['2.564kWh/kW'],['0.000kWh'],"['0,00 CHF']",['1.666kWh'],['17.566kWh'],['11.217kWh'],['Partial Year (354 days)']
10,['2013'],['3.835MWh'],['2.476kWh/kW'],['0.000kWh'],"['0,00 CHF']",['1.700kWh'],['20.766kWh'],['10.833kWh'],['Partial Year (354 days)']
11,['2012'],['4.170MWh'],['2.685kWh/kW'],['0.000kWh'],"['0,00 CHF']",['1.766kWh'],['20.233kWh'],['11.746kWh'],['Partial Year (355 days)']
12,['2011'],['4.386MWh'],['2.832kWh/kW'],['0.000kWh'],"['0,00 CHF']",['1.666kWh'],['21.266kWh'],['12.389kWh'],['Partial Year (354 days)']
13,['2010'],['3.865MWh'],['2.495kWh/kW'],['0.000kWh'],"['0,00 CHF']",['0.500kWh'],['20.200kWh'],['10.917kWh'],['Partial Year (354 days)']
14,['2009'],['4.224MWh'],['2.727kWh/kW'],['0.000kWh'],"['0,00 CHF']",['1.733kWh'],['20.689kWh'],['11.931kWh'],['Partial Year (354 days)']
15,['2008'],['4.297MWh'],['2.767kWh/kW'],['0.000kWh'],"['0,00 CHF']",['2.266kWh'],['21.620kWh'],['12.103kWh'],['Partial Year (355 days)']
16,['2007'],['1.878MWh'],['2.481kWh/kW'],['0.000kWh'],"['0,00 CHF']",['2.266kWh'],['20.040kWh'],['10.854kWh'],['Partial Year (173 days)']
