,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['14/06/21'],['0.045kWh'],['0.002kWh/kW'],['0.045kWh'],['0.192kW'],['6:00AM'],['Showers'],,['Updated 06:14 UTC+2:00']
1,['13/06/21'],['123.025kWh'],['6.309kWh/kW'],['123.025kWh'],['16.932kW'],['12:15PM'],['Fine'],,['Updated 21:42 UTC+2:00']
2,['12/06/21'],['114.809kWh'],['5.888kWh/kW'],['114.809kWh'],['17.136kW'],['1:40PM'],['Fine'],,['Updated 22:03 UTC+2:00']
3,['11/06/21'],['125.789kWh'],['6.451kWh/kW'],['125.789kWh'],['15.468kW'],['12:50PM'],['Fine'],,['Updated 21:47 UTC+2:00']
4,['10/06/21'],['117.002kWh'],['6.000kWh/kW'],['117.002kWh'],['16.428kW'],['1:15PM'],['Fine'],,['Updated 21:39 UTC+2:00']
5,['09/06/21'],['80.926kWh'],['4.150kWh/kW'],['80.926kWh'],['15.984kW'],['12:15PM'],['Fine'],,['Updated 22:09 UTC+2:00']
6,['08/06/21'],['94.376kWh'],['4.840kWh/kW'],['94.376kWh'],['16.764kW'],['2:40PM'],['Fine'],,['Updated 21:28 UTC+2:00']
7,['07/06/21'],['4.056kWh'],['0.208kWh/kW'],['4.056kWh'],['2.784kW'],['9:45AM'],['Showers'],,['Updated 11:16 UTC+2:00']
8,['06/06/21'],['59.529kWh'],['3.053kWh/kW'],['59.529kWh'],['11.676kW'],['12:35PM'],['Partly Cloudy'],,['Updated 21:28 UTC+2:00']
9,['05/06/21'],['34.640kWh'],['1.776kWh/kW'],['34.640kWh'],['5.952kW'],['6:00PM'],['Mostly Cloudy'],,['Updated 21:29 UTC+2:00']
10,['04/06/21'],['66.797kWh'],['3.425kWh/kW'],['66.797kWh'],['16.920kW'],['2:50PM'],['Partly Cloudy'],,['Updated 21:34 UTC+2:00']
11,['03/06/21'],['114.659kWh'],['5.880kWh/kW'],['114.659kWh'],['16.668kW'],['10:55AM'],['Fine'],,['Updated 21:39 UTC+2:00']
12,['02/06/21'],['105.455kWh'],['5.408kWh/kW'],['105.455kWh'],['15.756kW'],['12:20PM'],['Fine'],,['Updated 21:25 UTC+2:00']
13,['01/06/21'],['132.044kWh'],['6.771kWh/kW'],['132.044kWh'],['15.276kW'],['12:55PM'],['Fine'],,['Updated 21:32 UTC+2:00']
14,['31/05/21'],['134.799kWh'],['6.913kWh/kW'],['134.799kWh'],['15.780kW'],['12:30PM'],['Fine'],,['Updated 21:37 UTC+2:00']
15,['30/05/21'],['139.864kWh'],['7.173kWh/kW'],['139.864kWh'],['16.512kW'],['12:55PM'],['Fine'],,['Updated 21:32 UTC+2:00']
16,['29/05/21'],['113.338kWh'],['5.812kWh/kW'],['113.338kWh'],['17.184kW'],['12:25PM'],['Fine'],,['Updated 21:34 UTC+2:00']
17,['28/05/21'],['135.915kWh'],['6.970kWh/kW'],['135.915kWh'],['15.984kW'],['1:05PM'],['Fine'],,['Updated 21:37 UTC+2:00']
18,['27/05/21'],['68.477kWh'],['3.512kWh/kW'],['68.477kWh'],['17.172kW'],['1:55PM'],['Fine'],,['Updated 21:32 UTC+2:00']
19,['26/05/21'],['75.054kWh'],['3.849kWh/kW'],['75.054kWh'],['14.892kW'],['11:50AM'],['Fine'],,['Updated 21:10 UTC+2:00']
20,['25/05/21'],['117.460kWh'],['6.024kWh/kW'],['117.460kWh'],['17.172kW'],['12:10PM'],['Fine'],,['Updated 21:28 UTC+2:00']
21,['24/05/21'],['38.267kWh'],['1.962kWh/kW'],['38.267kWh'],['7.116kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 17:07 UTC+2:00']
22,['23/05/21'],['117.984kWh'],['6.050kWh/kW'],['117.984kWh'],['17.172kW'],['1:10PM'],['Fine'],,['Updated 15:03 UTC+2:00']
23,['22/05/21'],['132.175kWh'],['6.778kWh/kW'],['132.175kWh'],['17.196kW'],['12:35PM'],['Fine'],,['Updated 11:17 UTC+2:00']
24,['21/05/21'],['33.661kWh'],['1.726kWh/kW'],['33.661kWh'],['13.548kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 20:27 UTC+2:00']
25,['20/05/21'],['89.394kWh'],['4.584kWh/kW'],['89.394kWh'],['17.232kW'],['11:40AM'],['Fine'],,['Updated 21:14 UTC+2:00']
26,['19/05/21'],['65.420kWh'],['3.355kWh/kW'],['65.420kWh'],['17.172kW'],['1:20PM'],['Partly Cloudy'],,['Updated 21:19 UTC+2:00']
27,['18/05/21'],['86.932kWh'],['4.458kWh/kW'],['86.932kWh'],['17.160kW'],['1:35PM'],['Fine'],,['Updated 21:08 UTC+2:00']
28,['17/05/21'],['93.540kWh'],['4.797kWh/kW'],['93.540kWh'],['17.172kW'],['1:30PM'],['Fine'],,['Updated 21:20 UTC+2:00']
29,['16/05/21'],['56.047kWh'],['2.874kWh/kW'],['56.047kWh'],['13.308kW'],['10:20AM'],['Partly Cloudy'],,['Updated 21:07 UTC+2:00']
30,['15/05/21'],['62.472kWh'],['3.204kWh/kW'],['62.472kWh'],['13.308kW'],['10:25AM'],['Partly Cloudy'],,['Updated 20:44 UTC+2:00']
31,['14/05/21'],['97.622kWh'],['5.006kWh/kW'],['97.622kWh'],['17.184kW'],['12:55PM'],['Fine'],,['Updated 21:25 UTC+2:00']
32,['13/05/21'],['67.464kWh'],['3.460kWh/kW'],['67.464kWh'],['16.140kW'],['3:40PM'],['Fine'],,['Updated 21:13 UTC+2:00']
33,['12/05/21'],['49.615kWh'],['2.544kWh/kW'],['49.615kWh'],['12.612kW'],['12:35PM'],['Partly Cloudy'],,['Updated 23:12 UTC+2:00']
34,['11/05/21'],['29.916kWh'],['1.534kWh/kW'],['29.916kWh'],['12.804kW'],['11:20AM'],['Mostly Cloudy'],,['Updated 21:28 UTC+2:00']
