,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Jun 21'],['1.173MWh'],['4.297kWh/kW'],['1.173MWh'],"['354,29 CHF']",['0.045kWh'],['132.044kWh'],['83.796kWh'],['Partial Month (14 days)']
1,['May 21'],['2.263MWh'],['4.002kWh/kW'],['2.263MWh'],"['683,42 CHF']",['0.199kWh'],['139.864kWh'],['78.033kWh'],['Partial Month (29 days)']
2,['Apr 21'],['2.239MWh'],['4.415kWh/kW'],['2.239MWh'],"['676,03 CHF']",['37.666kWh'],['126.278kWh'],['86.096kWh'],['Partial Month (26 days)']
3,['Mar 21'],['1.653MWh'],['3.140kWh/kW'],['1.653MWh'],"['499,18 CHF']",['4.931kWh'],['105.797kWh'],['61.219kWh'],['Partial Month (27 days)']
4,['Feb 21'],['543.677kWh'],['1.743kWh/kW'],['543.677kWh'],"['164,19 CHF']",['0.562kWh'],['68.974kWh'],['33.979kWh'],['Partial Month (16 days)']
5,['Jan 21'],['36.482kWh'],['0.156kWh/kW'],['36.482kWh'],"['11,02 CHF']",['0.038kWh'],['6.435kWh'],['3.040kWh'],['Partial Month (12 days)']
6,['Dec 20'],['140.024kWh'],['0.598kWh/kW'],['140.024kWh'],"['42,29 CHF']",['0.959kWh'],['29.403kWh'],['11.668kWh'],['Partial Month (12 days)']
7,['Nov 20'],['354.095kWh'],['0.673kWh/kW'],['354.095kWh'],"['106,94 CHF']",['0.028kWh'],['44.453kWh'],['13.114kWh'],['Partial Month (27 days)']
8,['Oct 20'],['623.792kWh'],['1.066kWh/kW'],['623.792kWh'],"['188,39 CHF']",['0.014kWh'],['72.405kWh'],['20.793kWh'],['Partial Month (30 days)']
9,['Sep 20'],['1.990MWh'],['3.401kWh/kW'],['1.990MWh'],"['600,87 CHF']",['18.728kWh'],['100.177kWh'],['66.320kWh'],[]
10,['Aug 20'],['2.442MWh'],['4.039kWh/kW'],['2.442MWh'],"['737,44 CHF']",['9.452kWh'],['118.397kWh'],['78.769kWh'],[]
11,['Jul 20'],['3.002MWh'],['4.966kWh/kW'],['3.002MWh'],"['906,55 CHF']",['34.747kWh'],['128.376kWh'],['96.832kWh'],[]
12,['Jun 20'],['2.493MWh'],['4.261kWh/kW'],['2.493MWh'],"['752,85 CHF']",['23.454kWh'],['127.417kWh'],['83.096kWh'],[]
13,['May 20'],['2.328MWh'],['3.852kWh/kW'],['2.328MWh'],"['703,18 CHF']",['2.038kWh'],['133.077kWh'],['75.110kWh'],[]
14,['Apr 20'],['2.846MWh'],['5.033kWh/kW'],['2.846MWh'],"['859,59 CHF']",['10.949kWh'],['119.463kWh'],['98.148kWh'],['Partial Month (29 days)']
15,['Mar 20'],['1.529MWh'],['3.409kWh/kW'],['1.529MWh'],"['461,79 CHF']",['2.153kWh'],['114.461kWh'],['66.482kWh'],['Partial Month (23 days)']
16,['Feb 20'],['640.922kWh'],['2.054kWh/kW'],['640.922kWh'],"['193,56 CHF']",['2.502kWh'],['72.007kWh'],['40.057kWh'],['Partial Month (16 days)']
17,['Jan 20'],['598.077kWh'],['1.227kWh/kW'],['598.077kWh'],"['180,62 CHF']",['5.196kWh'],['39.333kWh'],['23.923kWh'],['Partial Month (25 days)']
