,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2021-24'],['0.045kWh'],['0.002kWh/kW'],['0.045kWh'],"['0,01 CHF']",['0.045kWh'],['0.045kWh'],['0.045kWh'],['14/06/21 - 14/06/21']
1,['2021-23'],['659.983kWh'],['4.835kWh/kW'],['659.983kWh'],"['199,32 CHF']",['4.056kWh'],['125.789kWh'],['94.283kWh'],['07/06/21 - 13/06/21']
2,['2021-22'],['647.923kWh'],['4.747kWh/kW'],['647.923kWh'],"['195,67 CHF']",['34.640kWh'],['134.799kWh'],['92.560kWh'],['31/05/21 - 06/06/21']
3,['2021-21'],['688.375kWh'],['5.043kWh/kW'],['688.375kWh'],"['207,89 CHF']",['38.267kWh'],['139.864kWh'],['98.339kWh'],['24/05/21 - 30/05/21']
4,['2021-20'],['619.106kWh'],['4.535kWh/kW'],['619.106kWh'],"['186,97 CHF']",['33.661kWh'],['132.175kWh'],['88.443kWh'],['17/05/21 - 23/05/21']
5,['2021-19'],['435.294kWh'],['3.189kWh/kW'],['435.294kWh'],"['131,46 CHF']",['29.916kWh'],['97.622kWh'],['62.184kWh'],['10/05/21 - 16/05/21']
6,['2021-18'],['307.771kWh'],['3.156kWh/kW'],['307.771kWh'],"['92,95 CHF']",['0.199kWh'],['123.385kWh'],['61.554kWh'],['03/05/21 - 07/05/21']
7,['2021-17'],['484.729kWh'],['3.551kWh/kW'],['484.729kWh'],"['146,39 CHF']",['22.828kWh'],['122.960kWh'],['69.247kWh'],['26/04/21 - 02/05/21']
8,['2021-16'],['620.314kWh'],['5.302kWh/kW'],['620.314kWh'],"['187,33 CHF']",['42.326kWh'],['126.278kWh'],['103.385kWh'],['20/04/21 - 25/04/21']
9,['2021-15'],['253.182kWh'],['3.246kWh/kW'],['253.182kWh'],"['76,46 CHF']",['37.666kWh'],['97.580kWh'],['63.295kWh'],['12/04/21 - 15/04/21']
10,['2021-14'],['569.704kWh'],['4.174kWh/kW'],['569.704kWh'],"['172,05 CHF']",['55.488kWh'],['119.116kWh'],['81.386kWh'],['05/04/21 - 11/04/21']
11,['2021-13'],['701.242kWh'],['5.137kWh/kW'],['701.242kWh'],"['211,78 CHF']",['68.826kWh'],['114.729kWh'],['100.177kWh'],['29/03/21 - 04/04/21']
12,['2021-12'],['473.966kWh'],['3.472kWh/kW'],['473.966kWh'],"['143,14 CHF']",['4.931kWh'],['105.797kWh'],['67.709kWh'],['22/03/21 - 28/03/21']
13,['2021-11'],['172.791kWh'],['2.954kWh/kW'],['172.791kWh'],"['52,18 CHF']",['27.004kWh'],['75.228kWh'],['57.597kWh'],['19/03/21 - 21/03/21']
