,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['75.289kWh'],['1.696kWh/kW'],['-'],['22.008kW'],['12:55PM'],['Cloudy'],,['Updated 14:11 UTC+2:00']
1,['03/10/23'],['102.253kWh'],['2.303kWh/kW'],['-'],['20.628kW'],['12:20PM'],['Cloudy'],,['Updated 00:19 UTC+2:00']
2,['02/10/23'],['128.697kWh'],['2.899kWh/kW'],['-'],['19.992kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:20 UTC+2:00']
3,['01/10/23'],['128.610kWh'],['2.897kWh/kW'],['-'],['19.740kW'],['1:25PM'],['Mostly Cloudy'],,['Updated 00:23 UTC+2:00']
4,['30/09/23'],['103.838kWh'],['2.339kWh/kW'],['-'],['20.664kW'],['1:25PM'],['Cloudy'],,['Updated 23:24 UTC+2:00']
5,['29/09/23'],['129.077kWh'],['2.907kWh/kW'],['-'],['20.388kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
6,['28/09/23'],['127.883kWh'],['2.880kWh/kW'],['-'],['22.512kW'],['12:40PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
7,['27/09/23'],['142.735kWh'],['3.215kWh/kW'],['-'],['21.972kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:24 UTC+2:00']
8,['26/09/23'],['147.525kWh'],['3.323kWh/kW'],['-'],['21.804kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
9,['25/09/23'],['151.404kWh'],['3.410kWh/kW'],['-'],['22.080kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
10,['24/09/23'],['149.127kWh'],['3.359kWh/kW'],['-'],['23.520kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 00:17 UTC+2:00']
11,['23/09/23'],['72.920kWh'],['1.642kWh/kW'],['-'],['26.724kW'],['1:35PM'],['Cloudy'],,['Updated 00:18 UTC+2:00']
12,['22/09/23'],['80.988kWh'],['1.824kWh/kW'],['-'],['20.220kW'],['2:05PM'],['Cloudy'],,['Updated 00:21 UTC+2:00']
13,['21/09/23'],['104.748kWh'],['2.359kWh/kW'],['-'],['21.000kW'],['2:10PM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
14,['20/09/23'],['154.907kWh'],['3.489kWh/kW'],['-'],['22.200kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:27 UTC+2:00']
15,['19/09/23'],['115.595kWh'],['2.603kWh/kW'],['-'],['25.248kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 00:16 UTC+2:00']
16,['18/09/23'],['38.025kWh'],['0.856kWh/kW'],['-'],['9.432kW'],['2:35PM'],['Showers'],,['Updated 00:28 UTC+2:00']
17,['17/09/23'],['139.449kWh'],['3.141kWh/kW'],['-'],['21.288kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:28 UTC+2:00']
18,['16/09/23'],['132.152kWh'],['2.976kWh/kW'],['-'],['22.560kW'],['12:55PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
19,['15/09/23'],['113.231kWh'],['2.550kWh/kW'],['-'],['22.512kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 00:18 UTC+2:00']
20,['14/09/23'],['85.457kWh'],['1.925kWh/kW'],['-'],['25.812kW'],['1:35PM'],['Cloudy'],,['Updated 00:23 UTC+2:00']
21,['13/09/23'],['70.840kWh'],['1.595kWh/kW'],['-'],['15.432kW'],['3:35PM'],['Cloudy'],,['Updated 00:26 UTC+2:00']
22,['12/09/23'],['132.063kWh'],['2.974kWh/kW'],['-'],['24.156kW'],['1:40PM'],['Mostly Cloudy'],,['Updated 00:17 UTC+2:00']
23,['11/09/23'],['158.765kWh'],['3.576kWh/kW'],['-'],['22.308kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 00:15 UTC+2:00']
24,['10/09/23'],['159.911kWh'],['3.602kWh/kW'],['-'],['22.584kW'],['1:10PM'],['Mostly Cloudy'],,['Updated 00:21 UTC+2:00']
25,['09/09/23'],['155.462kWh'],['3.501kWh/kW'],['-'],['22.560kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:23 UTC+2:00']
26,['08/09/23'],['163.326kWh'],['3.679kWh/kW'],['-'],['22.512kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 00:27 UTC+2:00']
27,['07/09/23'],['166.305kWh'],['3.746kWh/kW'],['-'],['22.884kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:26 UTC+2:00']
28,['06/09/23'],['173.378kWh'],['3.905kWh/kW'],['-'],['23.736kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 00:25 UTC+2:00']
29,['05/09/23'],['175.740kWh'],['3.958kWh/kW'],['-'],['23.724kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 00:29 UTC+2:00']
30,['04/09/23'],['176.968kWh'],['3.986kWh/kW'],['-'],['24.276kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 00:19 UTC+2:00']
31,['03/09/23'],['156.217kWh'],['3.518kWh/kW'],['-'],['23.208kW'],['12:40PM'],['Mostly Cloudy'],,['Updated 00:24 UTC+2:00']
