,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['434.849kWh'],['2.449kWh/kW'],['-'],"['0,00 CHF']",['75.289kWh'],['128.697kWh'],['108.712kWh'],['Partial Month (4 days)']
1,['Sep 23'],['4.037MWh'],['3.030kWh/kW'],['-'],"['0,00 CHF']",['38.025kWh'],['179.630kWh'],['134.551kWh'],[]
2,['Aug 23'],['4.536MWh'],['3.296kWh/kW'],['-'],"['0,00 CHF']",['38.766kWh'],['238.342kWh'],['146.321kWh'],[]
3,['Jul 23'],['5.681MWh'],['4.128kWh/kW'],['-'],"['0,00 CHF']",['105.698kWh'],['248.437kWh'],['183.267kWh'],[]
4,['Jun 23'],['6.601MWh'],['4.956kWh/kW'],['-'],"['0,00 CHF']",['76.370kWh'],['258.635kWh'],['220.026kWh'],[]
5,['May 23'],['4.985MWh'],['3.622kWh/kW'],['-'],"['0,00 CHF']",['32.693kWh'],['253.972kWh'],['160.812kWh'],[]
6,['Apr 23'],['3.813MWh'],['2.863kWh/kW'],['-'],"['0,00 CHF']",['33.245kWh'],['217.557kWh'],['127.114kWh'],[]
7,['Mar 23'],['2.864MWh'],['2.150kWh/kW'],['-'],"['0,00 CHF']",['3.724kWh'],['175.936kWh'],['95.460kWh'],['Partial Month (30 days)']
8,['Feb 23'],['1.976MWh'],['1.590kWh/kW'],['-'],"['0,00 CHF']",['15.916kWh'],['111.235kWh'],['70.589kWh'],[]
9,['Jan 23'],['268.058kWh'],['0.241kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['48.266kWh'],['10.722kWh'],['Partial Month (25 days)']
10,['Dec 22'],['422.234kWh'],['0.307kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['48.783kWh'],['13.620kWh'],[]
11,['Nov 22'],['1.190MWh'],['0.894kWh/kW'],['-'],"['0,00 CHF']",['5.247kWh'],['77.597kWh'],['39.679kWh'],[]
12,['Oct 22'],['2.353MWh'],['1.710kWh/kW'],['-'],"['0,00 CHF']",['12.666kWh'],['141.885kWh'],['75.916kWh'],[]
13,['Sep 22'],['3.633MWh'],['2.727kWh/kW'],['-'],"['0,00 CHF']",['23.991kWh'],['196.132kWh'],['121.091kWh'],[]
14,['Aug 22'],['5.666MWh'],['4.116kWh/kW'],['-'],"['0,00 CHF']",['47.551kWh'],['251.514kWh'],['182.771kWh'],[]
15,['Jul 22'],['7.318MWh'],['5.317kWh/kW'],['-'],"['0,00 CHF']",['108.621kWh'],['286.292kWh'],['236.061kWh'],[]
16,['Jun 22'],['6.589MWh'],['4.946kWh/kW'],['-'],"['0,00 CHF']",['74.925kWh'],['301.383kWh'],['219.622kWh'],[]
17,['May 22'],['6.350MWh'],['4.614kWh/kW'],['-'],"['0,00 CHF']",['42.335kWh'],['287.672kWh'],['204.853kWh'],[]
18,['Apr 22'],['5.047MWh'],['3.789kWh/kW'],['-'],"['0,00 CHF']",['0.017kWh'],['265.583kWh'],['168.235kWh'],[]
19,['Mar 22'],['1.779MWh'],['3.083kWh/kW'],['-'],"['0,00 CHF']",['46.101kWh'],['161.888kWh'],['136.875kWh'],['Partial Month (13 days)']
20,['Feb 22'],['2.264MWh'],['1.821kWh/kW'],['-'],"['0,00 CHF']",['17.124kWh'],['143.266kWh'],['80.846kWh'],[]
21,['Jan 22'],['1.280MWh'],['0.930kWh/kW'],['-'],"['0,00 CHF']",['16.724kWh'],['75.260kWh'],['41.280kWh'],[]
22,['Dec 21'],['552.852kWh'],['0.402kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['45.017kWh'],['17.833kWh'],[]
23,['Nov 21'],['813.897kWh'],['0.611kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['80.670kWh'],['27.129kWh'],[]
24,['Oct 21'],['2.738MWh'],['1.989kWh/kW'],['-'],"['0,00 CHF']",['25.520kWh'],['151.988kWh'],['88.329kWh'],[]
