,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['306.239kWh'],['2.299kWh/kW'],['-'],"['0,00 CHF']",['75.289kWh'],['128.697kWh'],['102.079kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['931.072kWh'],['2.996kWh/kW'],['-'],"['0,00 CHF']",['103.838kWh'],['151.404kWh'],['133.010kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['716.310kWh'],['2.305kWh/kW'],['-'],"['0,00 CHF']",['38.025kWh'],['154.907kWh'],['102.330kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['831.957kWh'],['2.677kWh/kW'],['-'],"['0,00 CHF']",['70.840kWh'],['158.765kWh'],['118.851kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['1.171MWh'],['3.768kWh/kW'],['-'],"['0,00 CHF']",['155.462kWh'],['176.968kWh'],['167.298kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['849.963kWh'],['2.735kWh/kW'],['-'],"['0,00 CHF']",['38.766kWh'],['179.630kWh'],['121.423kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['919.653kWh'],['2.959kWh/kW'],['-'],"['0,00 CHF']",['43.943kWh'],['185.027kWh'],['131.379kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['1.217MWh'],['3.917kWh/kW'],['-'],"['0,00 CHF']",['121.680kWh'],['197.930kWh'],['173.886kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['1.178MWh'],['3.791kWh/kW'],['-'],"['0,00 CHF']",['114.760kWh'],['209.031kWh'],['168.333kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['1.075MWh'],['3.460kWh/kW'],['-'],"['0,00 CHF']",['72.010kWh'],['238.342kWh'],['153.626kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['1.063MWh'],['3.419kWh/kW'],['-'],"['0,00 CHF']",['111.008kWh'],['198.359kWh'],['151.793kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['1.328MWh'],['4.271kWh/kW'],['-'],"['0,00 CHF']",['123.435kWh'],['226.432kWh'],['189.643kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['1.313MWh'],['4.224kWh/kW'],['-'],"['0,00 CHF']",['105.698kWh'],['239.197kWh'],['187.542kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['1.459MWh'],['4.695kWh/kW'],['-'],"['0,00 CHF']",['148.720kWh'],['248.437kWh'],['208.458kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['1.203MWh'],['3.869kWh/kW'],['-'],"['0,00 CHF']",['76.370kWh'],['214.716kWh'],['171.794kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['1.413MWh'],['4.546kWh/kW'],['-'],"['0,00 CHF']",['111.221kWh'],['258.635kWh'],['201.826kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['1.677MWh'],['5.396kWh/kW'],['-'],"['0,00 CHF']",['212.242kWh'],['256.822kWh'],['239.564kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['1.692MWh'],['5.445kWh/kW'],['-'],"['0,00 CHF']",['224.317kWh'],['249.951kWh'],['241.756kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['1.700MWh'],['5.471kWh/kW'],['-'],"['0,00 CHF']",['211.326kWh'],['253.972kWh'],['242.913kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['1.262MWh'],['4.060kWh/kW'],['-'],"['0,00 CHF']",['51.382kWh'],['249.577kWh'],['180.247kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['811.046kWh'],['2.610kWh/kW'],['-'],"['0,00 CHF']",['32.693kWh'],['210.974kWh'],['115.863kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['927.056kWh'],['2.983kWh/kW'],['-'],"['0,00 CHF']",['122.075kWh'],['154.814kWh'],['132.436kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['1.231MWh'],['3.959kWh/kW'],['-'],"['0,00 CHF']",['98.718kWh'],['246.619kWh'],['175.789kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['976.557kWh'],['3.142kWh/kW'],['-'],"['0,00 CHF']",['55.002kWh'],['207.489kWh'],['139.508kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['812.540kWh'],['2.614kWh/kW'],['-'],"['0,00 CHF']",['36.148kWh'],['151.154kWh'],['116.077kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['792.752kWh'],['2.551kWh/kW'],['-'],"['0,00 CHF']",['33.245kWh'],['203.229kWh'],['113.250kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['1.032MWh'],['3.321kWh/kW'],['-'],"['0,00 CHF']",['56.646kWh'],['217.557kWh'],['147.471kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['740.911kWh'],['2.384kWh/kW'],['-'],"['0,00 CHF']",['73.600kWh'],['175.936kWh'],['105.844kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['721.447kWh'],['2.321kWh/kW'],['-'],"['0,00 CHF']",['28.328kWh'],['173.568kWh'],['103.063kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['869.199kWh'],['2.797kWh/kW'],['-'],"['0,00 CHF']",['60.097kWh'],['156.767kWh'],['124.171kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['564.100kWh'],['1.815kWh/kW'],['-'],"['0,00 CHF']",['29.217kWh'],['134.960kWh'],['80.585kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['236.616kWh'],['0.888kWh/kW'],['-'],"['0,00 CHF']",['3.724kWh'],['91.384kWh'],['39.436kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['621.988kWh'],['2.001kWh/kW'],['-'],"['0,00 CHF']",['42.193kWh'],['111.235kWh'],['88.855kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['564.531kWh'],['1.816kWh/kW'],['-'],"['0,00 CHF']",['53.713kWh'],['104.020kWh'],['80.647kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['541.308kWh'],['1.742kWh/kW'],['-'],"['0,00 CHF']",['30.339kWh'],['94.906kWh'],['77.329kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['189.623kWh'],['0.610kWh/kW'],['-'],"['0,00 CHF']",['1.528kWh'],['74.155kWh'],['27.089kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['0.000kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.000kWh'],['0.000kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['37.859kWh'],['0.122kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['25.736kWh'],['5.408kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['179.979kWh'],['0.579kWh/kW'],['-'],"['0,00 CHF']",['4.363kWh'],['48.266kWh'],['25.711kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['0.000kWh'],['0.000kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['0.000kWh'],['0.000kWh'],['02/01/23 - 02/01/23']
