,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['23.453kWh'],['2.705kWh/kW'],['23.453kWh'],['5.400kW'],['10:05AM'],['Fine'],,['Updated 14:10 UTC+2:00']
1,['03/10/23'],['29.920kWh'],['3.451kWh/kW'],['29.920kWh'],['5.772kW'],['10:55AM'],['Mostly Cloudy'],,['Updated 18:35 UTC+2:00']
2,['02/10/23'],['31.216kWh'],['3.600kWh/kW'],['31.216kWh'],['5.172kW'],['10:40AM'],['Mostly Cloudy'],,['Updated 18:45 UTC+2:00']
3,['01/10/23'],['30.954kWh'],['3.570kWh/kW'],['30.954kWh'],['5.016kW'],['10:25AM'],['Mostly Cloudy'],,['Updated 18:50 UTC+2:00']
4,['30/09/23'],['26.345kWh'],['3.039kWh/kW'],['26.345kWh'],['5.856kW'],['10:35AM'],['Mostly Cloudy'],,['Updated 17:55 UTC+2:00']
5,['29/09/23'],['32.570kWh'],['3.757kWh/kW'],['32.570kWh'],['6.216kW'],['10:30AM'],['Mostly Cloudy'],,['Updated 19:00 UTC+2:00']
6,['28/09/23'],['28.588kWh'],['3.297kWh/kW'],['28.588kWh'],['6.324kW'],['9:50AM'],['Mostly Cloudy'],,['Updated 18:55 UTC+2:00']
7,['27/09/23'],['33.498kWh'],['3.864kWh/kW'],['33.498kWh'],['5.448kW'],['10:05AM'],['Mostly Cloudy'],,['Updated 18:45 UTC+2:00']
8,['26/09/23'],['36.016kWh'],['4.154kWh/kW'],['36.016kWh'],['5.568kW'],['10:45AM'],['Partly Cloudy'],,['Updated 18:50 UTC+2:00']
9,['25/09/23'],['36.786kWh'],['4.243kWh/kW'],['36.786kWh'],['5.664kW'],['10:25AM'],['Partly Cloudy'],,['Updated 18:55 UTC+2:00']
10,['24/09/23'],['35.527kWh'],['4.098kWh/kW'],['35.527kWh'],['5.904kW'],['11:15AM'],['Partly Cloudy'],,['Updated 19:00 UTC+2:00']
11,['23/09/23'],['14.821kWh'],['1.709kWh/kW'],['14.821kWh'],['3.192kW'],['8:00AM'],['Cloudy'],,['Updated 19:05 UTC+2:00']
12,['22/09/23'],['2.390kWh'],['0.276kWh/kW'],['2.390kWh'],['0.840kW'],['2:40PM'],['Showers'],,['Updated 19:05 UTC+2:00']
13,['21/09/23'],['26.597kWh'],['3.068kWh/kW'],['26.597kWh'],['6.264kW'],['9:40AM'],['Mostly Cloudy'],,['Updated 18:45 UTC+2:00']
14,['20/09/23'],['33.904kWh'],['3.910kWh/kW'],['33.904kWh'],['5.472kW'],['10:30AM'],['Mostly Cloudy'],,['Updated 19:10 UTC+2:00']
15,['19/09/23'],['20.635kWh'],['2.380kWh/kW'],['20.635kWh'],['6.300kW'],['10:20AM'],['Cloudy'],,['Updated 19:15 UTC+2:00']
16,['18/09/23'],['7.880kWh'],['0.909kWh/kW'],['7.880kWh'],['3.204kW'],['11:40AM'],['Showers'],,['Updated 19:00 UTC+2:00']
17,['17/09/23'],['27.780kWh'],['3.204kWh/kW'],['27.780kWh'],['5.328kW'],['9:45AM'],['Mostly Cloudy'],,['Updated 19:15 UTC+2:00']
18,['16/09/23'],['35.263kWh'],['4.067kWh/kW'],['35.263kWh'],['6.228kW'],['10:40AM'],['Partly Cloudy'],,['Updated 19:20 UTC+2:00']
19,['15/09/23'],['27.630kWh'],['3.187kWh/kW'],['27.630kWh'],['6.288kW'],['9:55AM'],['Mostly Cloudy'],,['Updated 19:30 UTC+2:00']
20,['14/09/23'],['19.528kWh'],['2.252kWh/kW'],['19.528kWh'],['6.636kW'],['10:55AM'],['Cloudy'],,['Updated 19:05 UTC+2:00']
21,['13/09/23'],['7.844kWh'],['0.905kWh/kW'],['7.844kWh'],['3.228kW'],['7:25AM'],['Showers'],,['Updated 18:40 UTC+2:00']
22,['12/09/23'],['29.411kWh'],['3.392kWh/kW'],['29.411kWh'],['5.256kW'],['9:55AM'],['Mostly Cloudy'],,['Updated 19:20 UTC+2:00']
23,['11/09/23'],['35.954kWh'],['4.147kWh/kW'],['35.954kWh'],['5.316kW'],['10:35AM'],['Partly Cloudy'],,['Updated 06:30 UTC+2:00']
24,['10/09/23'],['34.722kWh'],['4.005kWh/kW'],['34.722kWh'],['5.220kW'],['10:55AM'],['Partly Cloudy'],,['Updated 19:25 UTC+2:00']
25,['09/09/23'],['35.131kWh'],['4.052kWh/kW'],['35.131kWh'],['5.256kW'],['10:55AM'],['Partly Cloudy'],,['Updated 19:30 UTC+2:00']
26,['08/09/23'],['34.766kWh'],['4.010kWh/kW'],['34.766kWh'],['5.232kW'],['10:40AM'],['Partly Cloudy'],,['Updated 19:30 UTC+2:00']
27,['07/09/23'],['36.625kWh'],['4.224kWh/kW'],['36.625kWh'],['5.424kW'],['10:25AM'],['Partly Cloudy'],,['Updated 19:35 UTC+2:00']
28,['06/09/23'],['37.902kWh'],['4.372kWh/kW'],['37.902kWh'],['5.568kW'],['10:45AM'],['Partly Cloudy'],,['Updated 19:35 UTC+2:00']
29,['05/09/23'],['38.258kWh'],['4.413kWh/kW'],['38.258kWh'],['5.688kW'],['10:45AM'],['Partly Cloudy'],,['Updated 19:40 UTC+2:00']
30,['04/09/23'],['37.705kWh'],['4.349kWh/kW'],['37.705kWh'],['5.532kW'],['10:25AM'],['Partly Cloudy'],,['Updated 19:30 UTC+2:00']
31,['03/09/23'],['32.393kWh'],['3.736kWh/kW'],['32.393kWh'],['5.280kW'],['10:25AM'],['Mostly Cloudy'],,['Updated 19:40 UTC+2:00']
