,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['Oct 23'],['115.543kWh'],['3.332kWh/kW'],['115.543kWh'],"['55,81 CHF']",['23.453kWh'],['31.216kWh'],['28.885kWh'],['Partial Month (4 days)']
1,['Sep 23'],['877.098kWh'],['3.372kWh/kW'],['877.098kWh'],"['423,64 CHF']",['2.390kWh'],['38.258kWh'],['29.236kWh'],[]
2,['Aug 23'],['796.786kWh'],['2.965kWh/kW'],['796.786kWh'],"['384,85 CHF']",['4.455kWh'],['40.468kWh'],['25.702kWh'],[]
3,['Jul 23'],['894.426kWh'],['3.328kWh/kW'],['894.426kWh'],"['432,01 CHF']",['13.706kWh'],['42.972kWh'],['28.852kWh'],[]
4,['Jun 23'],['1.126MWh'],['4.330kWh/kW'],['1.126MWh'],"['543,94 CHF']",['10.990kWh'],['44.833kWh'],['37.539kWh'],[]
5,['May 23'],['894.880kWh'],['3.329kWh/kW'],['894.880kWh'],"['432,23 CHF']",['10.189kWh'],['45.188kWh'],['28.867kWh'],[]
6,['Apr 23'],['759.816kWh'],['2.921kWh/kW'],['759.816kWh'],"['366,99 CHF']",['3.999kWh'],['44.633kWh'],['25.327kWh'],[]
7,['Mar 23'],['590.258kWh'],['2.196kWh/kW'],['590.258kWh'],"['285,09 CHF']",['5.274kWh'],['39.336kWh'],['19.040kWh'],[]
8,['Feb 23'],['480.956kWh'],['1.981kWh/kW'],['480.956kWh'],"['232,30 CHF']",['1.882kWh'],['30.229kWh'],['17.177kWh'],[]
9,['Jan 23'],['245.348kWh'],['0.913kWh/kW'],['245.348kWh'],"['118,50 CHF']",['0.886kWh'],['22.825kWh'],['7.914kWh'],[]
10,['Dec 22'],['179.090kWh'],['0.666kWh/kW'],['179.090kWh'],"['86,50 CHF']",['0.067kWh'],['19.898kWh'],['5.777kWh'],[]
11,['Nov 22'],['236.738kWh'],['1.092kWh/kW'],['236.738kWh'],"['114,34 CHF']",['1.368kWh'],['22.510kWh'],['9.469kWh'],['Partial Month (25 days)']
12,['Oct 22'],['532.580kWh'],['1.982kWh/kW'],['532.580kWh'],"['257,24 CHF']",['1.565kWh'],['35.209kWh'],['17.180kWh'],[]
13,['Sep 22'],['637.198kWh'],['2.450kWh/kW'],['637.198kWh'],"['307,77 CHF']",['4.380kWh'],['40.657kWh'],['21.239kWh'],[]
14,['Aug 22'],['1.034MWh'],['3.848kWh/kW'],['1.034MWh'],"['499,46 CHF']",['0.948kWh'],['43.945kWh'],['33.357kWh'],[]
15,['Jul 22'],['1.106MWh'],['4.116kWh/kW'],['1.106MWh'],"['534,30 CHF']",['10.463kWh'],['46.652kWh'],['35.684kWh'],[]
16,['Jun 22'],['1.012MWh'],['3.892kWh/kW'],['1.012MWh'],"['488,93 CHF']",['11.970kWh'],['46.382kWh'],['33.742kWh'],[]
17,['May 22'],['986.922kWh'],['3.672kWh/kW'],['986.922kWh'],"['476,68 CHF']",['8.722kWh'],['47.292kWh'],['31.836kWh'],[]
18,['Apr 22'],['926.940kWh'],['3.564kWh/kW'],['926.940kWh'],"['447,71 CHF']",['4.872kWh'],['46.800kWh'],['30.898kWh'],[]
19,['Mar 22'],['973.882kWh'],['3.623kWh/kW'],['973.882kWh'],"['470,38 CHF']",['2.825kWh'],['41.036kWh'],['31.415kWh'],[]
20,['Feb 22'],['552.285kWh'],['2.275kWh/kW'],['552.285kWh'],"['266,75 CHF']",['1.063kWh'],['36.496kWh'],['19.724kWh'],[]
21,['Jan 22'],['315.867kWh'],['1.175kWh/kW'],['315.867kWh'],"['152,56 CHF']",['0.847kWh'],['22.588kWh'],['10.189kWh'],[]
22,['Dec 21'],['193.263kWh'],['0.769kWh/kW'],['193.263kWh'],"['93,35 CHF']",['0.004kWh'],['19.834kWh'],['6.664kWh'],['Partial Month (29 days)']
23,['Nov 21'],['227.460kWh'],['0.937kWh/kW'],['227.460kWh'],"['109,86 CHF']",['1.115kWh'],['27.430kWh'],['8.123kWh'],['Partial Month (28 days)']
24,['Oct 21'],['644.637kWh'],['2.399kWh/kW'],['644.637kWh'],"['311,36 CHF']",['4.950kWh'],['35.855kWh'],['20.794kWh'],[]
25,['Sep 21'],['888.225kWh'],['3.415kWh/kW'],['888.225kWh'],"['429,01 CHF']",['5.795kWh'],['42.492kWh'],['29.607kWh'],[]
26,['Aug 21'],['768.213kWh'],['2.858kWh/kW'],['768.213kWh'],"['371,05 CHF']",['4.058kWh'],['41.936kWh'],['24.781kWh'],[]
27,['Jul 21'],['859.630kWh'],['3.198kWh/kW'],['859.630kWh'],"['415,20 CHF']",['3.215kWh'],['46.587kWh'],['27.730kWh'],[]
28,['Jun 21'],['1.108MWh'],['4.260kWh/kW'],['1.108MWh'],"['535,22 CHF']",['12.141kWh'],['48.689kWh'],['36.936kWh'],[]
29,['May 21'],['865.471kWh'],['3.220kWh/kW'],['865.471kWh'],"['418,02 CHF']",['5.934kWh'],['50.172kWh'],['27.918kWh'],[]
30,['Apr 21'],['1.034MWh'],['3.976kWh/kW'],['1.034MWh'],"['499,53 CHF']",['8.567kWh'],['47.182kWh'],['34.474kWh'],[]
31,['Mar 21'],['795.168kWh'],['2.959kWh/kW'],['795.168kWh'],"['384,07 CHF']",['4.000kWh'],['42.838kWh'],['25.650kWh'],[]
32,['Feb 21'],['489.062kWh'],['2.015kWh/kW'],['489.062kWh'],"['236,22 CHF']",['0.470kWh'],['35.441kWh'],['17.466kWh'],[]
33,['Jan 21'],['185.212kWh'],['0.791kWh/kW'],['185.212kWh'],"['89,46 CHF']",['0.002kWh'],['21.917kWh'],['6.859kWh'],['Partial Month (27 days)']
34,['Dec 20'],['187.957kWh'],['0.723kWh/kW'],['187.957kWh'],"['90,78 CHF']",['0.023kWh'],['18.763kWh'],['6.265kWh'],['Partial Month (30 days)']
35,['Nov 20'],['356.295kWh'],['1.370kWh/kW'],['356.295kWh'],"['172,09 CHF']",['0.795kWh'],['23.924kWh'],['11.876kWh'],[]
36,['Oct 20'],['479.252kWh'],['1.783kWh/kW'],['479.252kWh'],"['231,48 CHF']",['0.697kWh'],['33.285kWh'],['15.459kWh'],[]
37,['Sep 20'],['832.768kWh'],['3.202kWh/kW'],['832.768kWh'],"['402,23 CHF']",['1.218kWh'],['41.342kWh'],['27.758kWh'],[]
38,['Aug 20'],['925.406kWh'],['3.443kWh/kW'],['925.406kWh'],"['446,97 CHF']",['3.390kWh'],['48.028kWh'],['29.851kWh'],[]
39,['Jul 20'],['1.106MWh'],['4.114kWh/kW'],['1.106MWh'],"['534,09 CHF']",['8.493kWh'],['50.092kWh'],['35.670kWh'],[]
40,['Jun 20'],['883.428kWh'],['3.397kWh/kW'],['883.428kWh'],"['426,70 CHF']",['5.627kWh'],['50.238kWh'],['29.447kWh'],[]
41,['May 20'],['1.074MWh'],['3.997kWh/kW'],['1.074MWh'],"['518,84 CHF']",['5.832kWh'],['50.053kWh'],['34.651kWh'],[]
42,['Apr 20'],['1.146MWh'],['4.405kWh/kW'],['89.068kWh'],"['43,02 CHF']",['12.379kWh'],['47.344kWh'],['38.192kWh'],[]
43,['Mar 20'],['793.695kWh'],['2.953kWh/kW'],['-'],"['0,00 CHF']",['2.887kWh'],['47.102kWh'],['25.603kWh'],[]
44,['Feb 20'],['499.037kWh'],['1.985kWh/kW'],['-'],"['0,00 CHF']",['1.041kWh'],['34.743kWh'],['17.208kWh'],[]
45,['Jan 20'],['382.705kWh'],['1.424kWh/kW'],['-'],"['0,00 CHF']",['1.842kWh'],['23.952kWh'],['12.345kWh'],[]
46,['Dec 19'],['255.959kWh'],['0.952kWh/kW'],['-'],"['0,00 CHF']",['0.639kWh'],['20.133kWh'],['8.256kWh'],[]
47,['Nov 19'],['221.753kWh'],['0.853kWh/kW'],['-'],"['0,00 CHF']",['1.608kWh'],['26.525kWh'],['7.391kWh'],[]
48,['Oct 19'],['542.719kWh'],['2.019kWh/kW'],['-'],"['0,00 CHF']",['1.920kWh'],['36.644kWh'],['17.507kWh'],[]
49,['Sep 19'],['792.846kWh'],['3.048kWh/kW'],['-'],"['0,00 CHF']",['4.737kWh'],['43.559kWh'],['26.428kWh'],[]
50,['Aug 19'],['944.162kWh'],['3.513kWh/kW'],['-'],"['0,00 CHF']",['4.300kWh'],['45.424kWh'],['30.456kWh'],[]
51,['Jul 19'],['1.078MWh'],['4.011kWh/kW'],['-'],"['0,00 CHF']",['7.103kWh'],['49.323kWh'],['34.774kWh'],[]
52,['Jun 19'],['1.158MWh'],['4.452kWh/kW'],['-'],"['0,00 CHF']",['14.894kWh'],['50.310kWh'],['38.595kWh'],[]
53,['May 19'],['898.103kWh'],['3.342kWh/kW'],['-'],"['0,00 CHF']",['5.782kWh'],['53.039kWh'],['28.971kWh'],[]
54,['Apr 19'],['826.767kWh'],['3.179kWh/kW'],['-'],"['0,00 CHF']",['3.998kWh'],['49.876kWh'],['27.558kWh'],[]
55,['Mar 19'],['854.130kWh'],['3.178kWh/kW'],['-'],"['0,00 CHF']",['3.095kWh'],['45.681kWh'],['27.552kWh'],[]
56,['Feb 19'],['634.292kWh'],['2.613kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['35.576kWh'],['22.653kWh'],[]
57,['Jan 19'],['269.308kWh'],['1.002kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['24.513kWh'],['8.687kWh'],[]
58,['Dec 18'],['245.062kWh'],['0.912kWh/kW'],['-'],"['0,00 CHF']",['0.003kWh'],['22.298kWh'],['7.905kWh'],[]
59,['Nov 18'],['338.265kWh'],['1.301kWh/kW'],['-'],"['0,00 CHF']",['1.920kWh'],['24.124kWh'],['11.275kWh'],[]
60,['Oct 18'],['673.699kWh'],['2.507kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['38.579kWh'],['21.732kWh'],[]
61,['Sep 18'],['965.016kWh'],['3.710kWh/kW'],['-'],"['0,00 CHF']",['6.021kWh'],['43.117kWh'],['32.167kWh'],[]
62,['Aug 18'],['1.052MWh'],['3.916kWh/kW'],['-'],"['0,00 CHF']",['3.154kWh'],['46.663kWh'],['33.947kWh'],[]
63,['Jul 18'],['1.167MWh'],['4.342kWh/kW'],['-'],"['0,00 CHF']",['12.862kWh'],['49.402kWh'],['37.647kWh'],[]
64,['Jun 18'],['1.208MWh'],['4.644kWh/kW'],['-'],"['0,00 CHF']",['8.264kWh'],['51.573kWh'],['40.262kWh'],[]
65,['May 18'],['1.094MWh'],['4.072kWh/kW'],['-'],"['0,00 CHF']",['5.191kWh'],['51.753kWh'],['35.303kWh'],[]
66,['Apr 18'],['1.122MWh'],['4.315kWh/kW'],['-'],"['0,00 CHF']",['7.315kWh'],['48.413kWh'],['37.406kWh'],[]
67,['Mar 18'],['634.639kWh'],['2.361kWh/kW'],['-'],"['0,00 CHF']",['5.537kWh'],['46.162kWh'],['20.472kWh'],[]
68,['Feb 18'],['236.929kWh'],['0.976kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['37.063kWh'],['8.461kWh'],[]
69,['Jan 18'],['340.264kWh'],['1.266kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.683kWh'],['10.976kWh'],[]
70,['Dec 17'],['205.353kWh'],['0.764kWh/kW'],['-'],"['0,00 CHF']",['0.017kWh'],['20.160kWh'],['6.624kWh'],[]
71,['Nov 17'],['292.314kWh'],['1.124kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['27.548kWh'],['9.743kWh'],[]
72,['Oct 17'],['704.343kWh'],['2.621kWh/kW'],['-'],"['0,00 CHF']",['3.245kWh'],['36.265kWh'],['22.720kWh'],[]
73,['Sep 17'],['719.485kWh'],['2.766kWh/kW'],['-'],"['0,00 CHF']",['7.102kWh'],['42.463kWh'],['23.982kWh'],[]
74,['Aug 17'],['1.001MWh'],['3.723kWh/kW'],['-'],"['0,00 CHF']",['2.732kWh'],['48.260kWh'],['32.275kWh'],[]
75,['Jul 17'],['999.517kWh'],['3.719kWh/kW'],['-'],"['0,00 CHF']",['10.844kWh'],['50.069kWh'],['32.242kWh'],[]
76,['Jun 17'],['1.103MWh'],['4.240kWh/kW'],['-'],"['0,00 CHF']",['7.801kWh'],['51.477kWh'],['36.764kWh'],[]
77,['May 17'],['1.155MWh'],['4.299kWh/kW'],['-'],"['0,00 CHF']",['6.647kWh'],['52.791kWh'],['37.272kWh'],[]
78,['Apr 17'],['860.962kWh'],['3.310kWh/kW'],['-'],"['0,00 CHF']",['1.003kWh'],['53.054kWh'],['28.698kWh'],[]
79,['Mar 17'],['378.380kWh'],['1.408kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['44.661kWh'],['12.205kWh'],[]
80,['Feb 17'],['438.133kWh'],['1.805kWh/kW'],['-'],"['0,00 CHF']",['1.709kWh'],['35.740kWh'],['15.647kWh'],[]
81,['Jan 17'],['75.938kWh'],['0.283kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['13.756kWh'],['2.449kWh'],[]
82,['Dec 16'],['343.281kWh'],['1.277kWh/kW'],['-'],"['0,00 CHF']",['1.785kWh'],['20.837kWh'],['11.073kWh'],[]
83,['Nov 16'],['291.534kWh'],['1.121kWh/kW'],['-'],"['0,00 CHF']",['0.894kWh'],['26.760kWh'],['9.717kWh'],[]
84,['Oct 16'],['544.219kWh'],['2.025kWh/kW'],['-'],"['0,00 CHF']",['2.756kWh'],['37.626kWh'],['17.555kWh'],[]
85,['Sep 16'],['938.302kWh'],['3.607kWh/kW'],['-'],"['0,00 CHF']",['4.050kWh'],['44.140kWh'],['31.276kWh'],[]
86,['Aug 16'],['1.054MWh'],['3.922kWh/kW'],['-'],"['0,00 CHF']",['5.774kWh'],['48.541kWh'],['34.000kWh'],[]
87,['Jul 16'],['1.085MWh'],['4.036kWh/kW'],['-'],"['0,00 CHF']",['8.500kWh'],['50.213kWh'],['34.987kWh'],[]
88,['Jun 16'],['908.493kWh'],['3.493kWh/kW'],['-'],"['0,00 CHF']",['10.682kWh'],['53.143kWh'],['30.283kWh'],[]
89,['May 16'],['962.405kWh'],['3.581kWh/kW'],['-'],"['0,00 CHF']",['6.241kWh'],['54.061kWh'],['31.045kWh'],[]
90,['Apr 16'],['862.676kWh'],['3.317kWh/kW'],['-'],"['0,00 CHF']",['5.032kWh'],['53.353kWh'],['28.755kWh'],[]
91,['Mar 16'],['779.795kWh'],['2.901kWh/kW'],['-'],"['0,00 CHF']",['1.580kWh'],['45.285kWh'],['25.154kWh'],[]
92,['Feb 16'],['405.052kWh'],['1.611kWh/kW'],['-'],"['0,00 CHF']",['0.635kWh'],['33.020kWh'],['13.967kWh'],[]
93,['Jan 16'],['197.757kWh'],['0.736kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['25.180kWh'],['6.379kWh'],[]
94,['Dec 15'],['388.383kWh'],['1.445kWh/kW'],['-'],"['0,00 CHF']",['0.632kWh'],['22.966kWh'],['12.528kWh'],[]
95,['Nov 15'],['386.998kWh'],['1.488kWh/kW'],['-'],"['0,00 CHF']",['0.157kWh'],['27.688kWh'],['12.899kWh'],[]
96,['Oct 15'],['533.019kWh'],['1.983kWh/kW'],['-'],"['0,00 CHF']",['2.191kWh'],['41.482kWh'],['17.194kWh'],[]
97,['Sep 15'],['772.243kWh'],['2.969kWh/kW'],['-'],"['0,00 CHF']",['6.175kWh'],['47.031kWh'],['25.741kWh'],[]
98,['Aug 15'],['1.175MWh'],['4.372kWh/kW'],['-'],"['0,00 CHF']",['6.427kWh'],['49.684kWh'],['37.908kWh'],[]
99,['Jul 15'],['1.215MWh'],['4.522kWh/kW'],['-'],"['0,00 CHF']",['16.656kWh'],['52.604kWh'],['39.202kWh'],[]
100,['Jun 15'],['1.135MWh'],['4.365kWh/kW'],['-'],"['0,00 CHF']",['11.902kWh'],['53.391kWh'],['37.846kWh'],[]
101,['May 15'],['911.009kWh'],['3.390kWh/kW'],['-'],"['0,00 CHF']",['5.524kWh'],['53.240kWh'],['29.387kWh'],[]
102,['Apr 15'],['1.127MWh'],['4.331kWh/kW'],['-'],"['0,00 CHF']",['5.091kWh'],['52.599kWh'],['37.551kWh'],[]
103,['Mar 15'],['837.550kWh'],['3.116kWh/kW'],['-'],"['0,00 CHF']",['5.022kWh'],['48.399kWh'],['27.017kWh'],[]
104,['Feb 15'],['350.438kWh'],['1.444kWh/kW'],['-'],"['0,00 CHF']",['0.290kWh'],['39.906kWh'],['12.515kWh'],[]
105,['Jan 15'],['198.682kWh'],['0.739kWh/kW'],['0.000kWh'],"['0,00 CHF']",['0.001kWh'],['23.803kWh'],['6.409kWh'],[]
106,['Dec 14'],['160.593kWh'],['0.597kWh/kW'],['-'],"['0,00 CHF']",['0.001kWh'],['22.548kWh'],['5.180kWh'],[]
107,['Nov 14'],['340.807kWh'],['1.310kWh/kW'],['-'],"['0,00 CHF']",['1.219kWh'],['29.765kWh'],['11.360kWh'],[]
108,['Oct 14'],['678.191kWh'],['2.523kWh/kW'],['-'],"['0,00 CHF']",['2.505kWh'],['39.026kWh'],['21.877kWh'],[]
109,['Sep 14'],['846.290kWh'],['3.254kWh/kW'],['-'],"['0,00 CHF']",['6.988kWh'],['43.896kWh'],['28.209kWh'],[]
110,['Aug 14'],['840.443kWh'],['3.127kWh/kW'],['-'],"['0,00 CHF']",['5.148kWh'],['51.392kWh'],['27.111kWh'],[]
111,['Jul 14'],['924.311kWh'],['3.439kWh/kW'],['-'],"['0,00 CHF']",['6.678kWh'],['54.009kWh'],['29.816kWh'],[]
