,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023-40'],['84.589kWh'],['3.252kWh/kW'],['84.589kWh'],"['40,86 CHF']",['23.453kWh'],['31.216kWh'],['28.196kWh'],['02/10/23 - 04/10/23']
1,['2023-39'],['224.757kWh'],['3.703kWh/kW'],['224.757kWh'],"['108,56 CHF']",['26.345kWh'],['36.786kWh'],['32.108kWh'],['25/09/23 - 01/10/23']
2,['2023-38'],['141.754kWh'],['2.336kWh/kW'],['141.754kWh'],"['68,47 CHF']",['2.390kWh'],['35.527kWh'],['20.250kWh'],['18/09/23 - 24/09/23']
3,['2023-37'],['183.410kWh'],['3.022kWh/kW'],['183.410kWh'],"['88,59 CHF']",['7.844kWh'],['35.954kWh'],['26.201kWh'],['11/09/23 - 17/09/23']
4,['2023-36'],['255.109kWh'],['4.204kWh/kW'],['255.109kWh'],"['123,22 CHF']",['34.722kWh'],['38.258kWh'],['36.444kWh'],['04/09/23 - 10/09/23']
5,['2023-35'],['156.434kWh'],['2.578kWh/kW'],['156.434kWh'],"['75,56 CHF']",['4.455kWh'],['37.765kWh'],['22.347kWh'],['28/08/23 - 03/09/23']
6,['2023-34'],['187.306kWh'],['3.086kWh/kW'],['187.306kWh'],"['90,47 CHF']",['5.186kWh'],['37.753kWh'],['26.758kWh'],['21/08/23 - 27/08/23']
7,['2023-33'],['230.886kWh'],['3.805kWh/kW'],['230.886kWh'],"['111,52 CHF']",['19.929kWh'],['39.245kWh'],['32.983kWh'],['14/08/23 - 20/08/23']
8,['2023-32'],['207.820kWh'],['3.424kWh/kW'],['207.820kWh'],"['100,38 CHF']",['9.066kWh'],['40.468kWh'],['29.688kWh'],['07/08/23 - 13/08/23']
9,['2023-31'],['153.081kWh'],['2.522kWh/kW'],['153.081kWh'],"['73,94 CHF']",['12.887kWh'],['35.719kWh'],['21.868kWh'],['31/07/23 - 06/08/23']
10,['2023-30'],['139.552kWh'],['2.299kWh/kW'],['139.552kWh'],"['67,40 CHF']",['13.706kWh'],['27.092kWh'],['19.936kWh'],['24/07/23 - 30/07/23']
11,['2023-29'],['213.215kWh'],['3.513kWh/kW'],['213.215kWh'],"['102,98 CHF']",['17.259kWh'],['42.132kWh'],['30.459kWh'],['17/07/23 - 23/07/23']
12,['2023-28'],['223.799kWh'],['3.688kWh/kW'],['223.799kWh'],"['108,09 CHF']",['16.651kWh'],['42.972kWh'],['31.971kWh'],['10/07/23 - 16/07/23']
13,['2023-27'],['234.537kWh'],['3.865kWh/kW'],['234.537kWh'],"['113,28 CHF']",['19.546kWh'],['42.959kWh'],['33.505kWh'],['03/07/23 - 09/07/23']
14,['2023-26'],['184.712kWh'],['3.044kWh/kW'],['184.712kWh'],"['89,22 CHF']",['10.990kWh'],['41.301kWh'],['26.387kWh'],['26/06/23 - 02/07/23']
15,['2023-25'],['232.925kWh'],['3.838kWh/kW'],['232.925kWh'],"['112,50 CHF']",['18.252kWh'],['43.811kWh'],['33.275kWh'],['19/06/23 - 25/06/23']
16,['2023-24'],['286.301kWh'],['4.717kWh/kW'],['286.301kWh'],"['138,28 CHF']",['29.022kWh'],['44.833kWh'],['40.900kWh'],['12/06/23 - 18/06/23']
17,['2023-23'],['300.387kWh'],['4.949kWh/kW'],['300.387kWh'],"['145,09 CHF']",['40.898kWh'],['43.951kWh'],['42.912kWh'],['05/06/23 - 11/06/23']
18,['2023-22'],['300.979kWh'],['4.959kWh/kW'],['300.979kWh'],"['145,37 CHF']",['36.611kWh'],['45.188kWh'],['42.997kWh'],['29/05/23 - 04/06/23']
19,['2023-21'],['243.216kWh'],['4.007kWh/kW'],['243.216kWh'],"['117,47 CHF']",['10.421kWh'],['43.864kWh'],['34.745kWh'],['22/05/23 - 28/05/23']
20,['2023-20'],['166.032kWh'],['2.736kWh/kW'],['166.032kWh'],"['80,19 CHF']",['11.084kWh'],['33.852kWh'],['23.718kWh'],['15/05/23 - 21/05/23']
21,['2023-19'],['138.876kWh'],['2.288kWh/kW'],['138.876kWh'],"['67,08 CHF']",['10.189kWh'],['32.170kWh'],['19.839kWh'],['08/05/23 - 14/05/23']
22,['2023-18'],['215.230kWh'],['3.546kWh/kW'],['215.230kWh'],"['103,96 CHF']",['11.288kWh'],['44.608kWh'],['30.747kWh'],['01/05/23 - 07/05/23']
23,['2023-17'],['171.415kWh'],['2.824kWh/kW'],['171.415kWh'],"['82,79 CHF']",['3.999kWh'],['35.069kWh'],['24.487kWh'],['24/04/23 - 30/04/23']
24,['2023-16'],['200.621kWh'],['3.306kWh/kW'],['200.621kWh'],"['96,90 CHF']",['9.573kWh'],['44.633kWh'],['28.660kWh'],['17/04/23 - 23/04/23']
25,['2023-15'],['143.209kWh'],['2.360kWh/kW'],['143.209kWh'],"['69,17 CHF']",['9.282kWh'],['41.279kWh'],['20.458kWh'],['10/04/23 - 16/04/23']
26,['2023-14'],['209.863kWh'],['3.458kWh/kW'],['209.863kWh'],"['101,36 CHF']",['8.949kWh'],['43.024kWh'],['29.980kWh'],['03/04/23 - 09/04/23']
27,['2023-13'],['119.842kWh'],['1.975kWh/kW'],['119.842kWh'],"['57,88 CHF']",['5.789kWh'],['39.336kWh'],['17.120kWh'],['27/03/23 - 02/04/23']
28,['2023-12'],['138.267kWh'],['2.278kWh/kW'],['138.267kWh'],"['66,78 CHF']",['5.274kWh'],['38.924kWh'],['19.752kWh'],['20/03/23 - 26/03/23']
29,['2023-11'],['199.305kWh'],['3.284kWh/kW'],['199.305kWh'],"['96,26 CHF']",['10.941kWh'],['39.170kWh'],['28.472kWh'],['13/03/23 - 19/03/23']
30,['2023-10'],['96.242kWh'],['1.586kWh/kW'],['96.242kWh'],"['46,48 CHF']",['6.264kWh'],['25.959kWh'],['13.748kWh'],['06/03/23 - 12/03/23']
31,['2023-09'],['105.984kWh'],['1.746kWh/kW'],['105.984kWh'],"['51,19 CHF']",['8.100kWh'],['24.758kWh'],['15.140kWh'],['27/02/23 - 05/03/23']
32,['2023-08'],['148.672kWh'],['2.450kWh/kW'],['148.672kWh'],"['71,81 CHF']",['1.882kWh'],['30.229kWh'],['21.238kWh'],['20/02/23 - 26/02/23']
33,['2023-07'],['101.735kWh'],['1.676kWh/kW'],['101.735kWh'],"['49,14 CHF']",['6.133kWh'],['29.124kWh'],['14.533kWh'],['13/02/23 - 19/02/23']
34,['2023-06'],['162.158kWh'],['2.672kWh/kW'],['162.158kWh'],"['78,32 CHF']",['7.465kWh'],['28.702kWh'],['23.165kWh'],['06/02/23 - 12/02/23']
35,['2023-05'],['72.820kWh'],['1.200kWh/kW'],['72.820kWh'],"['35,17 CHF']",['2.288kWh'],['20.089kWh'],['10.402kWh'],['30/01/23 - 05/02/23']
36,['2023-04'],['57.137kWh'],['0.941kWh/kW'],['57.137kWh'],"['27,60 CHF']",['0.886kWh'],['22.825kWh'],['8.162kWh'],['23/01/23 - 29/01/23']
37,['2023-03'],['43.183kWh'],['0.711kWh/kW'],['43.183kWh'],"['20,86 CHF']",['3.591kWh'],['9.592kWh'],['6.169kWh'],['16/01/23 - 22/01/23']
38,['2023-02'],['40.067kWh'],['0.660kWh/kW'],['40.067kWh'],"['19,35 CHF']",['1.153kWh'],['13.247kWh'],['5.723kWh'],['09/01/23 - 15/01/23']
39,['2023-01'],['48.866kWh'],['0.805kWh/kW'],['48.866kWh'],"['23,60 CHF']",['1.679kWh'],['18.222kWh'],['6.980kWh'],['02/01/23 - 08/01/23']
40,['2022-52'],['72.034kWh'],['1.187kWh/kW'],['72.034kWh'],"['34,79 CHF']",['4.135kWh'],['16.992kWh'],['10.290kWh'],['26/12/22 - 01/01/23']
41,['2022-51'],['33.491kWh'],['0.552kWh/kW'],['33.491kWh'],"['16,18 CHF']",['0.762kWh'],['15.954kWh'],['4.784kWh'],['19/12/22 - 25/12/22']
42,['2022-50'],['29.647kWh'],['0.488kWh/kW'],['29.647kWh'],"['14,32 CHF']",['0.067kWh'],['19.553kWh'],['4.235kWh'],['12/12/22 - 18/12/22']
43,['2022-49'],['55.372kWh'],['0.912kWh/kW'],['55.372kWh'],"['26,74 CHF']",['1.092kWh'],['19.898kWh'],['7.910kWh'],['05/12/22 - 11/12/22']
44,['2022-48'],['12.487kWh'],['0.206kWh/kW'],['12.487kWh'],"['6,03 CHF']",['1.115kWh'],['3.957kWh'],['1.783kWh'],['28/11/22 - 04/12/22']
45,['2022-47'],['88.439kWh'],['1.457kWh/kW'],['88.439kWh'],"['42,72 CHF']",['2.885kWh'],['22.510kWh'],['12.634kWh'],['21/11/22 - 27/11/22']
46,['2022-46'],['75.095kWh'],['1.237kWh/kW'],['75.095kWh'],"['36,27 CHF']",['3.939kWh'],['19.288kWh'],['10.727kWh'],['14/11/22 - 20/11/22']
47,['2022-45'],['46.083kWh'],['1.063kWh/kW'],['46.083kWh'],"['22,26 CHF']",['1.771kWh'],['21.124kWh'],['9.216kWh'],['09/11/22 - 13/11/22']
48,['2022-44'],['30.040kWh'],['0.866kWh/kW'],['30.040kWh'],"['14,51 CHF']",['4.964kWh'],['9.868kWh'],['7.510kWh'],['31/10/22 - 03/11/22']
49,['2022-43'],['116.040kWh'],['1.912kWh/kW'],['116.040kWh'],"['56,05 CHF']",['1.565kWh'],['26.459kWh'],['16.577kWh'],['24/10/22 - 30/10/22']
50,['2022-42'],['136.706kWh'],['2.253kWh/kW'],['136.706kWh'],"['66,03 CHF']",['2.577kWh'],['29.944kWh'],['19.529kWh'],['17/10/22 - 23/10/22']
51,['2022-41'],['113.853kWh'],['1.876kWh/kW'],['113.853kWh'],"['54,99 CHF']",['5.816kWh'],['27.209kWh'],['16.264kWh'],['10/10/22 - 16/10/22']
52,['2022-40'],['142.968kWh'],['2.356kWh/kW'],['142.968kWh'],"['69,05 CHF']",['3.282kWh'],['35.209kWh'],['20.424kWh'],['03/10/22 - 09/10/22']
53,['2022-39'],['61.691kWh'],['1.017kWh/kW'],['61.691kWh'],"['29,80 CHF']",['2.670kWh'],['16.279kWh'],['8.813kWh'],['26/09/22 - 02/10/22']
54,['2022-38'],['176.961kWh'],['2.916kWh/kW'],['176.961kWh'],"['85,47 CHF']",['7.099kWh'],['39.323kWh'],['25.280kWh'],['19/09/22 - 25/09/22']
55,['2022-37'],['148.280kWh'],['2.443kWh/kW'],['148.280kWh'],"['71,62 CHF']",['10.714kWh'],['38.590kWh'],['21.182kWh'],['12/09/22 - 18/09/22']
56,['2022-36'],['145.752kWh'],['2.402kWh/kW'],['145.752kWh'],"['70,40 CHF']",['14.303kWh'],['27.308kWh'],['20.821kWh'],['05/09/22 - 11/09/22']
57,['2022-35'],['201.149kWh'],['3.314kWh/kW'],['201.149kWh'],"['97,16 CHF']",['8.935kWh'],['40.657kWh'],['28.735kWh'],['29/08/22 - 04/09/22']
58,['2022-34'],['255.306kWh'],['4.207kWh/kW'],['255.306kWh'],"['123,31 CHF']",['17.120kWh'],['41.924kWh'],['36.472kWh'],['22/08/22 - 28/08/22']
59,['2022-33'],['180.890kWh'],['2.981kWh/kW'],['180.890kWh'],"['87,37 CHF']",['0.948kWh'],['41.909kWh'],['25.841kWh'],['15/08/22 - 21/08/22']
60,['2022-32'],['293.169kWh'],['4.831kWh/kW'],['293.169kWh'],"['141,60 CHF']",['38.690kWh'],['43.945kWh'],['41.881kWh'],['08/08/22 - 14/08/22']
61,['2022-31'],['221.230kWh'],['3.645kWh/kW'],['221.230kWh'],"['106,85 CHF']",['10.455kWh'],['43.915kWh'],['31.604kWh'],['01/08/22 - 07/08/22']
62,['2022-30'],['221.064kWh'],['3.642kWh/kW'],['221.064kWh'],"['106,77 CHF']",['17.086kWh'],['43.753kWh'],['31.580kWh'],['25/07/22 - 31/07/22']
63,['2022-29'],['248.784kWh'],['4.099kWh/kW'],['248.784kWh'],"['120,16 CHF']",['19.537kWh'],['43.795kWh'],['35.540kWh'],['18/07/22 - 24/07/22']
64,['2022-28'],['302.347kWh'],['4.982kWh/kW'],['302.347kWh'],"['146,03 CHF']",['39.502kWh'],['45.262kWh'],['43.192kWh'],['11/07/22 - 17/07/22']
65,['2022-27'],['234.530kWh'],['3.864kWh/kW'],['234.530kWh'],"['113,28 CHF']",['19.964kWh'],['46.652kWh'],['33.504kWh'],['04/07/22 - 10/07/22']
66,['2022-26'],['206.852kWh'],['3.409kWh/kW'],['206.852kWh'],"['99,91 CHF']",['10.463kWh'],['46.112kWh'],['29.550kWh'],['27/06/22 - 03/07/22']
67,['2022-25'],['243.914kWh'],['4.019kWh/kW'],['243.914kWh'],"['117,81 CHF']",['11.970kWh'],['46.096kWh'],['34.844kWh'],['20/06/22 - 26/06/22']
68,['2022-24'],['253.523kWh'],['4.177kWh/kW'],['253.523kWh'],"['122,45 CHF']",['13.992kWh'],['46.282kWh'],['36.217kWh'],['13/06/22 - 19/06/22']
