,Month,Generated,Efficiency,Exported,FIT Credit,Low,High,Average,Comments
0,['2023'],['6.781MWh'],['2.824kWh/kW'],['6.781MWh'],"[""3'275,36 CHF""]",['0.886kWh'],['45.188kWh'],['24.481kWh'],['Partial Year (277 days)']
1,['2022'],['8.494MWh'],['2.721kWh/kW'],['8.494MWh'],"[""4'102,64 CHF""]",['0.067kWh'],['47.292kWh'],['23.594kWh'],['Partial Year (360 days)']
2,['2021'],['8.059MWh'],['2.604kWh/kW'],['8.059MWh'],"[""3'892,34 CHF""]",['0.002kWh'],['50.172kWh'],['22.573kWh'],['Partial Year (357 days)']
3,['2020'],['8.666MWh'],['2.739kWh/kW'],['5.934MWh'],"[""2'866,20 CHF""]",['0.023kWh'],['50.238kWh'],['23.743kWh'],[]
4,['2019'],['8.476MWh'],['2.678kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['53.039kWh'],['23.221kWh'],[]
5,['2018'],['9.078MWh'],['2.869kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['51.753kWh'],['24.870kWh'],[]
6,['2017'],['7.933MWh'],['2.507kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['53.054kWh'],['21.735kWh'],[]
7,['2016'],['8.372MWh'],['2.638kWh/kW'],['-'],"['0,00 CHF']",['0.000kWh'],['54.061kWh'],['22.874kWh'],[]
8,['2015'],['9.031MWh'],['2.854kWh/kW'],['0.000kWh'],"['0,00 CHF']",['0.001kWh'],['53.391kWh'],['24.741kWh'],[]
9,['2014'],['8.883MWh'],['2.807kWh/kW'],['-'],"['0,00 CHF']",['0.001kWh'],['54.146kWh'],['24.336kWh'],[]
10,['2013'],['4.684MWh'],['2.756kWh/kW'],['229.826kWh'],"['137,90 CHF']",['0.803kWh'],['52.647kWh'],['23.897kWh'],['Partial Year (196 days)']
