,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['113.253kWh'],['2.923kWh/kW'],['-'],['28.693kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 14:05 UTC+2:00']
1,['03/10/23'],['157.578kWh'],['4.067kWh/kW'],['-'],['31.889kW'],['12:20PM'],['Partly Cloudy'],,['Updated 19:18 UTC+2:00']
2,['02/10/23'],['182.466kWh'],['4.709kWh/kW'],['-'],['27.339kW'],['12:50PM'],['Partly Cloudy'],,['Updated 19:28 UTC+2:00']
3,['01/10/23'],['171.066kWh'],['4.415kWh/kW'],['-'],['27.492kW'],['1:05PM'],['Partly Cloudy'],,['Updated 19:24 UTC+2:00']
4,['30/09/23'],['134.979kWh'],['3.483kWh/kW'],['-'],['27.222kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 18:21 UTC+2:00']
5,['29/09/23'],['176.295kWh'],['4.550kWh/kW'],['-'],['27.705kW'],['1:35PM'],['Partly Cloudy'],,['Updated 19:31 UTC+2:00']
6,['28/09/23'],['183.966kWh'],['4.748kWh/kW'],['-'],['28.009kW'],['1:05PM'],['Partly Cloudy'],,['Updated 19:57 UTC+2:00']
7,['27/09/23'],['192.150kWh'],['4.959kWh/kW'],['-'],['29.870kW'],['12:50PM'],['Partly Cloudy'],,['Updated 19:32 UTC+2:00']
8,['26/09/23'],['201.564kWh'],['5.202kWh/kW'],['-'],['28.989kW'],['1:05PM'],['Fine'],,['Updated 22:28 UTC+2:00']
9,['25/09/23'],['206.445kWh'],['5.328kWh/kW'],['-'],['29.429kW'],['12:50PM'],['Fine'],,['Updated 19:39 UTC+2:00']
10,['24/09/23'],['185.964kWh'],['4.799kWh/kW'],['-'],['30.953kW'],['1:20PM'],['Partly Cloudy'],,['Updated 19:36 UTC+2:00']
11,['23/09/23'],['86.727kWh'],['2.238kWh/kW'],['-'],['30.973kW'],['2:50PM'],['Cloudy'],,['Updated 19:32 UTC+2:00']
12,['22/09/23'],['81.111kWh'],['2.093kWh/kW'],['-'],['25.677kW'],['1:35PM'],['Cloudy'],,['Updated 19:28 UTC+2:00']
13,['21/09/23'],['127.923kWh'],['3.301kWh/kW'],['-'],['28.919kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 19:24 UTC+2:00']
14,['20/09/23'],['204.924kWh'],['5.288kWh/kW'],['-'],['28.814kW'],['1:35PM'],['Fine'],,['Updated 19:36 UTC+2:00']
15,['19/09/23'],['149.208kWh'],['3.851kWh/kW'],['-'],['34.171kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 19:47 UTC+2:00']
16,['18/09/23'],['54.405kWh'],['1.404kWh/kW'],['-'],['19.333kW'],['4:05PM'],['Cloudy'],,['Updated 19:43 UTC+2:00']
17,['17/09/23'],['176.601kWh'],['4.557kWh/kW'],['-'],['27.297kW'],['1:20PM'],['Partly Cloudy'],,['Updated 19:55 UTC+2:00']
18,['16/09/23'],['163.095kWh'],['4.209kWh/kW'],['-'],['30.463kW'],['12:35PM'],['Partly Cloudy'],,['Updated 19:36 UTC+2:00']
19,['15/09/23'],['152.394kWh'],['3.933kWh/kW'],['-'],['30.007kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 20:01 UTC+2:00']
20,['14/09/23'],['102.618kWh'],['2.648kWh/kW'],['-'],['24.542kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 19:41 UTC+2:00']
21,['13/09/23'],['67.686kWh'],['1.747kWh/kW'],['-'],['16.964kW'],['11:35AM'],['Cloudy'],,['Updated 19:07 UTC+2:00']
22,['12/09/23'],['149.700kWh'],['3.863kWh/kW'],['-'],['27.893kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 20:02 UTC+2:00']
23,['11/09/23'],['200.433kWh'],['5.172kWh/kW'],['-'],['27.786kW'],['12:50PM'],['Fine'],,['Updated 20:04 UTC+2:00']
24,['10/09/23'],['202.347kWh'],['5.222kWh/kW'],['-'],['27.912kW'],['1:05PM'],['Fine'],,['Updated 20:13 UTC+2:00']
25,['09/09/23'],['188.823kWh'],['4.873kWh/kW'],['-'],['28.052kW'],['1:35PM'],['Partly Cloudy'],,['Updated 20:09 UTC+2:00']
26,['08/09/23'],['203.721kWh'],['5.257kWh/kW'],['-'],['28.010kW'],['1:20PM'],['Fine'],,['Updated 20:05 UTC+2:00']
27,['07/09/23'],['207.330kWh'],['5.350kWh/kW'],['-'],['28.137kW'],['1:05PM'],['Fine'],,['Updated 20:15 UTC+2:00']
28,['06/09/23'],['214.566kWh'],['5.537kWh/kW'],['-'],['29.000kW'],['1:05PM'],['Fine'],,['Updated 20:11 UTC+2:00']
29,['05/09/23'],['218.757kWh'],['5.645kWh/kW'],['-'],['29.353kW'],['1:05PM'],['Fine'],,['Updated 20:07 UTC+2:00']
30,['04/09/23'],['219.813kWh'],['5.673kWh/kW'],['-'],['29.876kW'],['1:05PM'],['Fine'],,['Updated 20:04 UTC+2:00']
31,['03/09/23'],['172.272kWh'],['4.446kWh/kW'],['-'],['26.896kW'],['1:20PM'],['Partly Cloudy'],,['Updated 20:14 UTC+2:00']
32,['02/09/23'],['212.811kWh'],['5.492kWh/kW'],['-'],['28.269kW'],['1:05PM'],['Fine'],,['Updated 20:10 UTC+2:00']
33,['01/09/23'],['200.925kWh'],['5.185kWh/kW'],['-'],['30.385kW'],['1:05PM'],['Fine'],,['Updated 20:06 UTC+2:00']
34,['31/08/23'],['77.115kWh'],['1.990kWh/kW'],['-'],['16.749kW'],['1:35PM'],['Cloudy'],,['Updated 20:18 UTC+2:00']
35,['30/08/23'],['151.770kWh'],['3.917kWh/kW'],['-'],['28.072kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 20:14 UTC+2:00']
36,['29/08/23'],['40.680kWh'],['1.050kWh/kW'],['-'],['8.718kW'],['10:50AM'],['Cloudy'],,['Updated 20:10 UTC+2:00']
37,['28/08/23'],['35.067kWh'],['0.905kWh/kW'],['-'],['6.944kW'],['1:20PM'],['Showers'],,['Updated 20:04 UTC+2:00']
38,['27/08/23'],['43.773kWh'],['1.130kWh/kW'],['-'],['9.097kW'],['11:35AM'],['Cloudy'],,['Updated 19:58 UTC+2:00']
39,['26/08/23'],['45.921kWh'],['1.185kWh/kW'],['-'],['12.065kW'],['5:35PM'],['Cloudy'],,['Updated 20:08 UTC+2:00']
40,['25/08/23'],['84.927kWh'],['2.192kWh/kW'],['-'],['21.324kW'],['4:35PM'],['Cloudy'],,['Updated 20:03 UTC+2:00']
41,['24/08/23'],['194.880kWh'],['5.029kWh/kW'],['-'],['27.294kW'],['1:05PM'],['Fine'],,['Updated 19:43 UTC+2:00']
42,['23/08/23'],['207.336kWh'],['5.351kWh/kW'],['-'],['27.667kW'],['1:50PM'],['Fine'],,['Updated 20:39 UTC+2:00']
43,['22/08/23'],['210.258kWh'],['5.426kWh/kW'],['-'],['27.405kW'],['1:35PM'],['Fine'],,['Updated 20:34 UTC+2:00']
44,['21/08/23'],['209.577kWh'],['5.408kWh/kW'],['-'],['27.630kW'],['1:05PM'],['Fine'],,['Updated 20:44 UTC+2:00']
45,['20/08/23'],['204.048kWh'],['5.266kWh/kW'],['-'],['27.492kW'],['1:20PM'],['Fine'],,['Updated 20:42 UTC+2:00']
46,['19/08/23'],['208.104kWh'],['5.370kWh/kW'],['-'],['29.178kW'],['1:05PM'],['Fine'],,['Updated 20:38 UTC+2:00']
47,['18/08/23'],['213.336kWh'],['5.505kWh/kW'],['-'],['28.183kW'],['1:20PM'],['Fine'],,['Updated 20:35 UTC+2:00']
48,['17/08/23'],['144.114kWh'],['3.719kWh/kW'],['-'],['28.928kW'],['12:35PM'],['Mostly Cloudy'],,['Updated 21:03 UTC+2:00']
49,['16/08/23'],['216.591kWh'],['5.589kWh/kW'],['-'],['28.370kW'],['1:20PM'],['Fine'],,['Updated 21:16 UTC+2:00']
50,['15/08/23'],['165.033kWh'],['4.259kWh/kW'],['-'],['30.379kW'],['12:50PM'],['Partly Cloudy'],,['Updated 20:52 UTC+2:00']
51,['14/08/23'],['183.147kWh'],['4.726kWh/kW'],['-'],['29.345kW'],['1:05PM'],['Partly Cloudy'],,['Updated 20:59 UTC+2:00']
52,['13/08/23'],['170.802kWh'],['4.408kWh/kW'],['-'],['28.473kW'],['1:35PM'],['Partly Cloudy'],,['Updated 20:56 UTC+2:00']
53,['12/08/23'],['137.706kWh'],['3.554kWh/kW'],['-'],['28.138kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 20:53 UTC+2:00']
54,['11/08/23'],['224.649kWh'],['5.797kWh/kW'],['-'],['28.796kW'],['1:35PM'],['Fine'],,['Updated 20:51 UTC+2:00']
55,['10/08/23'],['228.468kWh'],['5.896kWh/kW'],['-'],['29.211kW'],['1:20PM'],['Fine'],,['Updated 20:49 UTC+2:00']
56,['09/08/23'],['86.565kWh'],['2.234kWh/kW'],['-'],['16.511kW'],['1:20PM'],['Cloudy'],,['Updated 21:00 UTC+2:00']
57,['08/08/23'],['197.700kWh'],['5.102kWh/kW'],['-'],['30.138kW'],['11:35AM'],['Fine'],,['Updated 20:54 UTC+2:00']
58,['07/08/23'],['152.592kWh'],['3.938kWh/kW'],['-'],['33.952kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 20:51 UTC+2:00']
59,['06/08/23'],['102.843kWh'],['2.654kWh/kW'],['-'],['23.217kW'],['2:50PM'],['Mostly Cloudy'],,['Updated 21:03 UTC+2:00']
60,['05/08/23'],['114.810kWh'],['2.963kWh/kW'],['-'],['28.520kW'],['11:05AM'],['Mostly Cloudy'],,['Updated 21:00 UTC+2:00']
61,['04/08/23'],['155.295kWh'],['4.008kWh/kW'],['-'],['31.362kW'],['11:50AM'],['Partly Cloudy'],,['Updated 21:12 UTC+2:00']
62,['03/08/23'],['244.749kWh'],['6.316kWh/kW'],['-'],['31.968kW'],['1:50PM'],['Fine'],,['Updated 21:07 UTC+2:00']
63,['02/08/23'],['162.318kWh'],['4.189kWh/kW'],['-'],['33.027kW'],['1:50PM'],['Partly Cloudy'],,['Updated 20:47 UTC+2:00']
64,['01/08/23'],['95.637kWh'],['2.468kWh/kW'],['-'],['33.513kW'],['2:35PM'],['Cloudy'],,['Updated 21:12 UTC+2:00']
65,['31/07/23'],['194.733kWh'],['5.025kWh/kW'],['-'],['31.128kW'],['12:20PM'],['Fine'],,['Updated 21:10 UTC+2:00']
66,['30/07/23'],['204.510kWh'],['5.278kWh/kW'],['-'],['33.320kW'],['12:50PM'],['Fine'],,['Updated 21:22 UTC+2:00']
67,['29/07/23'],['106.155kWh'],['2.739kWh/kW'],['-'],['29.431kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 21:18 UTC+2:00']
68,['28/07/23'],['139.689kWh'],['3.605kWh/kW'],['-'],['32.256kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 21:00 UTC+2:00']
69,['27/07/23'],['142.326kWh'],['3.673kWh/kW'],['-'],['30.758kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 21:11 UTC+2:00']
70,['26/07/23'],['157.296kWh'],['4.059kWh/kW'],['-'],['35.011kW'],['12:50PM'],['Partly Cloudy'],,['Updated 21:53 UTC+2:00']
71,['25/07/23'],['142.794kWh'],['3.685kWh/kW'],['-'],['27.452kW'],['11:05AM'],['Mostly Cloudy'],,['Updated 13:47 UTC+2:00']
72,['24/07/23'],['101.622kWh'],['2.623kWh/kW'],['-'],['30.394kW'],['2:05PM'],['Mostly Cloudy'],,['Updated 01:40 UTC+2:00']
73,['23/07/23'],['194.817kWh'],['5.028kWh/kW'],['-'],['33.105kW'],['2:05PM'],['Fine'],,['Updated 21:27 UTC+2:00']
74,['22/07/23'],['205.419kWh'],['5.301kWh/kW'],['-'],['32.490kW'],['1:20PM'],['Fine'],,['Updated 21:21 UTC+2:00']
75,['21/07/23'],['126.612kWh'],['3.267kWh/kW'],['-'],['32.177kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 21:04 UTC+2:00']
